INSTNM,STABBR,UGDS,COSTT4_A,C150_4
Alabama A & M University,AL,5196,23167,0.2678
University of Alabama at Birmingham,AL,12776,26257,0.6442
University of Alabama in Huntsville,AL,6985,25777,0.6295
Alabama State University,AL,3296,21900,0.2773
The University of Alabama,AL,31360,31024,0.7276
Auburn University at Montgomery,AL,3307,19771,0.3584
Auburn University,AL,25234,33650,0.8075
Birmingham-Southern College,AL,968,35495,0.6463
Faulkner University,AL,1587,36169,0.33
Huntingdon College,AL,810,39717,0.5018
Jacksonville State University,AL,7066,22153,0.5224
University of West Alabama,AL,2424,22456,0.3846
Miles College,AL,1257,22653,0.264
University of Mobile,AL,1108,37908,0.4574
University of Montevallo,AL,2128,26185,0.5476
University of North Alabama,AL,5408,21621,0.523
Oakwood University,AL,1378,38377,0.4667
Samford University,AL,3668,52514,0.7779
University of South Alabama,AL,8171,22667,0.4767
Spring Hill College,AL,932,35488,0.6156
Stillman College,AL,727,25678,0.248
Talladega College,AL,832,22267,0.3529
Troy University,AL,10316,22005,0.4552
Tuskegee University,AL,2100,41924,0.6728
University of Alaska Anchorage,AK,6778,23461,0.2995
Alaska Bible College,AK,31,19679,0.5
University of Alaska Fairbanks,AK,4010,19814,0.3851
Alaska Pacific University,AK,457,36422,0.3611
Arizona State University Campus Immersion,AZ,64778,26937,0.669
University of Arizona,AZ,37979,27682,0.6793
Embry-Riddle Aeronautical University-Prescott,AZ,3114,58036,0.7062
Grand Canyon University,AZ,65147,31440,0.4505
Northern Arizona University,AZ,23090,28648,0.5912
Prescott College,AZ,313,45439,0.5532
Arizona Christian University,AZ,1028,47865,0.4531
University of Arkansas at Little Rock,AR,4802,21300,0.4193
Arkansas Baptist College,AR,497,22715,0.0827
Lyon College,AR,489,44749,0.3831
University of Arkansas,AR,26002,24611,0.6919
University of Arkansas at Pine Bluff,AR,2155,19968,0.4115
Arkansas State University,AR,7463,21176,0.5281
University of Central Arkansas,AR,7563,23167,0.5008
Central Baptist College,AR,489,28293,0.392
Crowley's Ridge College,AR,171,23894,0.3095
Harding University,AR,3198,34168,0.6947
Henderson State University,AR,1800,26032,0.3922
Hendrix College,AR,1127,49928,0.6857
John Brown University,AR,1354,42128,0.7121
Ouachita Baptist University,AR,1587,43878,0.6506
University of the Ozarks,AR,767,35272,0.4096
Philander Smith College,AR,766,25951,0.3047
Williams Baptist University,AR,556,30718,0.4495
Southern Arkansas University Main Campus,AR,2787,24242,0.4454
University of Arkansas-Fort Smith,AR,4143,17947,0.4208
Academy of Art University,CA,4485,44484,0.4385
Art Center College of Design,CA,2113,70276,0.7547
Azusa Pacific University,CA,3344,54157,0.6127
Biola University,CA,3474,57785,0.7206
California Baptist University,CA,8077,49531,0.6325
California College of the Arts,CA,1134,74618,0.7216
California Institute of Technology,CA,982,79947,0.9404
California Lutheran University,CA,2510,60992,0.732
California Polytechnic State University-San Luis Obispo,CA,20976,29680,0.8547
California State University-Bakersfield,CA,8108,18410,0.4969
California State University-Stanislaus,CA,8836,16968,0.5526
California State University-San Bernardino,CA,16712,18750,0.5442
California State Polytechnic University-Pomona,CA,25080,21655,0.6632
California State University-Chico,CA,12853,24766,0.6418
California State University-Dominguez Hills,CA,13903,14958,0.4646
California State University-Fresno,CA,20985,17508,0.5623
California State University-Fullerton,CA,35249,17337,0.693
California State University-East Bay,CA,10709,20693,0.4552
California State University-Long Beach,CA,32780,18983,0.7265
California State University-Los Angeles,CA,22690,17010,0.5143
California State University-Northridge,CA,32103,19585,0.5599
California State University-Sacramento,CA,28544,21396,0.5446
University of California-Berkeley,CA,32475,41130,0.9403
University of California-Davis,CA,31512,36975,0.8634
University of California-Irvine,CA,28651,34731,0.8661
University of California-Los Angeles,CA,32423,35689,0.9248
University of California-Riverside,CA,22842,34100,0.7602
University of California-San Diego,CA,33092,35274,0.8773
University of California-Santa Barbara,CA,23419,36607,0.8567
University of California-Santa Cruz,CA,17502,37707,0.7691
California Institute of the Arts,CA,931,75865,0.6382
