INSTNM,UGDS,TUITIONFEE_IN,TUITIONFEE_OUT,COSTT4_A,C150_4
Bellevue University,10318,8790,8790,31587,0.4074
Clarkson College,631,14880,14880,24425,0.7188
Bryan College of Health Sciences,535,17870,17870,34178,0.72
Chadron State College,1690,7834,7834,22842,0.4424
Concordia University-Nebraska,1138,37720,37720,49230,0.5906
Creighton University,4261,45590,45590,59663,0.7847
Doane University,988,38990,38990,53750,0.6139
Hastings College,918,34580,34580,47961,0.5458
University of Nebraska at Kearney,4159,7984,13786,23925,0.5412
Nebraska Methodist College of Nursing & Allied Health,808,16883,16883,29906,0.7209
Midland University,1204,38300,38300,49366,0.4375
University of Nebraska at Omaha,11866,8136,21718,19830,0.4919
Nebraska Wesleyan University,1530,39868,39868,51208,0.5905
University of Nebraska-Lincoln,19097,9872,26984,24612,0.6494
Peru State College,1186,7920,7920,21200,0.3385
Summit Christian College,18,7958,7958,25534,0.5714
College of Saint Mary,502,22450,22450,32549,0.6667
Union College,475,27170,27170,38874,0.5613
Wayne State College,3057,7786,7786,20752,0.5121
York University,442,20900,20900,31500,0.433
