INSTNM,UGDS,TUITIONFEE_IN,TUITIONFEE_OUT,COSTT4_A,C150_4
Fairleigh Dickinson University-Metropolitan Campus,2627,38004,38004,50305,0.5332
Fairleigh Dickinson University-Florham Campus,1990,38004,38004,54204,0.6662
Rowan University,15841,16574,26932,35842,0.6736
New Jersey City University,3681,14460,14460,28255,0.3389
Kean University,11433,14299,22446,26949,0.4657
Monmouth University,3684,46552,46552,62904,0.719
Montclair State University,18376,15912,26022,28305,0.6466
New Jersey Institute of Technology,9019,19974,37664,32859,0.7276
Princeton University,5709,62688,62688,84040,0.9761
Ramapo College of New Jersey,4898,16777,27708,29483,0.6981
Rider University,3106,41120,41120,55967,0.6133
Rutgers University-Camden,3753,17764,37276,35178,0.6667
Rutgers University-New Brunswick,37751,17929,37441,36993,0.8363
Rutgers University-Newark,7709,17250,36762,35654,0.6375
Saint Peter's University,2135,42552,42552,50272,0.5826
Seton Hall University,6036,53170,53170,68263,0.6949
Stevens Institute of Technology,4222,63462,63462,79790,0.8688
Stockton University,7537,16266,24524,35139,0.6854
The College of New Jersey,7105,19632,25752,38860,0.8585
William Paterson University of New Jersey,6614,15704,25344,28476,0.4396
