INSTNM,UGDS,TUITIONFEE_IN,TUITIONFEE_OUT,COSTT4_A,C150_4
Cornell University,15995,69314,69314,88140,0.9538
CUNY Bernard M Baruch College,16154,7464,15414,14170,0.7212
CUNY Brooklyn College,10543,7452,15402,14151,0.5386
College of Staten Island CUNY,9657,7490,15440,14795,0.3393
CUNY City College,12505,7340,15290,14403,0.5682
CUNY Hunter College,16289,7382,15332,13905,0.5686
CUNY John Jay College of Criminal Justice,11590,7470,15420,14212,0.5583
CUNY Lehman College,10696,7410,15360,14121,0.5128
CUNY New York City College of Technology,13580,7332,15282,14110,0.2147
CUNY Queens College,12550,7538,15488,14367,0.5325
Fordham University,10512,64915,64915,82762,0.8191
New York University,28663,62796,62796,84374,0.8757
Rochester Institute of Technology,13215,59274,59274,74626,0.6989
St. John's University-New York,9477,53020,53020,65527,0.6609
Farmingdale State College,9552,8626,18536,18966,0.5278
University at Albany,12564,10866,31256,28802,0.6145
Binghamton University,14655,10567,30447,30345,0.8162
University at Buffalo,20112,10936,31536,30785,0.7518
Stony Brook University,18101,10931,32741,30539,0.7556
Syracuse University,15477,65528,65528,84517,0.8361
