INSTNM,UGDS,TUITIONFEE_IN,TUITIONFEE_OUT,COSTT4_A,C150_4
Appalachian State University,18467,7450,23454,20735,0.7516
Campbell University,2933,39230,39230,56823,0.5561
Duke University,6570,62688,62688,81138,0.9663
East Carolina University,20385,7325,23602,23104,0.6514
Elon University,6337,42241,42241,55329,0.8326
Fayetteville State University,5218,3906,7906,16342,0.4359
High Point University,4965,41916,41916,58699,0.6817
North Carolina A & T State University,11553,6733,20243,18518,0.5668
University of North Carolina at Asheville,2803,7380,24728,21030,0.5867
University of North Carolina at Chapel Hill,19921,8989,37550,24711,0.9132
University of North Carolina at Charlotte,23063,7214,21338,21908,0.6996
University of North Carolina at Greensboro,13862,7498,22657,19229,0.5799
North Carolina Central University,5101,6599,19635,24744,0.4424
North Carolina State University at Raleigh,25109,9128,30869,24852,0.8463
University of North Carolina Wilmington,13960,7238,21858,25332,0.7428
University of North Carolina at Pembroke,5544,3495,7495,15183,0.4517
Wake Forest University,5446,62128,62128,79776,0.8964
Winston-Salem State University,4449,6276,16932,22372,0.4957
Western Carolina University,9809,4453,8453,18731,0.6059
Strayer University-North Carolina,2646,13515,13515,23985,0.2857
