INSTNM,UGDS,TUITIONFEE_IN,TUITIONFEE_OUT,COSTT4_A,C150_4
Rasmussen University-North Dakota,466,10849,10849,23443,0.55
Bismarck State College,2561,5143,7227,15737,0.5105
Dickinson State University,1148,9118,11218,20098,0.4444
Nueta Hidatsa Sahnish College,137,3870,3870,11717,0.0612
University of Jamestown,968,24200,24200,35968,0.4885
University of Mary,2149,21062,21062,31705,0.637
Mayville State University,767,7873,11131,19966,0.3459
Minot State University,2168,8508,8508,17273,0.4487
University of North Dakota,9066,10951,15570,23680,0.6306
North Dakota State University-Main Campus,9795,10992,15646,22936,0.6317
Trinity Bible College and Graduate School,162,18216,18216,28135,0.4074
United Tribes Technical College,502,4252,4252,12013,0.1241
Valley City State University,914,8458,13422,19362,0.4747
