INSTNM,UGDS,TUITIONFEE_IN,TUITIONFEE_OUT,COSTT4_A,C150_4
University of Akron Main Campus,9052,13135,20815,26284,0.5186
Baldwin Wallace University,2842,39832,39832,55606,0.6677
Bowling Green State University-Main Campus,12812,14460,22448,33007,0.6373
Case Western Reserve University,6437,66608,66608,85851,0.8717
Cedarville University,4024,37150,37150,49320,0.7253
Central State University,2620,8058,10058,21929,0.2281
University of Cincinnati-Main Campus,29882,13976,29310,32171,0.7496
Cleveland State University,8969,12988,18510,27159,0.5057
University of Dayton,7682,49140,49140,65881,0.8018
Franklin University,5562,9577,9577,30696,0.1111
Kent State University at Kent,19320,13232,23082,30567,0.6372
Miami University-Oxford,16656,18161,41221,38757,0.7979
Oberlin College,2887,67366,67366,87404,0.8089
Ohio State University-Main Campus,45638,13244,40022,30305,0.8772
Ohio University-Main Campus,19633,14158,24838,30586,0.6545
Franciscan University of Steubenville,2901,34100,34100,44580,0.7545
University of Toledo,9770,12744,22104,26512,0.5704
Wright State University-Main Campus,6762,11522,21222,24373,0.4169
Xavier University,4207,50640,50640,65476,0.6865
Youngstown State University,7961,11113,11473,21708,0.5048
