INSTNM,UGDS,TUITIONFEE_IN,TUITIONFEE_OUT,COSTT4_A,C150_4
Eastern Oregon University,2172,11076,25431,26718,0.43
New Hope Christian College-Eugene,56,17620,17620,30849,0.5172
George Fox University,2699,42750,42750,58644,0.7196
Lewis & Clark College,2120,64828,64828,79987,0.7536
Linfield University,1621,50850,50850,65935,0.7046
Bushnell University,517,35800,35800,47143,0.56
Oregon Institute of Technology,2892,13260,37196,27524,0.5378
Oregon State University,30743,14400,38190,31653,0.7011
University of Oregon,20497,16137,44598,34793,0.7169
Pacific Northwest College of Art,420,49006,49006,70376,0.2913
Pacific University,1516,56374,56374,72374,0.6698
Portland State University,13182,11679,31074,21590,0.5266
University of Portland,2957,58100,58100,73224,0.7984
Reed College,1320,69350,69350,86376,0.7147
Southern Oregon University,2751,12762,31887,27636,0.4253
Warner Pacific University,375,22220,22220,38948,0.4918
Corban University,678,40280,40280,52019,0.6059
Willamette University,1592,51156,51156,67501,0.7124
Western Oregon University,3103,11879,32534,25062,0.4712
Oregon State University-Cascades Campus,1044,13566,37356,29798,0.5556
