INSTNM,UGDS,TUITIONFEE_IN,TUITIONFEE_OUT,COSTT4_A,C150_4
Carnegie Mellon University,7005,61344,61344,77465,0.915
Drexel University,13933,58965,58965,72427,0.782
Duquesne University,5087,45376,45376,60583,0.7771
East Stroudsburg University of Pennsylvania,4324,10987,18953,24149,0.4573
Indiana University of Pennsylvania-Main Campus,6611,11320,18927,27923,0.521
Kutztown University of Pennsylvania,6334,11230,15628,27730,0.5636
Lehigh University,5612,59930,59930,74573,0.9119
Millersville University of Pennsylvania,5697,12262,22232,26480,0.5702
Pennsylvania State University-Main Campus,41417,19835,38651,38049,0.8328
University of Pennsylvania,10572,63452,63452,83298,0.9609
University of Pittsburgh-Pittsburgh Campus,19954,21080,37320,35928,0.8371
Saint Joseph's University,4978,49610,49610,63376,0.8205
Shippensburg University of Pennsylvania,4283,13544,14272,27961,0.5018
Slippery Rock University of Pennsylvania,6707,10507,14615,24328,0.6647
Temple University,23697,21135,35608,33768,0.7791
Villanova University,6926,61618,61618,77650,0.9063
West Chester University of Pennsylvania,14014,10575,22399,28335,0.7164
Pennsylvania State University-World Campus,7798,15054,15054,25935,0.3628
Commonwealth University of Pennsylvania,9778,10848,18919,24881,0.5356
Pennsylvania Western University,9203,10958,15630,25365,0.4813
