INSTNM,UGDS,TUITIONFEE_IN,TUITIONFEE_OUT,COSTT4_A,C150_4
Pontifical Catholic University of Puerto Rico-Ponce,3874,6650,6650,20508,0.4859
Universidad Ana G. Mendez-Cupey Campus,4540,7750,7750,14214,0.3085
Inter American University of Puerto Rico-San German,2569,5780,5780,16380,0.4316
Inter American University of Puerto Rico-Aguadilla,2906,5742,5742,16057,0.4288
Inter American University of Puerto Rico-Arecibo,2220,5780,5780,16625,0.3892
Inter American University of Puerto Rico-Metro,2607,5780,5780,16837,0.3881
Inter American University of Puerto Rico-Ponce,2404,5780,5780,16065,0.4144
Inter American University of Puerto Rico-Bayamon,3476,5780,5780,16324,0.3492
University of Puerto Rico-Arecibo,2669,5354,5354,17710,0.52
University of Puerto Rico,2851,6284,6284,12501,0.3706
University of Puerto Rico-Carolina,2404,7986,7986,19396,0.3727
University of Puerto Rico at Cayey,2069,5354,5354,15909,0.4983
University of Puerto Rico-Humacao,2529,5364,5364,19547,0.4712
University of Puerto Rico-Mayaguez,9539,5274,5274,21637,0.491
University of Puerto Rico at Ponce,2278,5354,5354,17193,0.4618
University of Puerto Rico-Rio Piedras,8572,5354,5354,15118,0.5026
Universidad Ana G. Mendez-Carolina Campus,4468,7750,7750,14113,0.3426
Universidad del Sagrado Corazon,4442,6410,6410,19728,0.5207
Universidad Politecnica de Puerto Rico,3594,9870,9870,23368,0.2808
Universidad Ana G. Mendez-Gurabo Campus,7868,7750,7750,14224,0.314
