INSTNM,UGDS,TUITIONFEE_IN,TUITIONFEE_OUT,COSTT4_A,C150_4
Brown University,7222,65146,65146,82570,0.9499
Bryant University,3193,49329,49329,65678,0.8252
Johnson & Wales University-Providence,4135,38492,38492,55633,0.5851
New England Institute of Technology,1720,33900,33900,46854,0.5023
Providence College,3959,57928,57928,73779,0.8561
Rhode Island College,4596,10966,26499,18709,0.4389
University of Rhode Island,13828,15880,34362,31804,0.7159
Rhode Island School of Design,2108,57505,57505,77280,0.9101
Roger Williams University,3971,40962,40962,58334,0.6639
Salve Regina University,2174,46000,46000,64895,0.7555
Johnson & Wales University-Online,1838,13365,13365,25859,0
