INSTNM,UGDS,TUITIONFEE_IN,TUITIONFEE_OUT,COSTT4_A,C150_4
Anderson University,2960,31720,31720,45980,0.6033
Charleston Southern University,2771,29990,29990,42810,0.437
Benedict College,1726,17200,17200,29926,0.198
Bob Jones University,2374,21890,21890,32671,0.6916
College of Charleston,9667,12978,35798,30468,0.6466
Citadel Military College of South Carolina,2658,12570,35826,30690,0.7037
Claflin University,1730,17046,17046,33658,0.5
Clemson University,22467,15558,39502,34001,0.8532
Francis Marion University,2684,11160,21544,22683,0.3923
Furman University,2278,55772,55772,69678,0.8541
Greenville Technical College,8878,5402,10202,13977,0.172
Lander University,3360,11700,21300,25593,0.449
University of South Carolina Aiken,2817,10760,21218,20783,0.4237
University of South Carolina Beaufort,1885,10730,21776,23345,0.3846
University of South Carolina-Columbia,26840,12688,33928,28844,0.7832
Coastal Carolina University,9495,11640,28490,25333,0.4797
South Carolina State University,2351,11060,21750,29886,0.3436
University of South Carolina-Upstate,4046,11583,22545,24523,0.4321
Winthrop University,3376,15866,30196,29729,0.6093
Wofford College,1823,51530,51530,67045,0.825
