INSTNM,UGDS,TUITIONFEE_IN,TUITIONFEE_OUT,COSTT4_A,C150_4
Augustana University,1759,37342,37342,51613,0.7553
Black Hills State University,1933,9000,12100,20843,0.443
Dakota State University,1894,9633,12735,22651,0.4869
Dakota Wesleyan University,632,31890,31890,40906,0.5337
Mount Marty University,693,31500,31500,44064,0.5673
National American University-Rapid City,922,16065,16065,28827,0.3333
Northern State University,1258,8845,11947,22455,0.508
Oglala Lakota College,1109,2684,2684,11113,0.0641
Presentation College,586,22764,22764,37503,0.2681
South Dakota School of Mines and Technology,2047,10440,14860,25988,0.5589
South Dakota State University,8627,9299,12809,22447,0.5926
Sinte Gleska University,447,4714,4714,21154,0.0952
University of Sioux Falls,1299,20290,20290,31730,0.5926
Sisseton Wahpeton College,172,4330,4330,10077,0.0625
University of South Dakota,5265,9432,12942,23178,0.5722
