INSTNM,UGDS,TUITIONFEE_IN,TUITIONFEE_OUT,COSTT4_A,C150_4
Austin Peay State University,7560,9006,14766,22233,0.4024
Belmont University,7137,42540,42540,62570,0.7066
Cumberland University,2104,27840,27840,43358,0.4559
Lipscomb University,2997,40572,40572,55117,0.7216
East Tennessee State University,10004,10472,14522,27042,0.5321
Lee University,2617,23790,23790,35688,0.6259
University of Memphis,12701,10728,15384,25169,0.5089
Middle Tennessee State University,16301,10266,31574,24289,0.537
Rhodes College,1836,57110,57110,71136,0.8453
The University of the South,1607,56120,56120,71986,0.7979
Southern Adventist University,2773,27300,27300,38618,0.4939
The University of Tennessee-Chattanooga,10074,10448,18512,25489,0.5024
The University of Tennessee-Knoxville,30418,13812,33256,33678,0.7392
The University of Tennessee-Martin,4866,10560,16600,23079,0.5254
Tennessee State University,4848,8616,22416,25637,0.3399
Tennessee Technological University,8698,11376,15576,25663,0.5767
Trevecca Nazarene University,1737,31300,31300,41548,0.5315
Union University,1607,40025,40025,58363,0.6596
Vanderbilt University,7208,67498,67498,89590,0.9354
Strayer University-Tennessee,1784,13920,13920,25158,0
