INSTNM,UGDS,TUITIONFEE_IN,TUITIONFEE_OUT,COSTT4_A,C150_4
Brigham Young University,31411,6304,6304,19819,0.7865
Utah Tech University,8606,6096,17666,18982,0.3556
Eagle Gate College-Murray,248,17112,17112,33644,0.625
Snow College,3654,4180,14130,11847,0.4161
Southern Utah University,9089,6770,20586,19869,0.5792
Utah State University,20573,9228,24802,20770,0.5439
University of Utah,25392,9315,29837,18891,0.6455
Weber State University,15540,6391,17084,16114,0.4227
Westminster College,955,40352,40352,54750,0.6454
Provo College,711,17112,17112,36448,0.5122
Western Governors University,112807,8010,8010,14042,0.4878
Neumont College of Computer Science,517,26505,26505,38822,0.5922
Joyce University of Nursing and Health Sciences,2178,22603,22603,32259,0.7083
Eagle Gate College-Layton,223,17112,17112,36448,0.4651
Midwives College of Utah,279,7919,7919,31922,0
