INSTNM,UGDS,TUITIONFEE_IN,TUITIONFEE_OUT,COSTT4_A,C150_4
Bennington College,733,61448,61448,80648,0.6923
Castleton University,1585,13078,30046,25878,0.5401
Champlain College,3031,44220,44220,61248,0.645
Goddard College,105,18477,18477,27933,0.5714
Northern Vermont University,1266,12804,26892,25648,0.3817
Middlebury College,2751,62460,62460,78820,0.9354
Norwich University,2706,45340,45340,62955,0.6106
Saint Michael's College,1200,49840,49840,65051,0.7445
Sterling College,86,39200,39200,52300,0.2963
Vermont Technical College,1112,16086,29502,29460,0.5442
University of Vermont,11326,18890,43890,35179,0.7576
Landmark College,458,62720,62720,80680,0.3404
