INSTNM,UGDS,TUITIONFEE_IN,TUITIONFEE_OUT,COSTT4_A,C150_4
William & Mary,6778,23970,47196,40624,0.9095
Regent University,4281,19680,19680,29448,0.5458
Christopher Newport University,4442,15425,29063,31162,0.7608
George Mason University,26447,13401,38983,26268,0.7059
Hampton University,2846,29162,29162,46123,0.4632
James Madison University,19968,13092,30152,29043,0.8115
Liberty University,48408,22511,22511,41963,0.6558
Longwood University,3009,14840,27780,31501,0.6656
University of Mary Washington,3443,14234,31154,29268,0.6877
Norfolk State University,5328,9622,20790,26039,0.3986
Old Dominion University,18152,11220,31170,26060,0.4826
Radford University,5945,11916,24453,25873,0.5396
University of Richmond,3069,60330,60330,74354,0.8798
Shenandoah University,2104,35170,35170,49610,0.6256
Virginia Polytechnic Institute and State University,30339,14586,34838,28064,0.8642
Virginia Commonwealth University,20552,15828,37786,33388,0.6451
University of Virginia-Main Campus,17103,20342,55914,36314,0.9522
Virginia State University,4295,9654,21409,23673,0.379
Washington and Lee University,1861,61750,61750,80300,0.9483
ECPI University,11275,18484,18484,28047,0.5054
