INSTNM,UGDS,TUITIONFEE_IN,TUITIONFEE_OUT,COSTT4_A,C150_4
Central Washington University,7833,9417,27526,28816,0.5361
Eastern Washington University,6222,8586,25959,24478,0.4349
The Evergreen State College,2160,9264,31905,28477,0.4074
Gonzaga University,5198,55480,55480,73178,0.8629
Heritage University,812,20928,20928,31209,0.5368
Northwest University,645,36035,36035,50501,0.7078
Pacific Lutheran University,2401,52254,52254,62459,0.6857
University of Puget Sound,1594,62898,62898,78378,0.6799
Saint Martin's University,1158,45510,45510,62449,0.519
Seattle Pacific University,1762,40407,40407,56826,0.6195
Seattle University,4062,56721,56721,72124,0.7551
Walla Walla University,1252,34227,34227,45903,0.599
Washington State University,21099,13391,29950,27648,0.605
University of Washington-Seattle Campus,31942,12973,43209,32446,0.8518
Western Washington University,13544,9582,28707,30359,0.6464
Whitman College,1531,64050,64050,78092,0.8052
Whitworth University,1858,52880,52880,68516,0.7089
University of Washington-Bothell Campus,5457,12919,43155,26908,0.6532
University of Washington-Tacoma Campus,4185,13168,43404,25346,0.6324
DigiPen Institute of Technology,995,38950,38950,55588,0.6095
