INSTNM,UGDS,TUITIONFEE_IN,TUITIONFEE_OUT,COSTT4_A,C150_4
Alderson Broaddus University,633,31500,31500,44217,0.3385
Bethany College,594,32640,32640,47610,0.4207
Bluefield State University,1244,9840,17030,18445,0.3521
University of Charleston,2330,31900,31900,43177,0.4175
Concord University,1311,9100,19340,18362,0.403
Davis & Elkins College,644,30680,30680,43278,0.4842
Fairmont State University,2776,8008,17836,17238,0.4639
Glenville State University,1257,9064,10724,23819,0.3302
Marshall University,6965,8604,19658,20327,0.4973
West Virginia University at Parkersburg,1486,4132,9124,8840,0.3003
Potomac State College of West Virginia University,954,4752,12120,14511,0.2557
Salem University,756,13150,13150,21566,0.2863
Shepherd University,2325,8282,18722,18205,0.4785
West Virginia State University,1362,8647,14385,19182,0.3543
West Liberty University,1648,8716,17100,22394,0.61240000000000006
West Virginia University Institute of Technology,1038,7848,19584,18060,0.3378
West Virginia Wesleyan College,886,32976,32976,47149,0.5349
West Virginia University,18370,9360,26568,22810,0.6212
Wheeling University,578,28290,28290,41602,0.704
American Public University System,37569,7360,7360,16779,0.5547
