INSTNM,UGDS,TUITIONFEE_IN,TUITIONFEE_OUT,COSTT4_A,C150_4
Carroll University,2689,36190,36190,48464,0.6702
Carthage College,2541,34500,34500,46744,0.6468
Concordia University-Wisconsin,2556,33062,33062,47970,0.6639
Marquette University,7290,46670,46670,61926,0.8252
Milwaukee School of Engineering,2562,46506,46506,57411,0.7104
Saint Norbert College,1784,43204,43204,54466,0.7153
Viterbo University,1456,31150,31150,42691,0.6077
University of Wisconsin-Whitewater,8893,7864,17039,18326,0.6166
University of Wisconsin-Eau Claire,9138,8914,17627,20478,0.6528
University of Wisconsin-Green Bay,6305,7873,16091,17641,0.5231
University of Wisconsin-La Crosse,9137,9232,18051,17946,0.6979
University of Wisconsin-Oshkosh,7812,7795,15368,18642,0.5757
University of Wisconsin-Parkside,2969,7466,15736,15328,0.4006
University of Wisconsin-Stout,6176,9663,17930,20440,0.5192
University of Wisconsin-Superior,2021,8167,15740,18487,0.4016
University of Wisconsin-Madison,35184,10796,39427,27100,0.8923
University of Wisconsin-Milwaukee,17076,9620,21485,21812,0.4787
University of Wisconsin-Platteville,5920,7862,16800,19916,0.6107
University of Wisconsin-River Falls,4327,8135,16128,18312,0.5908
University of Wisconsin-Stevens Point,6995,8376,17080,18407,0.5602
