STATE,STATENAME,ST_CASE,PEDS,PERNOTMVIT,VE_TOTAL,VE_FORMS,PVH_INVL,PERSONS,PERMVIT,COUNTY,COUNTYNAME,CITY,CITYNAME,MONTH,MONTHNAME,DAY,DAYNAME,DAY_WEEK,DAY_WEEKNAME,YEAR,HOUR,HOURNAME,MINUTE,MINUTENAME,TWAY_ID,TWAY_ID2,ROUTE,ROUTENAME,RUR_URB,RUR_URBNAME,FUNC_SYS,FUNC_SYSNAME,RD_OWNER,RD_OWNERNAME,NHS,NHSNAME,SP_JUR,SP_JURNAME,MILEPT,MILEPTNAME,LATITUDE,LATITUDENAME,LONGITUD,LONGITUDNAME,HARM_EV,HARM_EVNAME,MAN_COLL,MAN_COLLNAME,RELJCT1,RELJCT1NAME,RELJCT2,RELJCT2NAME,TYP_INT,TYP_INTNAME,REL_ROAD,REL_ROADNAME,WRK_ZONE,WRK_ZONENAME,LGT_COND,LGT_CONDNAME,WEATHER,WEATHERNAME,SCH_BUS,SCH_BUSNAME,RAIL,RAILNAME,NOT_HOUR,NOT_HOURNAME,NOT_MIN,NOT_MINNAME,ARR_HOUR,ARR_HOURNAME,ARR_MIN,ARR_MINNAME,HOSP_HR,HOSP_HRNAME,HOSP_MN,HOSP_MNNAME,FATALS
2,Alaska,20001,1,1,1,1,0,4,4,170,MATANUSKA-SUSITNA (170),2790,WASILLA,1,January,5,5,4,Wednesday,2022,21,9:00pm-9:59pm,18,18,FIREWEED RD,NA,9,Unknown,2,Urban,5,Major Collector,1,State Highway Agency,0,This section IS NOT on the NHS,0,No Special Jurisdiction,33,33,61.56800556,61.56800556,-149.32168056,-149.32168056,8,Pedestrian,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,None,2,Dark - Not Lighted,1,Clear,0,No,0000000,Not Applicable,21,9:00pm-9:59pm,20,20,21,9:00pm-9:59pm,24,24,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
2,Alaska,20002,0,0,2,2,0,3,3,20,ANCHORAGE (20),130,ANCHORAGE,1,January,11,11,3,Tuesday,2022,17,5:00pm-5:59pm,9,9,DEBARR RD,PINE ST,9,Unknown,2,Urban,3,Principal Arterial - Other,1,State Highway Agency,1,This section IS ON the NHS,0,No Special Jurisdiction,15,15,61.20974722,61.20974722,-149.79351944,-149.79351944,12,Motor Vehicle In-Transport,6,Angle,0,No,2,Intersection,2,Four-Way Intersection,1,On Roadway,0,None,3,Dark - Lighted,1,Clear,0,No,0000000,Not Applicable,17,5:00pm-5:59pm,10,10,17,5:00pm-5:59pm,16,16,17,5:00pm-5:59pm,45,45,1
2,Alaska,20003,0,0,2,2,0,2,2,170,MATANUSKA-SUSITNA (170),2790,WASILLA,1,January,25,25,3,Tuesday,2022,17,5:00pm-5:59pm,42,42,SR-3 PARKS HWY,POTTER RD,3,State Highway,1,Rural,1,Interstate,1,State Highway Agency,1,This section IS ON the NHS,0,No Special Jurisdiction,154,154,61.569825,61.569825,-149.67796389,-149.67796389,12,Motor Vehicle In-Transport,6,Angle,0,No,2,Intersection,3,T-Intersection,1,On Roadway,0,None,2,Dark - Not Lighted,1,Clear,0,No,0000000,Not Applicable,17,5:00pm-5:59pm,46,46,17,5:00pm-5:59pm,49,49,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
2,Alaska,20004,0,0,2,2,0,3,3,122,KENAI PENINSULA (122),0,NOT APPLICABLE,1,January,26,26,4,Wednesday,2022,16,4:00pm-4:59pm,44,44,SR-1 SEWARD HWY,NA,3,State Highway,1,Rural,1,Interstate,1,State Highway Agency,1,This section IS ON the NHS,0,No Special Jurisdiction,706,706,60.81954444,60.81954444,-149.14903056,-149.14903056,12,Motor Vehicle In-Transport,6,Angle,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,None,5,Dusk,4,Snow,0,No,0000000,Not Applicable,16,4:00pm-4:59pm,46,46,17,5:00pm-5:59pm,5,5,18,6:00pm-6:59pm,45,45,1
2,Alaska,20005,0,0,3,3,0,6,6,261,VALDEZ-CORDOVA (261),2638,TONSINA,1,January,27,27,5,Thursday,2022,13,1:00pm-1:59pm,50,50,RICHARDSON HWY,NA,9,Unknown,1,Rural,3,Principal Arterial - Other,1,State Highway Agency,1,This section IS ON the NHS,0,No Special Jurisdiction,846,846,61.68305,61.68305,-145.16896944,-145.16896944,12,Motor Vehicle In-Transport,2,Front-to-Front,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,None,1,Daylight,4,Snow,0,No,0000000,Not Applicable,13,1:00pm-1:59pm,51,51,14,2:00pm-2:59pm,33,33,17,5:00pm-5:59pm,3,3,1
2,Alaska,20006,0,0,2,2,0,2,2,170,MATANUSKA-SUSITNA (170),300,BODENBURG BUTTE,2,February,25,25,6,Friday,2022,15,3:00pm-3:59pm,53,53,OLD GLENN HWY,NA,9,Unknown,1,Rural,5,Major Collector,1,State Highway Agency,0,This section IS NOT on the NHS,0,No Special Jurisdiction,127,127,61.55684722,61.55684722,-149.04005833,-149.04005833,12,Motor Vehicle In-Transport,2,Front-to-Front,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,None,1,Daylight,1,Clear,0,No,0000000,Not Applicable,15,3:00pm-3:59pm,53,53,16,4:00pm-4:59pm,4,4,16,4:00pm-4:59pm,42,42,1
2,Alaska,20007,0,0,2,2,0,4,4,122,KENAI PENINSULA (122),2455,STERLING,2,February,22,22,3,Tuesday,2022,11,11:00am-11:59am,23,23,STERLING HWY,NA,9,Unknown,1,Rural,1,Interstate,1,State Highway Agency,1,This section IS ON the NHS,0,No Special Jurisdiction,488,488,60.53673056,60.53673056,-150.84998611,-150.84998611,12,Motor Vehicle In-Transport,6,Angle,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,None,1,Daylight,1,Clear,0,No,0000000,Not Applicable,11,11:00am-11:59am,25,25,11,11:00am-11:59am,29,29,11,11:00am-11:59am,52,52,2
2,Alaska,20008,0,0,2,2,0,4,4,90,FAIRBANKS NORTH STAR (90),0,NOT APPLICABLE,3,March,2,2,4,Wednesday,2022,8,8:00am-8:59am,39,39,SR-2 RICHARDSON HWY,NA,3,State Highway,1,Rural,1,Interstate,1,State Highway Agency,1,This section IS ON the NHS,0,No Special Jurisdiction,2973,2973,64.28589444,64.28589444,-146.34325278,-146.34325278,48,Snow Bank,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,None,1,Daylight,10,Cloudy,0,No,0000000,Not Applicable,8,8:00am-8:59am,43,43,9,9:00am-9:59am,27,27,11,11:00am-11:59am,16,16,1
2,Alaska,20009,1,1,1,1,0,1,1,20,ANCHORAGE (20),130,ANCHORAGE,3,March,4,4,6,Friday,2022,22,10:00pm-10:59pm,50,50,SR-3 GAMBELL ST,NA,3,State Highway,2,Urban,1,Interstate,1,State Highway Agency,1,This section IS ON the NHS,0,No Special Jurisdiction,99998,Not Reported,61.21178333,61.21178333,-149.87098611,-149.87098611,8,Pedestrian,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,None,3,Dark - Lighted,10,Cloudy,0,No,0000000,Not Applicable,22,10:00pm-10:59pm,99,Unknown,22,10:00pm-10:59pm,99,Unknown EMS Scene Arrival Minutes,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
2,Alaska,20010,1,1,1,1,0,2,2,20,ANCHORAGE (20),130,ANCHORAGE,3,March,19,19,7,Saturday,2022,1,1:00am-1:59am,57,57,SR-A1 E 5TH AVE,KARLUK ST,3,State Highway,2,Urban,1,Interstate,1,State Highway Agency,1,This section IS ON the NHS,0,No Special Jurisdiction,99998,Not Reported,61.21755833,61.21755833,-149.86309444,-149.86309444,8,Pedestrian,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,3,Intersection-Related,3,T-Intersection,1,On Roadway,0,None,3,Dark - Lighted,10,Cloudy,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
