STATE,STATENAME,ST_CASE,PEDS,PERNOTMVIT,VE_TOTAL,VE_FORMS,PVH_INVL,PERSONS,PERMVIT,COUNTY,COUNTYNAME,CITY,CITYNAME,MONTH,MONTHNAME,DAY,DAYNAME,DAY_WEEK,DAY_WEEKNAME,YEAR,HOUR,HOURNAME,MINUTE,MINUTENAME,TWAY_ID,TWAY_ID2,ROUTE,ROUTENAME,RUR_URB,RUR_URBNAME,FUNC_SYS,FUNC_SYSNAME,RD_OWNER,RD_OWNERNAME,NHS,NHSNAME,SP_JUR,SP_JURNAME,MILEPT,MILEPTNAME,LATITUDE,LATITUDENAME,LONGITUD,LONGITUDNAME,HARM_EV,HARM_EVNAME,MAN_COLL,MAN_COLLNAME,RELJCT1,RELJCT1NAME,RELJCT2,RELJCT2NAME,TYP_INT,TYP_INTNAME,REL_ROAD,REL_ROADNAME,WRK_ZONE,WRK_ZONENAME,LGT_COND,LGT_CONDNAME,WEATHER,WEATHERNAME,SCH_BUS,SCH_BUSNAME,RAIL,RAILNAME,NOT_HOUR,NOT_HOURNAME,NOT_MIN,NOT_MINNAME,ARR_HOUR,ARR_HOURNAME,ARR_MIN,ARR_MINNAME,HOSP_HR,HOSP_HRNAME,HOSP_MN,HOSP_MNNAME,FATALS
10,Delaware,100001,0,0,2,2,0,2,2,5,SUSSEX (5),0,NOT APPLICABLE,1,January,1,1,7,Saturday,2022,7,7:00am-7:59am,55,55,US-9,NA,2,US Highway,1,Rural,3,Principal Arterial - Other,1,State Highway Agency,1,This section IS ON the NHS,0,No Special Jurisdiction,265,265,38.7287,38.7287,-75.26623889,-75.26623889,12,Motor Vehicle In-Transport,2,Front-to-Front,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,None,1,Daylight,2,Rain,0,No,0000000,Not Applicable,7,7:00am-7:59am,52,52,7,7:00am-7:59am,59,59,8,8:00am-8:59am,22,22,1
10,Delaware,100002,0,0,1,1,0,1,1,1,KENT (1),0,NOT APPLICABLE,1,January,3,3,2,Monday,2022,6,6:00am-6:59am,48,48,RT-236,NA,8,Other,1,Rural,7,Local,1,State Highway Agency,0,This section IS NOT on the NHS,0,No Special Jurisdiction,99998,Not Reported,39.04131111,39.04131111,-75.59893056,-75.59893056,42,Tree (Standing Only),0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,4,On Roadside,0,None,2,Dark - Not Lighted,4,Snow,0,No,0000000,Not Applicable,6,6:00am-6:59am,52,52,6,6:00am-6:59am,57,57,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
10,Delaware,100003,0,0,2,2,0,5,5,3,NEW CASTLE (3),0,NOT APPLICABLE,1,January,2,2,1,Sunday,2022,15,3:00pm-3:59pm,3,3,US-13,E FRANKLIN AVE,2,US Highway,2,Urban,3,Principal Arterial - Other,1,State Highway Agency,1,This section IS ON the NHS,0,No Special Jurisdiction,99998,Not Reported,39.68779722,39.68779722,-75.58336944,-75.58336944,12,Motor Vehicle In-Transport,6,Angle,0,No,2,Intersection,3,T-Intersection,1,On Roadway,0,None,1,Daylight,10,Cloudy,0,No,0000000,Not Applicable,15,3:00pm-3:59pm,3,3,15,3:00pm-3:59pm,18,18,15,3:00pm-3:59pm,34,34,1
10,Delaware,100004,1,1,1,1,0,1,1,1,KENT (1),0,NOT APPLICABLE,1,January,5,5,4,Wednesday,2022,23,11:00pm-11:59pm,12,12,US-13,NA,2,US Highway,1,Rural,3,Principal Arterial - Other,1,State Highway Agency,1,This section IS ON the NHS,0,No Special Jurisdiction,99998,Not Reported,39.02393056,39.02393056,-75.56411944,-75.56411944,8,Pedestrian,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,None,3,Dark - Lighted,10,Cloudy,0,No,0000000,Not Applicable,23,11:00pm-11:59pm,15,15,23,11:00pm-11:59pm,24,24,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
10,Delaware,100005,0,0,2,2,0,4,4,5,SUSSEX (5),420,SEAFORD,1,January,6,6,5,Thursday,2022,12,12:00pm-12:59pm,33,33,ATLANTA RD,NA,8,Other,1,Rural,5,Major Collector,1,State Highway Agency,0,This section IS NOT on the NHS,0,No Special Jurisdiction,4,4,38.65138056,38.65138056,-75.63213056,-75.63213056,12,Motor Vehicle In-Transport,2,Front-to-Front,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,None,1,Daylight,1,Clear,0,No,0000000,Not Applicable,12,12:00pm-12:59pm,34,34,12,12:00pm-12:59pm,50,50,13,1:00pm-1:59pm,14,14,2
10,Delaware,100006,0,0,2,2,0,3,3,5,SUSSEX (5),0,NOT APPLICABLE,1,January,17,17,2,Monday,2022,13,1:00pm-1:59pm,11,11,CR-305,NA,4,County Road,1,Rural,7,Local,1,State Highway Agency,0,This section IS NOT on the NHS,0,No Special Jurisdiction,99998,Not Reported,38.64221944,38.64221944,-75.26246111,-75.26246111,12,Motor Vehicle In-Transport,6,Angle,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,None,1,Daylight,10,Cloudy,0,No,0000000,Not Applicable,13,1:00pm-1:59pm,14,14,13,1:00pm-1:59pm,22,22,13,1:00pm-1:59pm,47,47,1
10,Delaware,100007,0,0,2,2,0,2,2,3,NEW CASTLE (3),110,DELAWARE CITY,1,January,14,14,6,Friday,2022,16,4:00pm-4:59pm,37,37,BEAR RD,SR-1 RAMP,8,Other,2,Urban,5,Major Collector,1,State Highway Agency,0,This section IS NOT on the NHS,0,No Special Jurisdiction,8,8,39.6222,39.6222,-75.64506111,-75.64506111,12,Motor Vehicle In-Transport,6,Angle,1,Yes,2,Intersection,2,Four-Way Intersection,1,On Roadway,0,None,5,Dusk,1,Clear,0,No,0000000,Not Applicable,16,4:00pm-4:59pm,47,47,16,4:00pm-4:59pm,57,57,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
10,Delaware,100008,0,0,1,1,0,1,1,5,SUSSEX (5),0,NOT APPLICABLE,1,January,28,28,6,Friday,2022,9,9:00am-9:59am,14,14,CR-225,NA,4,County Road,1,Rural,7,Local,1,State Highway Agency,0,This section IS NOT on the NHS,0,No Special Jurisdiction,99998,Not Reported,38.85176944,38.85176944,-75.41838056,-75.41838056,2,Fire/Explosion,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,None,1,Daylight,10,Cloudy,0,No,0000000,Not Applicable,9,9:00am-9:59am,13,13,9,9:00am-9:59am,29,29,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
10,Delaware,100009,0,0,2,2,0,3,3,3,NEW CASTLE (3),360,NEWARK,1,January,30,30,1,Sunday,2022,4,4:00am-4:59am,4,4,I-95,NA,1,Interstate,2,Urban,1,Interstate,1,State Highway Agency,1,This section IS ON the NHS,0,No Special Jurisdiction,99998,Not Reported,39.64706111,39.64706111,-75.74273889,-75.74273889,12,Motor Vehicle In-Transport,1,Front-to-Rear,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,None,2,Dark - Not Lighted,1,Clear,0,No,0000000,Not Applicable,4,4:00am-4:59am,10,10,4,4:00am-4:59am,19,19,4,4:00am-4:59am,47,47,1
10,Delaware,100010,0,0,2,2,0,2,2,5,SUSSEX (5),0,NOT APPLICABLE,2,February,4,4,6,Friday,2022,23,11:00pm-11:59pm,14,14,SR-24,NA,3,State Highway,1,Rural,5,Major Collector,1,State Highway Agency,0,This section IS NOT on the NHS,0,No Special Jurisdiction,99998,Not Reported,38.5524,38.5524,-75.52721944,-75.52721944,12,Motor Vehicle In-Transport,2,Front-to-Front,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,None,2,Dark - Not Lighted,1,Clear,0,No,0000000,Not Applicable,23,11:00pm-11:59pm,18,18,23,11:00pm-11:59pm,27,27,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
10,Delaware,100011,0,0,2,2,0,5,5,1,KENT (1),0,NOT APPLICABLE,2,February,6,6,1,Sunday,2022,18,6:00pm-6:59pm,6,6,IRISH HILL RD,NA,8,Other,1,Rural,5,Major Collector,1,State Highway Agency,0,This section IS NOT on the NHS,0,No Special Jurisdiction,99998,Not Reported,39.04506111,39.04506111,-75.53968889,-75.53968889,12,Motor Vehicle In-Transport,2,Front-to-Front,0,No,1,Non-Junction,1,Not an Intersection,4,On Roadside,0,None,5,Dusk,1,Clear,0,No,0000000,Not Applicable,18,6:00pm-6:59pm,5,5,18,6:00pm-6:59pm,16,16,18,6:00pm-6:59pm,32,32,2
10,Delaware,100012,0,0,3,2,1,3,3,5,SUSSEX (5),0,NOT APPLICABLE,2,February,4,4,6,Friday,2022,18,6:00pm-6:59pm,12,12,SR-1,SHADY RD,3,State Highway,1,Rural,7,Local,1,State Highway Agency,0,This section IS NOT on the NHS,0,No Special Jurisdiction,99998,Not Reported,38.74846111,38.74846111,-75.16428889,-75.16428889,12,Motor Vehicle In-Transport,6,Angle,0,No,2,Intersection,3,T-Intersection,1,On Roadway,0,None,2,Dark - Not Lighted,10,Cloudy,0,No,0000000,Not Applicable,18,6:00pm-6:59pm,12,12,18,6:00pm-6:59pm,16,16,18,6:00pm-6:59pm,36,36,1
10,Delaware,100013,1,1,1,1,0,1,1,3,NEW CASTLE (3),0,NOT APPLICABLE,2,February,9,9,4,Wednesday,2022,17,5:00pm-5:59pm,58,58,SR-273,NA,3,State Highway,2,Urban,3,Principal Arterial - Other,1,State Highway Agency,0,This section IS NOT on the NHS,0,No Special Jurisdiction,99998,Not Reported,39.66516944,39.66516944,-75.59928056,-75.59928056,8,Pedestrian,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,4,On Roadside,0,None,5,Dusk,1,Clear,0,No,0000000,Not Applicable,18,6:00pm-6:59pm,1,1,18,6:00pm-6:59pm,7,7,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
10,Delaware,100014,1,1,3,3,0,6,6,3,NEW CASTLE (3),360,NEWARK,2,February,11,11,6,Friday,2022,18,6:00pm-6:59pm,59,59,SR-896,NA,3,State Highway,2,Urban,3,Principal Arterial - Other,1,State Highway Agency,0,This section IS NOT on the NHS,0,No Special Jurisdiction,73,73,39.57993889,39.57993889,-75.74011944,-75.74011944,8,Pedestrian,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,None,2,Dark - Not Lighted,1,Clear,0,No,0000000,Not Applicable,18,6:00pm-6:59pm,59,59,19,7:00pm-7:59pm,7,7,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
10,Delaware,100015,0,0,2,1,1,1,1,5,SUSSEX (5),260,LAUREL,2,February,13,13,1,Sunday,2022,7,7:00am-7:59am,15,15,SEAFORD RD,NA,8,Other,1,Rural,5,Major Collector,1,State Highway Agency,0,This section IS NOT on the NHS,0,No Special Jurisdiction,109,109,38.60878889,38.60878889,-75.59521111,-75.59521111,42,Tree (Standing Only),0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,4,On Roadside,0,None,1,Daylight,10,Cloudy,0,No,0000000,Not Applicable,7,7:00am-7:59am,15,15,7,7:00am-7:59am,21,21,7,7:00am-7:59am,36,36,1
10,Delaware,100016,0,0,1,1,0,2,2,5,SUSSEX (5),0,NOT APPLICABLE,2,February,17,17,5,Thursday,2022,0,0:00am-0:59am,39,39,SR-1,NA,3,State Highway,1,Rural,3,Principal Arterial - Other,1,State Highway Agency,0,This section IS NOT on the NHS,0,No Special Jurisdiction,206,206,38.87783056,38.87783056,-75.35913889,-75.35913889,32,Culvert,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,4,On Roadside,0,None,2,Dark - Not Lighted,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,97,Officially Cancelled,99,Unknown,97,Officially Canceled,2
10,Delaware,100017,0,0,2,2,0,4,4,3,NEW CASTLE (3),0,NOT APPLICABLE,2,February,17,17,5,Thursday,2022,20,8:00pm-8:59pm,27,27,US-40,SHOREWIND RD,2,US Highway,2,Urban,3,Principal Arterial - Other,1,State Highway Agency,1,This section IS ON the NHS,0,No Special Jurisdiction,84,84,39.64418889,39.64418889,-75.6399,-75.6399,12,Motor Vehicle In-Transport,6,Angle,0,No,2,Intersection,2,Four-Way Intersection,1,On Roadway,0,None,3,Dark - Lighted,10,Cloudy,0,No,0000000,Not Applicable,20,8:00pm-8:59pm,30,30,20,8:00pm-8:59pm,34,34,20,8:00pm-8:59pm,48,48,2
