STATE,STATENAME,ST_CASE,PEDS,PERNOTMVIT,VE_TOTAL,VE_FORMS,PVH_INVL,PERSONS,PERMVIT,COUNTY,COUNTYNAME,CITY,CITYNAME,MONTH,MONTHNAME,DAY,DAYNAME,DAY_WEEK,DAY_WEEKNAME,YEAR,HOUR,HOURNAME,MINUTE,MINUTENAME,TWAY_ID,TWAY_ID2,ROUTE,ROUTENAME,RUR_URB,RUR_URBNAME,FUNC_SYS,FUNC_SYSNAME,RD_OWNER,RD_OWNERNAME,NHS,NHSNAME,SP_JUR,SP_JURNAME,MILEPT,MILEPTNAME,LATITUDE,LATITUDENAME,LONGITUD,LONGITUDNAME,HARM_EV,HARM_EVNAME,MAN_COLL,MAN_COLLNAME,RELJCT1,RELJCT1NAME,RELJCT2,RELJCT2NAME,TYP_INT,TYP_INTNAME,REL_ROAD,REL_ROADNAME,WRK_ZONE,WRK_ZONENAME,LGT_COND,LGT_CONDNAME,WEATHER,WEATHERNAME,SCH_BUS,SCH_BUSNAME,RAIL,RAILNAME,NOT_HOUR,NOT_HOURNAME,NOT_MIN,NOT_MINNAME,ARR_HOUR,ARR_HOURNAME,ARR_MIN,ARR_MINNAME,HOSP_HR,HOSP_HRNAME,HOSP_MN,HOSP_MNNAME,FATALS
11,District of Columbia,110001,1,1,1,1,0,1,1,1,DISTRICT OF COLUMBIA (1),10,WASHINGTON,2,February,7,7,2,Monday,2022,21,9:00pm-9:59pm,5,5,SOUTH DAKOTA AVE NE,INGRAHAM ST NE,6,Local Street - Municipality,2,Urban,3,Principal Arterial - Other,4,City or Municipal Highway Agency,1,This section IS ON the NHS,0,No Special Jurisdiction,0,None,38.95428611,38.95428611,-76.99887778,-76.99887778,8,Pedestrian,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,3,Intersection-Related,2,Four-Way Intersection,1,On Roadway,0,None,3,Dark - Lighted,2,Rain,0,No,0000000,Not Applicable,21,9:00pm-9:59pm,5,5,21,9:00pm-9:59pm,11,11,99,Unknown,99,Unknown EMS Hospital Arrival Time,1
11,District of Columbia,110002,1,1,1,1,0,1,1,1,DISTRICT OF COLUMBIA (1),10,WASHINGTON,2,February,23,23,4,Wednesday,2022,19,7:00pm-7:59pm,8,8,BRENTWOOD RD NW,NA,6,Local Street - Municipality,2,Urban,5,Major Collector,4,City or Municipal Highway Agency,0,This section IS NOT on the NHS,0,No Special Jurisdiction,99998,Not Reported,38.91753333,38.91753333,-76.99334722,-76.99334722,8,Pedestrian,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,None,3,Dark - Lighted,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
11,District of Columbia,110003,0,0,6,2,4,3,3,1,DISTRICT OF COLUMBIA (1),10,WASHINGTON,2,February,26,26,7,Saturday,2022,2,2:00am-2:59am,41,41,SOUTHERN AVE SE,NA,6,Local Street - Municipality,2,Urban,4,Minor Arterial,4,City or Municipal Highway Agency,0,This section IS NOT on the NHS,0,No Special Jurisdiction,0,None,38.87772222,38.87772222,-76.928875,-76.928875,12,Motor Vehicle In-Transport,6,Angle,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,None,3,Dark - Lighted,1,Clear,0,No,0000000,Not Applicable,2,2:00am-2:59am,41,41,2,2:00am-2:59am,53,53,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
11,District of Columbia,110004,0,1,3,2,1,4,3,1,DISTRICT OF COLUMBIA (1),10,WASHINGTON,3,March,8,8,3,Tuesday,2022,18,6:00pm-6:59pm,44,44,I-695,NA,1,Interstate,2,Urban,1,Interstate,1,State Highway Agency,1,This section IS ON the NHS,0,No Special Jurisdiction,0,None,38.88022222,38.88022222,-77.00139444,-77.00139444,14,Parked Motor Vehicle,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,1,Yes,5,Entrance/Exit Ramp Related,1,Not an Intersection,8,Gore,0,None,3,Dark - Lighted,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),2
11,District of Columbia,110005,8,8,1,1,0,1,1,1,DISTRICT OF COLUMBIA (1),10,WASHINGTON,3,March,11,11,6,Friday,2022,12,12:00pm-12:59pm,17,17,CONNECTICUT AVE NW,NA,6,Local Street - Municipality,2,Urban,3,Principal Arterial - Other,4,City or Municipal Highway Agency,1,This section IS ON the NHS,0,No Special Jurisdiction,99998,Not Reported,38.96349167,38.96349167,-77.07494444,-77.07494444,8,Pedestrian,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,4,On Roadside,0,None,1,Daylight,1,Clear,0,No,0000000,Not Applicable,12,12:00pm-12:59pm,18,18,12,12:00pm-12:59pm,23,23,12,12:00pm-12:59pm,49,49,2
11,District of Columbia,110006,0,0,2,2,0,2,2,1,DISTRICT OF COLUMBIA (1),10,WASHINGTON,3,March,16,16,4,Wednesday,2022,17,5:00pm-5:59pm,23,23,US-29 GEORGIA AVE NW,HOWARD PL NW,2,US Highway,2,Urban,3,Principal Arterial - Other,4,City or Municipal Highway Agency,1,This section IS ON the NHS,0,No Special Jurisdiction,99998,Not Reported,38.92236389,38.92236389,-77.02218611,-77.02218611,12,Motor Vehicle In-Transport,6,Angle,0,No,2,Intersection,3,T-Intersection,1,On Roadway,0,None,1,Daylight,1,Clear,0,No,0000000,Not Applicable,17,5:00pm-5:59pm,24,24,17,5:00pm-5:59pm,27,27,17,5:00pm-5:59pm,48,48,1
11,District of Columbia,110007,1,1,2,2,0,2,2,1,DISTRICT OF COLUMBIA (1),10,WASHINGTON,3,March,17,17,5,Thursday,2022,20,8:00pm-8:59pm,22,22,NEW JERSEY AVE NW,NEW YORK AVE NW,6,Local Street - Municipality,2,Urban,5,Major Collector,4,City or Municipal Highway Agency,0,This section IS NOT on the NHS,0,No Special Jurisdiction,0,None,38.90530278,38.90530278,-77.01472778,-77.01472778,8,Pedestrian,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,2,Intersection,2,Four-Way Intersection,1,On Roadway,0,None,3,Dark - Lighted,1,Clear,0,No,0000000,Not Applicable,20,8:00pm-8:59pm,22,22,20,8:00pm-8:59pm,26,26,99,Unknown,99,Unknown EMS Hospital Arrival Time,1
11,District of Columbia,110008,1,1,1,1,0,1,1,1,DISTRICT OF COLUMBIA (1),10,WASHINGTON,3,March,25,25,6,Friday,2022,23,11:00pm-11:59pm,30,30,BENNING RD SE,NA,6,Local Street - Municipality,2,Urban,4,Minor Arterial,4,City or Municipal Highway Agency,0,This section IS NOT on the NHS,0,No Special Jurisdiction,0,None,38.87845278,38.87845278,-76.93143333,-76.93143333,8,Pedestrian,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,None,3,Dark - Lighted,1,Clear,0,No,0000000,Not Applicable,23,11:00pm-11:59pm,35,35,23,11:00pm-11:59pm,40,40,0,0:00am-0:59am,6,6,1
11,District of Columbia,110009,0,0,2,2,0,6,6,1,DISTRICT OF COLUMBIA (1),10,WASHINGTON,4,April,3,3,1,Sunday,2022,1,1:00am-1:59am,20,20,MLK JR AVE SE,NA,6,Local Street - Municipality,2,Urban,4,Minor Arterial,4,City or Municipal Highway Agency,0,This section IS NOT on the NHS,0,No Special Jurisdiction,0,None,38.84185833,38.84185833,-77.00315833,-77.00315833,12,Motor Vehicle In-Transport,2,Front-to-Front,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,None,3,Dark - Lighted,1,Clear,0,No,0000000,Not Applicable,1,1:00am-1:59am,21,21,1,1:00am-1:59am,23,23,2,2:00am-2:59am,0,0,2
11,District of Columbia,110010,1,1,1,1,0,4,4,1,DISTRICT OF COLUMBIA (1),10,WASHINGTON,5,May,2,2,2,Monday,2022,2,2:00am-2:59am,30,30,FLORIDA AVE NW,NA,6,Local Street - Municipality,2,Urban,3,Principal Arterial - Other,4,City or Municipal Highway Agency,1,This section IS ON the NHS,0,No Special Jurisdiction,0,None,38.91111389,38.91111389,-77.0098,-77.0098,8,Pedestrian,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,None,3,Dark - Lighted,1,Clear,0,No,0000000,Not Applicable,2,2:00am-2:59am,32,32,2,2:00am-2:59am,38,38,2,2:00am-2:59am,54,54,1
