STATE,STATENAME,ST_CASE,PEDS,PERNOTMVIT,VE_TOTAL,VE_FORMS,PVH_INVL,PERSONS,PERMVIT,COUNTY,COUNTYNAME,CITY,CITYNAME,MONTH,MONTHNAME,DAY,DAYNAME,DAY_WEEK,DAY_WEEKNAME,YEAR,HOUR,HOURNAME,MINUTE,MINUTENAME,TWAY_ID,TWAY_ID2,ROUTE,ROUTENAME,RUR_URB,RUR_URBNAME,FUNC_SYS,FUNC_SYSNAME,RD_OWNER,RD_OWNERNAME,NHS,NHSNAME,SP_JUR,SP_JURNAME,MILEPT,MILEPTNAME,LATITUDE,LATITUDENAME,LONGITUD,LONGITUDNAME,HARM_EV,HARM_EVNAME,MAN_COLL,MAN_COLLNAME,RELJCT1,RELJCT1NAME,RELJCT2,RELJCT2NAME,TYP_INT,TYP_INTNAME,REL_ROAD,REL_ROADNAME,WRK_ZONE,WRK_ZONENAME,LGT_COND,LGT_CONDNAME,WEATHER,WEATHERNAME,SCH_BUS,SCH_BUSNAME,RAIL,RAILNAME,NOT_HOUR,NOT_HOURNAME,NOT_MIN,NOT_MINNAME,ARR_HOUR,ARR_HOURNAME,ARR_MIN,ARR_MINNAME,HOSP_HR,HOSP_HRNAME,HOSP_MN,HOSP_MNNAME,FATALS
15,Hawaii,150001,1,1,1,1,0,4,4,9,MAUI (9),9997,Other,1,January,1,1,7,Saturday,2022,0,0:00am-0:59am,11,11,SR-30,NA,3,State Highway,2,Urban,3,Principal Arterial - Other,1,State Highway Agency,9,Unknown if this section is on the NHS,0,No Special Jurisdiction,250,250,20.92930278,20.92930278,-156.69006667,-156.69006667,8,Pedestrian,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,None,3,Dark - Lighted,10,Cloudy,0,No,0000000,Not Applicable,0,0:00am-0:59am,11,11,0,0:00am-0:59am,19,19,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
15,Hawaii,150002,0,0,1,1,0,1,1,9,MAUI (9),9300,WAILUKU HAWAIIAN HOME LAND (HISTORICAL),1,January,1,1,7,Saturday,2022,1,1:00am-1:59am,45,45,CR-KEHALANI MAUKA PARKWAY,NA,4,County Road,2,Urban,4,Minor Arterial,2,County Highway Agency,0,This section IS NOT on the NHS,0,No Special Jurisdiction,99998,Not Reported,20.87852222,20.87852222,-156.50763056,-156.50763056,33,Curb,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,4,On Roadside,0,None,2,Dark - Not Lighted,10,Cloudy,0,No,0000000,Not Applicable,1,1:00am-1:59am,45,45,1,1:00am-1:59am,56,56,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
15,Hawaii,150003,1,1,1,1,0,1,1,3,HONOLULU (3),2400,HONOLULU,1,January,14,14,6,Friday,2022,22,10:00pm-10:59pm,53,53,SR-92,CR- SAND ISLAND ACCESS ROAD,3,State Highway,2,Urban,3,Principal Arterial - Other,1,State Highway Agency,1,This section IS ON the NHS,0,No Special Jurisdiction,99998,Not Reported,21.32860556,21.32860556,-157.88644167,-157.88644167,8,Pedestrian,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,3,Intersection-Related,3,T-Intersection,1,On Roadway,0,None,3,Dark - Lighted,1,Clear,0,No,0000000,Not Applicable,22,10:00pm-10:59pm,52,52,22,10:00pm-10:59pm,56,56,23,11:00pm-11:59pm,20,20,1
15,Hawaii,150004,1,1,1,1,0,2,2,1,HAWAII (1),9997,Other,1,January,9,9,1,Sunday,2022,20,8:00pm-8:59pm,25,25,SR-19,NA,3,State Highway,2,Urban,3,Principal Arterial - Other,1,State Highway Agency,1,This section IS ON the NHS,0,No Special Jurisdiction,680,680,20.00750833,20.00750833,-155.81409167,-155.81409167,8,Pedestrian,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,None,2,Dark - Not Lighted,1,Clear,0,No,0000000,Not Applicable,20,8:00pm-8:59pm,26,26,20,8:00pm-8:59pm,33,33,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
15,Hawaii,150005,0,0,1,1,0,8,8,1,HAWAII (1),1900,HILO,1,January,1,1,7,Saturday,2022,15,3:00pm-3:59pm,29,29,CR-MAUNA KEA ACCESS ROAD,NA,4,County Road,1,Rural,4,Minor Arterial,2,County Highway Agency,0,This section IS NOT on the NHS,0,No Special Jurisdiction,99998,Not Reported,19.74390278,19.74390278,-155.44983333,-155.44983333,1,Rollover/Overturn,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,4,On Roadside,0,None,1,Daylight,2,Rain,0,No,0000000,Not Applicable,15,3:00pm-3:59pm,31,31,16,4:00pm-4:59pm,15,15,17,5:00pm-5:59pm,11,11,1
15,Hawaii,150006,1,1,1,1,0,1,1,3,HONOLULU (3),8200,PEARL CITY,1,January,22,22,7,Saturday,2022,0,0:00am-0:59am,25,25,I-H2,NA,1,Interstate,2,Urban,1,Interstate,1,State Highway Agency,1,This section IS ON the NHS,0,No Special Jurisdiction,99998,Not Reported,21.434575,21.434575,-157.99526667,-157.99526667,8,Pedestrian,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,None,3,Dark - Lighted,1,Clear,0,No,0000000,Not Applicable,0,0:00am-0:59am,28,28,0,0:00am-0:59am,42,42,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
15,Hawaii,150007,0,0,2,2,0,2,2,9,MAUI (9),4800,KIHEI,1,January,24,24,2,Monday,2022,8,8:00am-8:59am,36,36,SR-311,NA,3,State Highway,2,Urban,3,Principal Arterial - Other,1,State Highway Agency,1,This section IS ON the NHS,0,No Special Jurisdiction,62,62,20.78843333,20.78843333,-156.46323333,-156.46323333,12,Motor Vehicle In-Transport,2,Front-to-Front,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,None,1,Daylight,1,Clear,0,No,0000000,Not Applicable,8,8:00am-8:59am,36,36,8,8:00am-8:59am,44,44,9,9:00am-9:59am,13,13,1
15,Hawaii,150008,1,1,1,1,0,1,1,9,MAUI (9),9997,Other,1,January,29,29,7,Saturday,2022,22,10:00pm-10:59pm,34,34,CR-FRONT STREET,NA,4,County Road,2,Urban,4,Minor Arterial,2,County Highway Agency,0,This section IS NOT on the NHS,0,No Special Jurisdiction,99998,Not Reported,20.88491667,20.88491667,-156.68501389,-156.68501389,9,Pedalcyclist,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,None,3,Dark - Lighted,1,Clear,0,No,0000000,Not Applicable,22,10:00pm-10:59pm,36,36,22,10:00pm-10:59pm,39,39,99,Unknown,99,Unknown EMS Hospital Arrival Time,1
15,Hawaii,150009,0,0,3,3,0,5,5,3,HONOLULU (3),9400,WAIMANALO,1,January,27,27,5,Thursday,2022,18,6:00pm-6:59pm,38,38,SR-72,NA,3,State Highway,2,Urban,3,Principal Arterial - Other,1,State Highway Agency,1,This section IS ON the NHS,0,No Special Jurisdiction,99998,Not Reported,21.31528611,21.31528611,-157.663125,-157.663125,12,Motor Vehicle In-Transport,8,Sideswipe - Opposite Direction,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,None,2,Dark - Not Lighted,1,Clear,0,No,0000000,Not Applicable,18,6:00pm-6:59pm,40,40,18,6:00pm-6:59pm,55,55,19,7:00pm-7:59pm,33,33,1
15,Hawaii,150010,1,1,1,1,0,3,3,3,HONOLULU (3),2400,HONOLULU,1,January,29,29,7,Saturday,2022,1,1:00am-1:59am,23,23,SR-92 NIMITZ HWY,CR-PUUHALE ROAD,3,State Highway,2,Urban,3,Principal Arterial - Other,1,State Highway Agency,1,This section IS ON the NHS,0,No Special Jurisdiction,99998,Not Reported,21.327125,21.327125,-157.88532778,-157.88532778,9,Pedalcyclist,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,2,Intersection,2,Four-Way Intersection,1,On Roadway,0,None,3,Dark - Lighted,1,Clear,0,No,0000000,Not Applicable,1,1:00am-1:59am,28,28,1,1:00am-1:59am,38,38,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
