STATE,STATENAME,ST_CASE,PEDS,PERNOTMVIT,VE_TOTAL,VE_FORMS,PVH_INVL,PERSONS,PERMVIT,COUNTY,COUNTYNAME,CITY,CITYNAME,MONTH,MONTHNAME,DAY,DAYNAME,DAY_WEEK,DAY_WEEKNAME,YEAR,HOUR,HOURNAME,MINUTE,MINUTENAME,TWAY_ID,TWAY_ID2,ROUTE,ROUTENAME,RUR_URB,RUR_URBNAME,FUNC_SYS,FUNC_SYSNAME,RD_OWNER,RD_OWNERNAME,NHS,NHSNAME,SP_JUR,SP_JURNAME,MILEPT,MILEPTNAME,LATITUDE,LATITUDENAME,LONGITUD,LONGITUDNAME,HARM_EV,HARM_EVNAME,MAN_COLL,MAN_COLLNAME,RELJCT1,RELJCT1NAME,RELJCT2,RELJCT2NAME,TYP_INT,TYP_INTNAME,REL_ROAD,REL_ROADNAME,WRK_ZONE,WRK_ZONENAME,LGT_COND,LGT_CONDNAME,WEATHER,WEATHERNAME,SCH_BUS,SCH_BUSNAME,RAIL,RAILNAME,NOT_HOUR,NOT_HOURNAME,NOT_MIN,NOT_MINNAME,ARR_HOUR,ARR_HOURNAME,ARR_MIN,ARR_MINNAME,HOSP_HR,HOSP_HRNAME,HOSP_MN,HOSP_MNNAME,FATALS
16,Idaho,160001,0,0,1,1,0,1,1,11,BINGHAM (11),0,NOT APPLICABLE,1,January,8,8,7,Saturday,2022,6,6:00am-6:59am,6,6,CR - 100 SOUTH ST,NA,5,Local Street - Township,1,Rural,6,Minor Collector,2,County Highway Agency,0,This section IS NOT on the NHS,0,No Special Jurisdiction,0,None,43.18245833,43.18245833,-112.45514722,-112.45514722,38,Fence,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,5,Outside Trafficway,0,None,2,Dark - Not Lighted,1,Clear,0,No,0000000,Not Applicable,6,6:00am-6:59am,9,9,6,6:00am-6:59am,16,16,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
16,Idaho,160002,0,0,1,1,0,5,5,39,ELMORE (39),0,NOT APPLICABLE,1,January,19,19,4,Wednesday,2022,9,9:00am-9:59am,32,32,I-84,NA,1,Interstate,1,Rural,1,Interstate,1,State Highway Agency,1,This section IS ON the NHS,0,No Special Jurisdiction,1059,1059,43.00893611,43.00893611,-115.54940278,-115.54940278,1,Rollover/Overturn,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,4,On Roadside,0,None,1,Daylight,5,"Fog, Smog, Smoke",0,No,0000000,Not Applicable,9,9:00am-9:59am,32,32,9,9:00am-9:59am,36,36,99,Unknown,99,Unknown EMS Hospital Arrival Time,1
16,Idaho,160003,0,0,1,1,0,2,2,19,BONNEVILLE (19),790,IDAHO FALLS,1,January,16,16,1,Sunday,2022,4,4:00am-4:59am,52,52,SNAKE RIVER PWY,NA,5,Local Street - Township,2,Urban,4,Minor Arterial,4,City or Municipal Highway Agency,0,This section IS NOT on the NHS,0,No Special Jurisdiction,0,None,43.47408611,43.47408611,-112.06470278,-112.06470278,42,Tree (Standing Only),0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,3,On Median,0,None,2,Dark - Not Lighted,1,Clear,0,No,0000000,Not Applicable,4,4:00am-4:59am,54,54,4,4:00am-4:59am,59,59,99,Unknown,99,Unknown EMS Hospital Arrival Time,1
16,Idaho,160004,0,0,1,1,0,1,1,27,CANYON (27),0,NOT APPLICABLE,1,January,22,22,7,Saturday,2022,13,1:00pm-1:59pm,14,14,LAKE SHORE DR,NA,5,Local Street - Township,1,Rural,5,Major Collector,2,County Highway Agency,0,This section IS NOT on the NHS,0,No Special Jurisdiction,0,None,43.56080833,43.56080833,-116.71683889,-116.71683889,59,Traffic Sign Support,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,4,On Roadside,0,None,1,Daylight,10,Cloudy,0,No,0000000,Not Applicable,13,1:00pm-1:59pm,15,15,13,1:00pm-1:59pm,24,24,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
16,Idaho,160006,0,0,6,6,0,7,7,1,ADA (1),160,BOISE,1,January,20,20,5,Thursday,2022,17,5:00pm-5:59pm,37,37,I-84 IC 2 WB OFF RAMP,NA,1,Interstate,2,Urban,1,Interstate,1,State Highway Agency,1,This section IS ON the NHS,0,No Special Jurisdiction,0,None,43.61790278,43.61790278,-116.25146111,-116.25146111,12,Motor Vehicle In-Transport,7,Sideswipe - Same Direction,1,Yes,20,Entrance/Exit Ramp,1,Not an Intersection,1,On Roadway,0,None,1,Daylight,4,Snow,0,No,0000000,Not Applicable,17,5:00pm-5:59pm,32,32,17,5:00pm-5:59pm,41,41,99,Unknown,99,Unknown EMS Hospital Arrival Time,1
16,Idaho,160007,0,0,2,2,0,2,2,27,CANYON (27),1200,NAMPA,1,January,19,19,4,Wednesday,2022,0,0:00am-0:59am,25,25,11TH AVENUE SOUTH,2ND ST SOUTH,5,Local Street - Township,2,Urban,3,Principal Arterial - Other,4,City or Municipal Highway Agency,0,This section IS NOT on the NHS,0,No Special Jurisdiction,0,None,43.57881944,43.57881944,-116.56183611,-116.56183611,12,Motor Vehicle In-Transport,6,Angle,0,No,2,Intersection,2,Four-Way Intersection,1,On Roadway,0,None,3,Dark - Lighted,1,Clear,0,No,0000000,Not Applicable,0,0:00am-0:59am,28,28,0,0:00am-0:59am,35,35,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
16,Idaho,160009,0,0,2,2,0,2,2,47,GOODING (47),0,NOT APPLICABLE,1,January,19,19,4,Wednesday,2022,5,5:00am-5:59am,49,49,I-84,NA,1,Interstate,1,Rural,1,Interstate,1,State Highway Agency,1,This section IS ON the NHS,0,No Special Jurisdiction,1497,1497,42.83030278,42.83030278,-114.80636944,-114.80636944,12,Motor Vehicle In-Transport,6,Angle,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,None,2,Dark - Not Lighted,5,"Fog, Smog, Smoke",0,No,0000000,Not Applicable,5,5:00am-5:59am,50,50,6,6:00am-6:59am,15,15,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
16,Idaho,160010,0,0,1,1,0,1,1,15,BOISE (15),0,NOT APPLICABLE,1,January,7,7,6,Friday,2022,15,3:00pm-3:59pm,47,47,SR-55,NA,3,State Highway,1,Rural,3,Principal Arterial - Other,1,State Highway Agency,1,This section IS ON the NHS,0,No Special Jurisdiction,722,722,44.008394439999996,44.008394439999996,-116.16778611,-116.16778611,35,Embankment,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,4,On Roadside,0,None,1,Daylight,1,Clear,0,No,0000000,Not Applicable,15,3:00pm-3:59pm,48,48,16,4:00pm-4:59pm,3,3,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
16,Idaho,160011,0,0,2,2,0,3,3,43,FREMONT (43),0,NOT APPLICABLE,2,February,4,4,6,Friday,2022,14,2:00pm-2:59pm,39,39,US-20,1000 NORTH,2,US Highway,1,Rural,3,Principal Arterial - Other,1,State Highway Agency,1,This section IS ON the NHS,0,No Special Jurisdiction,0,None,44.02748611,44.02748611,-111.50052222,-111.50052222,12,Motor Vehicle In-Transport,1,Front-to-Rear,0,No,3,Intersection-Related,2,Four-Way Intersection,1,On Roadway,0,None,1,Daylight,10,Cloudy,0,No,0000000,Not Applicable,14,2:00pm-2:59pm,39,39,14,2:00pm-2:59pm,42,42,99,Unknown,99,Unknown EMS Hospital Arrival Time,1
16,Idaho,160012,0,0,2,2,0,4,4,53,JEROME (53),0,NOT APPLICABLE,2,February,6,6,1,Sunday,2022,20,8:00pm-8:59pm,2,2,Golf Course Rd,NA,5,Local Street - Township,1,Rural,5,Major Collector,2,County Highway Agency,0,This section IS NOT on the NHS,0,No Special Jurisdiction,0,None,42.63196667,42.63196667,-114.494225,-114.494225,12,Motor Vehicle In-Transport,2,Front-to-Front,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,None,2,Dark - Not Lighted,1,Clear,0,No,0000000,Not Applicable,20,8:00pm-8:59pm,3,3,20,8:00pm-8:59pm,7,7,20,8:00pm-8:59pm,58,58,1
