STATE,STATENAME,ST_CASE,PEDS,PERNOTMVIT,VE_TOTAL,VE_FORMS,PVH_INVL,PERSONS,PERMVIT,COUNTY,COUNTYNAME,CITY,CITYNAME,MONTH,MONTHNAME,DAY,DAYNAME,DAY_WEEK,DAY_WEEKNAME,YEAR,HOUR,HOURNAME,MINUTE,MINUTENAME,TWAY_ID,TWAY_ID2,ROUTE,ROUTENAME,RUR_URB,RUR_URBNAME,FUNC_SYS,FUNC_SYSNAME,RD_OWNER,RD_OWNERNAME,NHS,NHSNAME,SP_JUR,SP_JURNAME,MILEPT,MILEPTNAME,LATITUDE,LATITUDENAME,LONGITUD,LONGITUDNAME,HARM_EV,HARM_EVNAME,MAN_COLL,MAN_COLLNAME,RELJCT1,RELJCT1NAME,RELJCT2,RELJCT2NAME,TYP_INT,TYP_INTNAME,REL_ROAD,REL_ROADNAME,WRK_ZONE,WRK_ZONENAME,LGT_COND,LGT_CONDNAME,WEATHER,WEATHERNAME,SCH_BUS,SCH_BUSNAME,RAIL,RAILNAME,NOT_HOUR,NOT_HOURNAME,NOT_MIN,NOT_MINNAME,ARR_HOUR,ARR_HOURNAME,ARR_MIN,ARR_MINNAME,HOSP_HR,HOSP_HRNAME,HOSP_MN,HOSP_MNNAME,FATALS
17,Illinois,170001,0,0,1,1,0,1,1,163,ST. CLAIR (163),0,NOT APPLICABLE,1,January,2,2,1,Sunday,2022,0,0:00am-0:59am,4,4,MASCOUTAH AVE,NA,8,Other,2,Urban,4,Minor Arterial,1,State Highway Agency,0,This section IS NOT on the NHS,0,No Special Jurisdiction,125,125,38.50477222,38.50477222,-89.90370556,-89.90370556,34,Ditch,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,4,On Roadside,0,None,6,Dark - Unknown Lighting,12,Freezing Rain or Drizzle,0,No,0000000,Not Applicable,0,0:00am-0:59am,4,4,0,0:00am-0:59am,10,10,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
17,Illinois,170002,0,1,2,1,1,3,2,31,COOK (31),1670,CHICAGO,1,January,1,1,7,Saturday,2022,1,1:00am-1:59am,44,44,I-94,NA,1,Interstate,2,Urban,1,Interstate,1,State Highway Agency,1,This section IS ON the NHS,0,No Special Jurisdiction,99998,Not Reported,41.740475000000004,41.740475000000004,-87.62524167,-87.62524167,45,Working Motor Vehicle,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,1,Yes,5,Entrance/Exit Ramp Related,1,Not an Intersection,2,On Shoulder,0,None,6,Dark - Unknown Lighting,1,Clear,0,No,0000000,Not Applicable,1,1:00am-1:59am,45,45,1,1:00am-1:59am,45,45,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),2
17,Illinois,170003,0,0,1,1,0,1,1,31,COOK (31),9997,Other,1,January,4,4,3,Tuesday,2022,1,1:00am-1:59am,30,30,SAUK TRAIL,RIDGELAND AVE,5,Local Street - Township,2,Urban,4,Minor Arterial,3,Town or Township Highway Agency,0,This section IS NOT on the NHS,0,No Special Jurisdiction,99998,Not Reported,41.48433056,41.48433056,-87.77093333,-87.77093333,42,Tree (Standing Only),0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,3,Intersection-Related,2,Four-Way Intersection,4,On Roadside,0,None,3,Dark - Lighted,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
17,Illinois,170004,0,0,2,2,0,3,3,31,COOK (31),0,NOT APPLICABLE,1,January,1,1,7,Saturday,2022,5,5:00am-5:59am,10,10,I-290,NA,1,Interstate,2,Urban,1,Interstate,1,State Highway Agency,1,This section IS ON the NHS,0,No Special Jurisdiction,175,175,41.86986111,41.86986111,-87.88373889,-87.88373889,12,Motor Vehicle In-Transport,2,Front-to-Front,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,None,3,Dark - Lighted,1,Clear,0,No,0000000,Not Applicable,5,5:00am-5:59am,13,13,5,5:00am-5:59am,15,15,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),3
17,Illinois,170005,1,1,1,1,0,1,1,143,PEORIA (143),6850,PEORIA,1,January,1,1,7,Saturday,2022,5,5:00am-5:59am,34,34,SR-116,NA,3,State Highway,2,Urban,3,Principal Arterial - Other,1,State Highway Agency,1,This section IS ON the NHS,0,No Special Jurisdiction,145,145,40.69135833,40.69135833,-89.71293056,-89.71293056,8,Pedestrian,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,None,6,Dark - Unknown Lighting,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
17,Illinois,170006,0,0,1,1,0,1,1,31,COOK (31),6240,NORRIDGE,1,January,3,3,2,Monday,2022,16,4:00pm-4:59pm,48,48,SR-171,CORAL DR,3,State Highway,2,Urban,3,Principal Arterial - Other,1,State Highway Agency,1,This section IS ON the NHS,0,No Special Jurisdiction,372,372,41.96369722,41.96369722,-87.83678611,-87.83678611,30,Utility Pole/Light Support,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,3,Intersection-Related,3,T-Intersection,4,On Roadside,0,None,1,Daylight,1,Clear,0,No,0000000,Not Applicable,16,4:00pm-4:59pm,48,48,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,1
17,Illinois,170007,0,0,2,2,0,2,2,181,UNION (181),0,NOT APPLICABLE,1,January,5,5,4,Wednesday,2022,20,8:00pm-8:59pm,6,6,SR-3,NA,3,State Highway,2,Urban,3,Principal Arterial - Other,1,State Highway Agency,1,This section IS ON the NHS,0,No Special Jurisdiction,126,126,37.39596667,37.39596667,-89.38896111,-89.38896111,12,Motor Vehicle In-Transport,8,Sideswipe - Opposite Direction,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,None,6,Dark - Unknown Lighting,1,Clear,0,No,0000000,Not Applicable,20,8:00pm-8:59pm,6,6,20,8:00pm-8:59pm,18,18,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
17,Illinois,170008,0,0,2,2,0,2,2,191,WAYNE (191),0,NOT APPLICABLE,1,January,6,6,5,Thursday,2022,9,9:00am-9:59am,20,20,I-64,NA,1,Interstate,1,Rural,1,Interstate,1,State Highway Agency,1,This section IS ON the NHS,0,No Special Jurisdiction,961,961,38.26651667,38.26651667,-88.60931389,-88.60931389,12,Motor Vehicle In-Transport,2,Front-to-Front,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,None,1,Daylight,4,Snow,0,No,0000000,Not Applicable,9,9:00am-9:59am,20,20,9,9:00am-9:59am,36,36,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
17,Illinois,170009,0,0,1,1,0,1,1,31,COOK (31),1670,CHICAGO,1,January,7,7,6,Friday,2022,16,4:00pm-4:59pm,20,20,US-41,NA,2,US Highway,2,Urban,3,Principal Arterial - Other,1,State Highway Agency,1,This section IS ON the NHS,0,No Special Jurisdiction,211,211,41.96913333,41.96913333,-87.64786111,-87.64786111,42,Tree (Standing Only),0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,3,On Median,0,None,1,Daylight,1,Clear,0,No,0000000,Not Applicable,16,4:00pm-4:59pm,20,20,16,4:00pm-4:59pm,27,27,99,Unknown,99,Unknown EMS Hospital Arrival Time,1
17,Illinois,170010,0,0,1,1,0,1,1,163,ST. CLAIR (163),3200,FREEBURG,1,January,8,8,7,Saturday,2022,2,2:00am-2:59am,3,3,BARBER LN,NA,6,Local Street - Municipality,2,Urban,7,Local,4,City or Municipal Highway Agency,0,This section IS NOT on the NHS,0,No Special Jurisdiction,99998,Not Reported,38.41613611,38.41613611,-89.880725,-89.880725,42,Tree (Standing Only),0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,4,On Roadside,0,None,6,Dark - Unknown Lighting,1,Clear,0,No,0000000,Not Applicable,2,2:00am-2:59am,6,6,2,2:00am-2:59am,15,15,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
17,Illinois,170011,0,0,1,1,0,2,2,193,WHITE (193),0,NOT APPLICABLE,1,January,1,1,7,Saturday,2022,15,3:00pm-3:59pm,0,0,SR-141,NA,3,State Highway,1,Rural,4,Minor Arterial,1,State Highway Agency,0,This section IS NOT on the NHS,0,No Special Jurisdiction,131,131,37.91646667,37.91646667,-88.11985833,-88.11985833,35,Embankment,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,4,On Roadside,0,None,1,Daylight,1,Clear,0,No,0000000,Not Applicable,15,3:00pm-3:59pm,1,1,15,3:00pm-3:59pm,7,7,99,Unknown,99,Unknown EMS Hospital Arrival Time,1
17,Illinois,170012,0,0,3,3,0,5,5,57,FULTON (57),0,NOT APPLICABLE,1,January,3,3,2,Monday,2022,14,2:00pm-2:59pm,12,12,SR-9,CEMETERTY RD,3,State Highway,1,Rural,3,Principal Arterial - Other,1,State Highway Agency,1,This section IS ON the NHS,0,No Special Jurisdiction,777,777,40.54619722,40.54619722,-89.97010833,-89.97010833,12,Motor Vehicle In-Transport,1,Front-to-Rear,0,No,3,Intersection-Related,3,T-Intersection,1,On Roadway,0,None,1,Daylight,1,Clear,0,No,0000000,Not Applicable,14,2:00pm-2:59pm,14,14,14,2:00pm-2:59pm,19,19,99,Unknown,99,Unknown EMS Hospital Arrival Time,1
17,Illinois,170013,0,0,2,2,0,2,2,43,DUPAGE (43),0,NOT APPLICABLE,1,January,4,4,3,Tuesday,2022,10,10:00am-10:59am,59,59,CR-13,NA,5,Local Street - Township,2,Urban,4,Minor Arterial,3,Town or Township Highway Agency,0,This section IS NOT on the NHS,0,No Special Jurisdiction,99998,Not Reported,41.85521667,41.85521667,-88.16168889,-88.16168889,12,Motor Vehicle In-Transport,2,Front-to-Front,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,None,1,Daylight,4,Snow,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,1
17,Illinois,170014,0,0,1,1,0,4,4,85,JO DAVIESS (85),0,NOT APPLICABLE,1,January,8,8,7,Saturday,2022,3,3:00am-3:59am,22,22,PLEASANT HILL RD,NA,5,Local Street - Township,1,Rural,7,Local,3,Town or Township Highway Agency,0,This section IS NOT on the NHS,0,No Special Jurisdiction,99998,Not Reported,42.29637222,42.29637222,-90.22725833,-90.22725833,32,Culvert,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,4,On Roadside,0,None,6,Dark - Unknown Lighting,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,2
