STATE,STATENAME,ST_CASE,PEDS,PERNOTMVIT,VE_TOTAL,VE_FORMS,PVH_INVL,PERSONS,PERMVIT,COUNTY,COUNTYNAME,CITY,CITYNAME,MONTH,MONTHNAME,DAY,DAYNAME,DAY_WEEK,DAY_WEEKNAME,YEAR,HOUR,HOURNAME,MINUTE,MINUTENAME,TWAY_ID,TWAY_ID2,ROUTE,ROUTENAME,RUR_URB,RUR_URBNAME,FUNC_SYS,FUNC_SYSNAME,RD_OWNER,RD_OWNERNAME,NHS,NHSNAME,SP_JUR,SP_JURNAME,MILEPT,MILEPTNAME,LATITUDE,LATITUDENAME,LONGITUD,LONGITUDNAME,HARM_EV,HARM_EVNAME,MAN_COLL,MAN_COLLNAME,RELJCT1,RELJCT1NAME,RELJCT2,RELJCT2NAME,TYP_INT,TYP_INTNAME,REL_ROAD,REL_ROADNAME,WRK_ZONE,WRK_ZONENAME,LGT_COND,LGT_CONDNAME,WEATHER,WEATHERNAME,SCH_BUS,SCH_BUSNAME,RAIL,RAILNAME,NOT_HOUR,NOT_HOURNAME,NOT_MIN,NOT_MINNAME,ARR_HOUR,ARR_HOURNAME,ARR_MIN,ARR_MINNAME,HOSP_HR,HOSP_HRNAME,HOSP_MN,HOSP_MNNAME,FATALS
20,Kansas,200001,0,0,1,1,0,1,1,139,OSAGE (139),4210,OSAGE CITY,1,January,1,1,7,Saturday,2022,17,5:00pm-5:59pm,28,28,US-56,NA,2,US Highway,1,Rural,4,Minor Arterial,1,State Highway Agency,0,This section IS NOT on the NHS,0,No Special Jurisdiction,3824,3824,38.65167778,38.65167778,-95.94403889,-95.94403889,1,Rollover/Overturn,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,4,On Roadside,0,None,2,Dark - Not Lighted,11,Blowing Snow,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
20,Kansas,200002,0,0,2,2,0,4,4,45,DOUGLAS (45),3010,LAWRENCE,1,January,1,1,7,Saturday,2022,0,0:00am-0:59am,16,16,W 6TH ST,NA,6,Local Street - Municipality,2,Urban,4,Minor Arterial,4,City or Municipal Highway Agency,0,This section IS NOT on the NHS,0,No Special Jurisdiction,99998,Not Reported,38.97150278,38.97150278,-95.26831667,-95.26831667,12,Motor Vehicle In-Transport,2,Front-to-Front,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,None,3,Dark - Lighted,98,Not Reported,0,No,0000000,Not Applicable,0,0:00am-0:59am,16,16,0,0:00am-0:59am,17,17,0,0:00am-0:59am,52,52,1
20,Kansas,200003,0,0,2,1,1,1,1,209,WYANDOTTE (209),580,BONNER SPRINGS,1,January,3,3,2,Monday,2022,7,7:00am-7:59am,30,30,I-70 KS TPKE,NA,1,Interstate,2,Urban,1,Interstate,31,State Toll Road,1,This section IS ON the NHS,0,No Special Jurisdiction,2242,2242,39.09788056,39.09788056,-94.87556667,-94.87556667,14,Parked Motor Vehicle,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,1,Yes,19,Other location within Interchange Area,1,Not an Intersection,2,On Shoulder,0,None,4,Dawn,1,Clear,0,No,0000000,Not Applicable,7,7:00am-7:59am,99,Unknown,7,7:00am-7:59am,99,Unknown EMS Scene Arrival Minutes,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
20,Kansas,200004,0,0,2,2,0,3,3,43,DONIPHAN (43),1640,ELWOOD,1,January,11,11,3,Tuesday,2022,8,8:00am-8:59am,35,35,US-36,NA,2,US Highway,2,Urban,3,Principal Arterial - Other,1,State Highway Agency,1,This section IS ON the NHS,0,No Special Jurisdiction,3911,3911,39.74790278,39.74790278,-94.87471111,-94.87471111,12,Motor Vehicle In-Transport,1,Front-to-Rear,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,None,1,Daylight,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
20,Kansas,200005,0,0,2,2,0,5,5,15,BUTLER (15),0,NOT APPLICABLE,1,January,14,14,6,Friday,2022,17,5:00pm-5:59pm,54,54,SR-254,SW RIVER VALLEY RD,3,State Highway,1,Rural,2,Principal Arterial - Other Freeways and Expressways,1,State Highway Agency,1,This section IS ON the NHS,0,No Special Jurisdiction,180,180,37.79801111,37.79801111,-97.00867222,-97.00867222,12,Motor Vehicle In-Transport,6,Angle,1,Yes,2,Intersection,2,Four-Way Intersection,1,On Roadway,0,None,3,Dark - Lighted,6,Severe Crosswinds,0,No,0000000,Not Applicable,17,5:00pm-5:59pm,57,57,18,6:00pm-6:59pm,6,6,18,6:00pm-6:59pm,41,41,1
20,Kansas,200006,0,0,2,2,0,3,3,173,SEDGWICK (173),0,NOT APPLICABLE,1,January,7,7,6,Friday,2022,9,9:00am-9:59am,9,9,W 21ST ST N,N 295TH ST W,8,Other,1,Rural,6,Minor Collector,2,County Highway Agency,0,This section IS NOT on the NHS,0,No Special Jurisdiction,99998,Not Reported,37.72113889,37.72113889,-97.68030833,-97.68030833,12,Motor Vehicle In-Transport,6,Angle,0,No,2,Intersection,2,Four-Way Intersection,1,On Roadway,0,None,1,Daylight,98,Not Reported,0,No,0000000,Not Applicable,9,9:00am-9:59am,10,10,9,9:00am-9:59am,24,24,10,10:00am-10:59am,16,16,1
20,Kansas,200007,0,0,2,2,0,2,2,95,KINGMAN (95),0,NOT APPLICABLE,1,January,25,25,3,Tuesday,2022,10,10:00am-10:59am,35,35,SR-42,NA,3,State Highway,1,Rural,5,Major Collector,1,State Highway Agency,0,This section IS NOT on the NHS,0,No Special Jurisdiction,492,492,37.45893889,37.45893889,-97.87218056,-97.87218056,12,Motor Vehicle In-Transport,2,Front-to-Front,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,None,1,Daylight,10,Cloudy,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
20,Kansas,200008,0,0,1,1,0,1,1,175,SEWARD (175),0,NOT APPLICABLE,1,January,29,29,7,Saturday,2022,0,0:00am-0:59am,45,45,S KANSAS AVE,NA,8,Other,2,Urban,5,Major Collector,2,County Highway Agency,0,This section IS NOT on the NHS,0,No Special Jurisdiction,99998,Not Reported,37.01056389,37.01056389,-100.90686667,-100.90686667,59,Traffic Sign Support,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,4,On Roadside,0,None,2,Dark - Not Lighted,1,Clear,0,No,0000000,Not Applicable,0,0:00am-0:59am,52,52,0,0:00am-0:59am,59,59,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
20,Kansas,200009,0,0,2,2,0,3,3,97,KIOWA (97),0,NOT APPLICABLE,1,January,25,25,3,Tuesday,2022,16,4:00pm-4:59pm,10,10,US-183,NA,2,US Highway,1,Rural,4,Minor Arterial,1,State Highway Agency,0,This section IS NOT on the NHS,0,No Special Jurisdiction,465,465,37.41146667,37.41146667,-99.31967778,-99.31967778,12,Motor Vehicle In-Transport,6,Angle,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,None,1,Daylight,4,Snow,0,No,0000000,Not Applicable,16,4:00pm-4:59pm,12,12,16,4:00pm-4:59pm,25,25,16,4:00pm-4:59pm,56,56,1
20,Kansas,200010,0,1,2,1,1,4,3,173,SEDGWICK (173),5880,WICHITA,1,January,14,14,6,Friday,2022,8,8:00am-8:59am,25,25,I-35,NA,1,Interstate,2,Urban,1,Interstate,1,State Highway Agency,1,This section IS ON the NHS,0,No Special Jurisdiction,451,451,37.63166667,37.63166667,-97.28837778,-97.28837778,14,Parked Motor Vehicle,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,2,On Shoulder,0,None,1,Daylight,10,Cloudy,0,No,0000000,Not Applicable,8,8:00am-8:59am,28,28,8,8:00am-8:59am,34,34,9,9:00am-9:59am,12,12,1
