STATE,STATENAME,ST_CASE,PEDS,PERNOTMVIT,VE_TOTAL,VE_FORMS,PVH_INVL,PERSONS,PERMVIT,COUNTY,COUNTYNAME,CITY,CITYNAME,MONTH,MONTHNAME,DAY,DAYNAME,DAY_WEEK,DAY_WEEKNAME,YEAR,HOUR,HOURNAME,MINUTE,MINUTENAME,TWAY_ID,TWAY_ID2,ROUTE,ROUTENAME,RUR_URB,RUR_URBNAME,FUNC_SYS,FUNC_SYSNAME,RD_OWNER,RD_OWNERNAME,NHS,NHSNAME,SP_JUR,SP_JURNAME,MILEPT,MILEPTNAME,LATITUDE,LATITUDENAME,LONGITUD,LONGITUDNAME,HARM_EV,HARM_EVNAME,MAN_COLL,MAN_COLLNAME,RELJCT1,RELJCT1NAME,RELJCT2,RELJCT2NAME,TYP_INT,TYP_INTNAME,REL_ROAD,REL_ROADNAME,WRK_ZONE,WRK_ZONENAME,LGT_COND,LGT_CONDNAME,WEATHER,WEATHERNAME,SCH_BUS,SCH_BUSNAME,RAIL,RAILNAME,NOT_HOUR,NOT_HOURNAME,NOT_MIN,NOT_MINNAME,ARR_HOUR,ARR_HOURNAME,ARR_MIN,ARR_MINNAME,HOSP_HR,HOSP_HRNAME,HOSP_MN,HOSP_MNNAME,FATALS
25,Massachusetts,250001,1,1,1,1,0,1,1,17,MIDDLESEX (17),105,EAST BILLERICA,1,January,1,1,7,Saturday,2022,19,7:00pm-7:59pm,54,54,US-3 N,NA,2,US Highway,2,Urban,3,Principal Arterial - Other,1,State Highway Agency,1,This section IS ON the NHS,0,No Special Jurisdiction,99998,Not Reported,42.58591944,42.58591944,-71.31078611,-71.31078611,8,Pedestrian,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,None,2,Dark - Not Lighted,2,Rain,0,No,0000000,Not Applicable,19,7:00pm-7:59pm,53,53,19,7:00pm-7:59pm,56,56,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
25,Massachusetts,250002,0,0,1,1,0,2,2,11,FRANKLIN (11),99,BERNARDSTON,1,January,2,2,1,Sunday,2022,12,12:00pm-12:59pm,21,21,I-91,NA,1,Interstate,1,Rural,1,Interstate,1,State Highway Agency,1,This section IS ON the NHS,0,No Special Jurisdiction,99998,Not Reported,42.65555833,42.65555833,-72.552233330000007,-72.552233330000007,24,Guardrail Face,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,4,On Roadside,0,None,1,Daylight,2,Rain,0,No,0000000,Not Applicable,12,12:00pm-12:59pm,22,22,12,12:00pm-12:59pm,37,37,13,1:00pm-1:59pm,0,0,1
25,Massachusetts,250003,1,1,1,1,0,1,1,5,BRISTOL (5),850,NEW BEDFORD,1,January,4,4,3,Tuesday,2022,17,5:00pm-5:59pm,54,54,BELLEVILLE AVE,NA,8,Other,2,Urban,4,Minor Arterial,4,City or Municipal Highway Agency,0,This section IS NOT on the NHS,0,No Special Jurisdiction,99998,Not Reported,41.66790278,41.66790278,-70.9213,-70.9213,8,Pedestrian,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,None,3,Dark - Lighted,1,Clear,0,No,0000000,Not Applicable,17,5:00pm-5:59pm,56,56,17,5:00pm-5:59pm,59,59,18,6:00pm-6:59pm,26,26,1
25,Massachusetts,250004,1,1,1,1,0,2,2,9,ESSEX (9),1110,SALEM,1,January,6,6,5,Thursday,2022,19,7:00pm-7:59pm,13,13,SR-107S HIGHLAND AVE,NONE,3,State Highway,2,Urban,3,Principal Arterial - Other,1,State Highway Agency,1,This section IS ON the NHS,0,No Special Jurisdiction,99998,Not Reported,42.49439444,42.49439444,-70.93375,-70.93375,8,Pedestrian,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,3,Intersection-Related,3,T-Intersection,1,On Roadway,0,None,3,Dark - Lighted,1,Clear,0,No,0000000,Not Applicable,19,7:00pm-7:59pm,9,9,19,7:00pm-7:59pm,14,14,19,7:00pm-7:59pm,24,24,1
25,Massachusetts,250005,0,0,1,1,0,1,1,5,BRISTOL (5),385,FREETOWN,1,January,7,7,6,Friday,2022,7,7:00am-7:59am,28,28,SR-140,NA,3,State Highway,2,Urban,2,Principal Arterial - Other Freeways and Expressways,1,State Highway Agency,1,This section IS ON the NHS,0,No Special Jurisdiction,99998,Not Reported,41.76669444,41.76669444,-70.96156111,-70.96156111,42,Tree (Standing Only),0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,4,On Roadside,0,None,2,Dark - Not Lighted,4,Snow,0,No,0000000,Not Applicable,7,7:00am-7:59am,29,29,7,7:00am-7:59am,39,39,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
25,Massachusetts,250006,0,0,2,2,0,2,2,5,BRISTOL (5),96,BERKLEY,1,January,9,9,1,Sunday,2022,1,1:00am-1:59am,41,41,SR-24,NA,3,State Highway,2,Urban,2,Principal Arterial - Other Freeways and Expressways,1,State Highway Agency,1,This section IS ON the NHS,0,No Special Jurisdiction,257,257,41.847825,41.847825,-71.06253889,-71.06253889,12,Motor Vehicle In-Transport,2,Front-to-Front,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,None,2,Dark - Not Lighted,10,Cloudy,0,No,0000000,Not Applicable,1,1:00am-1:59am,52,52,1,1:00am-1:59am,57,57,99,Unknown,99,Unknown EMS Hospital Arrival Time,1
25,Massachusetts,250007,1,1,1,1,0,1,1,27,WORCESTER (27),1520,WORCESTER,1,January,10,10,2,Monday,2022,17,5:00pm-5:59pm,15,15,VERNON ST,FIFTH AVE,8,Other,2,Urban,5,Major Collector,4,City or Municipal Highway Agency,0,This section IS NOT on the NHS,0,No Special Jurisdiction,99998,Not Reported,42.24219722,42.24219722,-71.79738889,-71.79738889,8,Pedestrian,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,3,Intersection-Related,3,T-Intersection,1,On Roadway,0,None,3,Dark - Lighted,1,Clear,0,No,0000000,Not Applicable,17,5:00pm-5:59pm,15,15,17,5:00pm-5:59pm,24,24,17,5:00pm-5:59pm,48,48,1
25,Massachusetts,250008,0,0,2,2,0,2,2,5,BRISTOL (5),1133,TOWN OF REHOBOTH,1,January,13,13,5,Thursday,2022,4,4:00am-4:59am,3,3,SR-152 CENTRAL AVE,NA,3,State Highway,2,Urban,4,Minor Arterial,3,Town or Township Highway Agency,9,Unknown if this section is on the NHS,0,No Special Jurisdiction,99998,Not Reported,41.89501944,41.89501944,-71.32651111,-71.32651111,12,Motor Vehicle In-Transport,2,Front-to-Front,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,None,3,Dark - Lighted,1,Clear,0,No,0000000,Not Applicable,4,4:00am-4:59am,4,4,4,4:00am-4:59am,7,7,99,Unknown,99,Unknown EMS Hospital Arrival Time,1
25,Massachusetts,250009,0,0,1,1,0,1,1,15,HAMPSHIRE (15),295,EASTHAMPTON,1,January,14,14,6,Friday,2022,21,9:00pm-9:59pm,18,18,GLENDALE AVE,NA,8,Other,2,Urban,4,Minor Arterial,3,Town or Township Highway Agency,9,Unknown if this section is on the NHS,0,No Special Jurisdiction,99998,Not Reported,42.26416667,42.26416667,-72.68555556,-72.68555556,18,Other Object (not fixed),0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,5,Outside Trafficway,0,None,3,Dark - Lighted,1,Clear,0,No,0000000,Not Applicable,21,9:00pm-9:59pm,18,18,21,9:00pm-9:59pm,21,21,21,9:00pm-9:59pm,53,53,1
25,Massachusetts,250010,0,0,1,1,0,1,1,17,MIDDLESEX (17),1340,WALTHAM,1,January,15,15,7,Saturday,2022,6,6:00am-6:59am,50,50,I-95,NA,1,Interstate,2,Urban,1,Interstate,1,State Highway Agency,1,This section IS ON the NHS,0,No Special Jurisdiction,472,472,42.39470556,42.39470556,-71.262375,-71.262375,24,Guardrail Face,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,1,Yes,19,Other location within Interchange Area,1,Not an Intersection,4,On Roadside,0,None,1,Daylight,1,Clear,0,No,0000000,Not Applicable,6,6:00am-6:59am,52,52,7,7:00am-7:59am,1,1,7,7:00am-7:59am,26,26,1
