STATE,STATENAME,ST_CASE,PEDS,PERNOTMVIT,VE_TOTAL,VE_FORMS,PVH_INVL,PERSONS,PERMVIT,COUNTY,COUNTYNAME,CITY,CITYNAME,MONTH,MONTHNAME,DAY,DAYNAME,DAY_WEEK,DAY_WEEKNAME,YEAR,HOUR,HOURNAME,MINUTE,MINUTENAME,TWAY_ID,TWAY_ID2,ROUTE,ROUTENAME,RUR_URB,RUR_URBNAME,FUNC_SYS,FUNC_SYSNAME,RD_OWNER,RD_OWNERNAME,NHS,NHSNAME,SP_JUR,SP_JURNAME,MILEPT,MILEPTNAME,LATITUDE,LATITUDENAME,LONGITUD,LONGITUDNAME,HARM_EV,HARM_EVNAME,MAN_COLL,MAN_COLLNAME,RELJCT1,RELJCT1NAME,RELJCT2,RELJCT2NAME,TYP_INT,TYP_INTNAME,REL_ROAD,REL_ROADNAME,WRK_ZONE,WRK_ZONENAME,LGT_COND,LGT_CONDNAME,WEATHER,WEATHERNAME,SCH_BUS,SCH_BUSNAME,RAIL,RAILNAME,NOT_HOUR,NOT_HOURNAME,NOT_MIN,NOT_MINNAME,ARR_HOUR,ARR_HOURNAME,ARR_MIN,ARR_MINNAME,HOSP_HR,HOSP_HRNAME,HOSP_MN,HOSP_MNNAME,FATALS
30,Montana,300001,0,0,1,1,0,1,1,43,JEFFERSON (43),0,NOT APPLICABLE,1,January,23,23,1,Sunday,2022,1,1:00am-1:59am,0,0,SR- 55,NA,3,State Highway,1,Rural,3,Principal Arterial - Other,1,State Highway Agency,1,This section IS ON the NHS,0,No Special Jurisdiction,55,55,45.78999444,45.78999444,-112.16906111,-112.16906111,1,Rollover/Overturn,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,4,On Roadside,0,None,2,Dark - Not Lighted,1,Clear,0,No,0000000,Not Applicable,88,Not Applicable (Not Notified),88,Not Applicable (Not Notified),88,Not Applicable,88,Not Applicable,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
30,Montana,300002,0,0,1,1,0,1,1,43,JEFFERSON (43),0,NOT APPLICABLE,2,February,9,9,4,Wednesday,2022,21,9:00pm-9:59pm,35,35,I- 90,NA,1,Interstate,1,Rural,1,Interstate,1,State Highway Agency,1,This section IS ON the NHS,0,No Special Jurisdiction,2601,2601,45.87598333,45.87598333,-111.89510556,-111.89510556,1,Rollover/Overturn,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,None,2,Dark - Not Lighted,10,Cloudy,0,No,0000000,Not Applicable,21,9:00pm-9:59pm,41,41,21,9:00pm-9:59pm,58,58,22,10:00pm-10:59pm,45,45,1
30,Montana,300003,0,0,1,1,0,2,2,3,BIG HORN (3),0,NOT APPLICABLE,1,January,25,25,3,Tuesday,2022,18,6:00pm-6:59pm,18,18,I-90,NA,1,Interstate,1,Rural,1,Interstate,1,State Highway Agency,1,This section IS ON the NHS,0,No Special Jurisdiction,4767,4767,45.78102778,45.78102778,-107.99868333,-107.99868333,31,"Post, Pole or Other Supports",0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,3,On Median,0,None,2,Dark - Not Lighted,10,Cloudy,0,No,0000000,Not Applicable,18,6:00pm-6:59pm,26,26,18,6:00pm-6:59pm,45,45,19,7:00pm-7:59pm,28,28,1
30,Montana,300004,0,0,2,2,0,3,3,83,RICHLAND (83),0,NOT APPLICABLE,2,February,13,13,1,Sunday,2022,4,4:00am-4:59am,57,57,SR- 16,NA,3,State Highway,1,Rural,3,Principal Arterial - Other,1,State Highway Agency,1,This section IS ON the NHS,0,No Special Jurisdiction,471,471,47.64756944,47.64756944,-104.20505833,-104.20505833,12,Motor Vehicle In-Transport,2,Front-to-Front,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,None,2,Dark - Not Lighted,10,Cloudy,0,No,0000000,Not Applicable,5,5:00am-5:59am,5,5,5,5:00am-5:59am,22,22,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
30,Montana,300005,0,0,1,1,0,1,1,29,FLATHEAD (29),0,NOT APPLICABLE,1,January,4,4,3,Tuesday,2022,10,10:00am-10:59am,38,38,US-2,NA,2,US Highway,1,Rural,3,Principal Arterial - Other,1,State Highway Agency,1,This section IS ON the NHS,0,No Special Jurisdiction,1330,1330,48.35719444,48.35719444,-114.24123333,-114.24123333,1,Rollover/Overturn,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,4,On Roadside,0,None,1,Daylight,10,Cloudy,0,No,0000000,Not Applicable,10,10:00am-10:59am,40,40,10,10:00am-10:59am,52,52,11,11:00am-11:59am,17,17,1
30,Montana,300006,1,1,2,1,1,2,2,93,SILVER BOW (93),0,NOT APPLICABLE,1,January,5,5,4,Wednesday,2022,14,2:00pm-2:59pm,20,20,I-90,NA,1,Interstate,1,Rural,1,Interstate,1,State Highway Agency,1,This section IS ON the NHS,0,No Special Jurisdiction,2153,2153,46.01358056,46.01358056,-112.71360278,-112.71360278,8,Pedestrian,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,3,On Median,0,None,1,Daylight,4,Snow,0,No,0000000,Not Applicable,14,2:00pm-2:59pm,36,36,14,2:00pm-2:59pm,48,48,15,3:00pm-3:59pm,19,19,1
30,Montana,300007,1,1,1,1,0,1,1,29,FLATHEAD (29),0,NOT APPLICABLE,1,January,9,9,1,Sunday,2022,21,9:00pm-9:59pm,10,10,US-2,NA,2,US Highway,1,Rural,3,Principal Arterial - Other,1,State Highway Agency,1,This section IS ON the NHS,0,No Special Jurisdiction,1450,1450,48.403825,48.403825,-114.04341667,-114.04341667,8,Pedestrian,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,None,2,Dark - Not Lighted,1,Clear,0,No,0000000,Not Applicable,21,9:00pm-9:59pm,11,11,21,9:00pm-9:59pm,16,16,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
30,Montana,300008,0,0,1,1,0,1,1,11,CARTER (11),0,NOT APPLICABLE,1,January,12,12,4,Wednesday,2022,16,4:00pm-4:59pm,10,10,SR-MT7,NA,3,State Highway,1,Rural,4,Minor Arterial,1,State Highway Agency,0,This section IS NOT on the NHS,0,No Special Jurisdiction,114,114,46.04619167,46.04619167,-104.45685278,-104.45685278,24,Guardrail Face,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,4,On Roadside,0,None,1,Daylight,1,Clear,0,No,0000000,Not Applicable,16,4:00pm-4:59pm,15,15,16,4:00pm-4:59pm,31,31,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
30,Montana,300009,1,1,1,1,0,2,2,47,LAKE (47),0,NOT APPLICABLE,1,January,14,14,6,Friday,2022,18,6:00pm-6:59pm,27,27,US-93,NA,2,US Highway,1,Rural,3,Principal Arterial - Other,1,State Highway Agency,1,This section IS ON the NHS,3,Indian Reservation,323,323,47.3188,47.3188,-114.10673889,-114.10673889,8,Pedestrian,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,None,2,Dark - Not Lighted,1,Clear,0,No,0000000,Not Applicable,18,6:00pm-6:59pm,29,29,18,6:00pm-6:59pm,36,36,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
30,Montana,300010,0,0,1,1,0,1,1,75,POWDER RIVER (75),0,NOT APPLICABLE,3,March,3,3,5,Thursday,2022,18,6:00pm-6:59pm,30,30,CR- BAYHORSE ROAD,NA,4,County Road,1,Rural,7,Local,2,County Highway Agency,0,This section IS NOT on the NHS,0,No Special Jurisdiction,99999,Unknown,45.05776944,45.05776944,-105.44082778,-105.44082778,1,Rollover/Overturn,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,5,Outside Trafficway,0,None,2,Dark - Not Lighted,1,Clear,0,No,0000000,Not Applicable,19,7:00pm-7:59pm,18,18,19,7:00pm-7:59pm,54,54,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
