STATE,STATENAME,ST_CASE,PEDS,PERNOTMVIT,VE_TOTAL,VE_FORMS,PVH_INVL,PERSONS,PERMVIT,COUNTY,COUNTYNAME,CITY,CITYNAME,MONTH,MONTHNAME,DAY,DAYNAME,DAY_WEEK,DAY_WEEKNAME,YEAR,HOUR,HOURNAME,MINUTE,MINUTENAME,TWAY_ID,TWAY_ID2,ROUTE,ROUTENAME,RUR_URB,RUR_URBNAME,FUNC_SYS,FUNC_SYSNAME,RD_OWNER,RD_OWNERNAME,NHS,NHSNAME,SP_JUR,SP_JURNAME,MILEPT,MILEPTNAME,LATITUDE,LATITUDENAME,LONGITUD,LONGITUDNAME,HARM_EV,HARM_EVNAME,MAN_COLL,MAN_COLLNAME,RELJCT1,RELJCT1NAME,RELJCT2,RELJCT2NAME,TYP_INT,TYP_INTNAME,REL_ROAD,REL_ROADNAME,WRK_ZONE,WRK_ZONENAME,LGT_COND,LGT_CONDNAME,WEATHER,WEATHERNAME,SCH_BUS,SCH_BUSNAME,RAIL,RAILNAME,NOT_HOUR,NOT_HOURNAME,NOT_MIN,NOT_MINNAME,ARR_HOUR,ARR_HOURNAME,ARR_MIN,ARR_MINNAME,HOSP_HR,HOSP_HRNAME,HOSP_MN,HOSP_MNNAME,FATALS
33,New Hampshire,330002,1,1,1,1,0,1,1,19,SULLIVAN (19),380,NEWPORT,1,January,3,3,2,Monday,2022,10,10:00am-10:59am,50,50,SR-11,NA,3,State Highway,1,Rural,4,Minor Arterial,1,State Highway Agency,1,This section IS ON the NHS,0,No Special Jurisdiction,0,None,43.36097222,43.36097222,-72.21537778,-72.21537778,9,Pedalcyclist,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,2,On Shoulder,0,None,1,Daylight,1,Clear,0,No,0000000,Not Applicable,10,10:00am-10:59am,53,53,10,10:00am-10:59am,55,55,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
33,New Hampshire,330003,0,0,2,2,0,3,3,19,SULLIVAN (19),40,CHARLESTOWN,1,January,6,6,5,Thursday,2022,19,7:00pm-7:59pm,9,9,SR-11,NA,3,State Highway,1,Rural,4,Minor Arterial,1,State Highway Agency,0,This section IS NOT on the NHS,0,No Special Jurisdiction,0,None,43.258394439999996,43.258394439999996,-72.41946389,-72.41946389,12,Motor Vehicle In-Transport,2,Front-to-Front,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,None,2,Dark - Not Lighted,1,Clear,0,No,0000000,Not Applicable,19,7:00pm-7:59pm,9,9,19,7:00pm-7:59pm,23,23,20,8:00pm-8:59pm,52,52,2
33,New Hampshire,330004,0,0,2,2,0,2,2,11,HILLSBOROUGH (11),400,PETERBOROUGH,1,January,5,5,4,Wednesday,2022,9,9:00am-9:59am,9,9,US-202,NA,2,US Highway,1,Rural,4,Minor Arterial,1,State Highway Agency,0,This section IS NOT on the NHS,0,No Special Jurisdiction,0,None,42.91215833,42.91215833,-71.93846111,-71.93846111,12,Motor Vehicle In-Transport,2,Front-to-Front,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,None,1,Daylight,3,Sleet or Hail,0,No,0000000,Not Applicable,9,9:00am-9:59am,9,9,9,9:00am-9:59am,13,13,10,10:00am-10:59am,33,33,1
33,New Hampshire,330005,0,0,3,3,0,3,3,15,ROCKINGHAM (15),12,ATKINSON,1,January,10,10,2,Monday,2022,10,10:00am-10:59am,22,22,SR-111,NA,3,State Highway,2,Urban,3,Principal Arterial - Other,1,State Highway Agency,1,This section IS ON the NHS,0,No Special Jurisdiction,235,235,42.86210556,42.86210556,-71.17062222,-71.17062222,12,Motor Vehicle In-Transport,8,Sideswipe - Opposite Direction,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,None,1,Daylight,1,Clear,0,No,0000000,Not Applicable,10,10:00am-10:59am,22,22,10,10:00am-10:59am,29,29,11,11:00am-11:59am,46,46,1
33,New Hampshire,330006,0,0,1,1,0,1,1,17,STRAFFORD (17),29,BARRINGTON,1,January,17,17,2,Monday,2022,15,3:00pm-3:59pm,57,57,US-4,NA,2,US Highway,1,Rural,3,Principal Arterial - Other,1,State Highway Agency,1,This section IS ON the NHS,0,No Special Jurisdiction,908,908,43.15317778,43.15317778,-71.04127222,-71.04127222,38,Fence,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,4,On Roadside,0,None,1,Daylight,1,Clear,0,No,0000000,Not Applicable,15,3:00pm-3:59pm,57,57,99,Unknown EMS Scene Arrival Hour,98,Unknown if Arrived,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
33,New Hampshire,330007,0,0,2,2,0,2,2,5,CHESHIRE (5),9997,Other,1,January,21,21,6,Friday,2022,8,8:00am-8:59am,9,9,SR-9,NA,3,State Highway,1,Rural,3,Principal Arterial - Other,1,State Highway Agency,1,This section IS ON the NHS,0,No Special Jurisdiction,221,221,42.98518889,42.98518889,-72.20155833,-72.20155833,35,Embankment,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,4,On Roadside,0,None,1,Daylight,1,Clear,0,No,0000000,Not Applicable,8,8:00am-8:59am,11,11,8,8:00am-8:59am,22,22,9,9:00am-9:59am,0,0,1
33,New Hampshire,330008,0,0,1,1,0,1,1,11,HILLSBOROUGH (11),18,BEDFORD,1,January,23,23,1,Sunday,2022,10,10:00am-10:59am,48,48,I-293,NA,1,Interstate,2,Urban,1,Interstate,1,State Highway Agency,1,This section IS ON the NHS,0,No Special Jurisdiction,83,83,42.95243333,42.95243333,-71.47421389,-71.47421389,34,Ditch,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,1,Yes,5,Entrance/Exit Ramp Related,1,Not an Intersection,4,On Roadside,0,None,1,Daylight,10,Cloudy,0,No,0000000,Not Applicable,10,10:00am-10:59am,52,52,11,11:00am-11:59am,20,20,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
33,New Hampshire,330009,0,0,1,1,0,1,1,9,GRAFTON (9),565,WOODSTOCK,1,January,24,24,2,Monday,2022,7,7:00am-7:59am,18,18,I-93,NA,1,Interstate,1,Rural,1,Interstate,1,State Highway Agency,1,This section IS ON the NHS,0,No Special Jurisdiction,934,934,43.93515,43.93515,-71.68865,-71.68865,1,Rollover/Overturn,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,4,On Roadside,0,None,2,Dark - Not Lighted,99,Reported as Unknown,0,No,0000000,Not Applicable,7,7:00am-7:59am,20,20,7,7:00am-7:59am,36,36,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
33,New Hampshire,330010,0,0,2,2,0,2,2,7,COOS (7),9997,Other,1,January,24,24,2,Monday,2022,15,3:00pm-3:59pm,41,41,US-3,NA,2,US Highway,1,Rural,4,Minor Arterial,1,State Highway Agency,0,This section IS NOT on the NHS,0,No Special Jurisdiction,0,None,44.77977778,44.77977778,-71.58283056,-71.58283056,12,Motor Vehicle In-Transport,2,Front-to-Front,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,None,1,Daylight,4,Snow,0,No,0000000,Not Applicable,15,3:00pm-3:59pm,43,43,15,3:00pm-3:59pm,57,57,16,4:00pm-4:59pm,44,44,1
33,New Hampshire,330011,0,0,2,2,0,2,2,19,SULLIVAN (19),40,CHARLESTOWN,1,January,21,21,6,Friday,2022,16,4:00pm-4:59pm,27,27,SR-12,NA,3,State Highway,1,Rural,4,Minor Arterial,1,State Highway Agency,0,This section IS NOT on the NHS,0,No Special Jurisdiction,0,None,43.29129167,43.29129167,-72.39384444,-72.39384444,12,Motor Vehicle In-Transport,2,Front-to-Front,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,None,1,Daylight,1,Clear,0,No,0000000,Not Applicable,16,4:00pm-4:59pm,27,27,16,4:00pm-4:59pm,43,43,17,5:00pm-5:59pm,21,21,1
