STATE,STATENAME,ST_CASE,PEDS,PERNOTMVIT,VE_TOTAL,VE_FORMS,PVH_INVL,PERSONS,PERMVIT,COUNTY,COUNTYNAME,CITY,CITYNAME,MONTH,MONTHNAME,DAY,DAYNAME,DAY_WEEK,DAY_WEEKNAME,YEAR,HOUR,HOURNAME,MINUTE,MINUTENAME,TWAY_ID,TWAY_ID2,ROUTE,ROUTENAME,RUR_URB,RUR_URBNAME,FUNC_SYS,FUNC_SYSNAME,RD_OWNER,RD_OWNERNAME,NHS,NHSNAME,SP_JUR,SP_JURNAME,MILEPT,MILEPTNAME,LATITUDE,LATITUDENAME,LONGITUD,LONGITUDNAME,HARM_EV,HARM_EVNAME,MAN_COLL,MAN_COLLNAME,RELJCT1,RELJCT1NAME,RELJCT2,RELJCT2NAME,TYP_INT,TYP_INTNAME,REL_ROAD,REL_ROADNAME,WRK_ZONE,WRK_ZONENAME,LGT_COND,LGT_CONDNAME,WEATHER,WEATHERNAME,SCH_BUS,SCH_BUSNAME,RAIL,RAILNAME,NOT_HOUR,NOT_HOURNAME,NOT_MIN,NOT_MINNAME,ARR_HOUR,ARR_HOURNAME,ARR_MIN,ARR_MINNAME,HOSP_HR,HOSP_HRNAME,HOSP_MN,HOSP_MNNAME,FATALS
38,North Dakota,380001,0,0,1,1,0,2,2,93,STUTSMAN (93),0,NOT APPLICABLE,1,January,8,8,7,Saturday,2022,13,1:00pm-1:59pm,20,20,I-94,NA,1,Interstate,1,Rural,1,Interstate,1,State Highway Agency,1,This section IS ON the NHS,0,No Special Jurisdiction,2585,2585,46.88364722,46.88364722,-98.70855833,-98.70855833,1,Rollover/Overturn,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,3,On Median,0,None,1,Daylight,11,Blowing Snow,0,No,0000000,Not Applicable,13,1:00pm-1:59pm,23,23,13,1:00pm-1:59pm,35,35,13,1:00pm-1:59pm,54,54,1
38,North Dakota,380002,0,0,2,2,0,2,2,53,MCKENZIE (53),0,NOT APPLICABLE,1,January,14,14,6,Friday,2022,12,12:00pm-12:59pm,0,0,CR-154TH AVE NW,CR-35TH ST NW,5,Local Street - Township,1,Rural,7,Local,3,Town or Township Highway Agency,0,This section IS NOT on the NHS,0,No Special Jurisdiction,99998,Not Reported,47.92058889,47.92058889,-103.88335833,-103.88335833,12,Motor Vehicle In-Transport,6,Angle,0,No,2,Intersection,2,Four-Way Intersection,1,On Roadway,0,None,1,Daylight,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,1
38,North Dakota,380003,0,0,1,1,0,1,1,43,KIDDER (43),0,NOT APPLICABLE,1,January,16,16,1,Sunday,2022,0,0:00am-0:59am,32,32,I-94,NA,1,Interstate,1,Rural,1,Interstate,1,State Highway Agency,1,This section IS ON the NHS,0,No Special Jurisdiction,2218,2218,46.87944722,46.87944722,-99.47647222,-99.47647222,1,Rollover/Overturn,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,8,Gore,0,None,2,Dark - Not Lighted,1,Clear,0,No,0000000,Not Applicable,1,1:00am-1:59am,16,16,2,2:00am-2:59am,16,16,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
38,North Dakota,380004,0,0,2,2,0,5,5,17,CASS (17),0,NOT APPLICABLE,1,January,22,22,7,Saturday,2022,20,8:00pm-8:59pm,48,48,I-94,NA,1,Interstate,2,Urban,1,Interstate,1,State Highway Agency,1,This section IS ON the NHS,0,No Special Jurisdiction,3099,3099,46.895925,46.895925,-97.64822222,-97.64822222,12,Motor Vehicle In-Transport,1,Front-to-Rear,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,None,2,Dark - Not Lighted,10,Cloudy,0,No,0000000,Not Applicable,20,8:00pm-8:59pm,58,58,21,9:00pm-9:59pm,27,27,22,10:00pm-10:59pm,15,15,1
38,North Dakota,380005,0,0,2,2,0,2,2,53,MCKENZIE (53),0,NOT APPLICABLE,1,January,25,25,3,Tuesday,2022,8,8:00am-8:59am,27,27,SR-23,NA,3,State Highway,1,Rural,3,Principal Arterial - Other,1,State Highway Agency,0,This section IS NOT on the NHS,0,No Special Jurisdiction,66,66,47.80402778,47.80402778,-103.1507,-103.1507,12,Motor Vehicle In-Transport,6,Angle,0,No,1,Non-Junction,1,Not an Intersection,2,On Shoulder,0,None,4,Dawn,1,Clear,0,No,0000000,Not Applicable,88,Not Applicable (Not Notified),88,Not Applicable (Not Notified),88,Not Applicable,88,Not Applicable,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
38,North Dakota,380006,0,0,1,1,0,2,2,15,BURLEIGH (15),0,NOT APPLICABLE,1,January,25,25,3,Tuesday,2022,13,1:00pm-1:59pm,54,54,US-83,NA,2,US Highway,1,Rural,2,Principal Arterial - Other Freeways and Expressways,1,State Highway Agency,1,This section IS ON the NHS,0,No Special Jurisdiction,1009,1009,47.00276111,47.00276111,-100.79226667,-100.79226667,34,Ditch,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,3,On Median,0,None,1,Daylight,1,Clear,0,No,0000000,Not Applicable,15,3:00pm-3:59pm,2,2,15,3:00pm-3:59pm,13,13,15,3:00pm-3:59pm,47,47,1
38,North Dakota,380007,1,1,1,1,0,3,3,95,TOWNER (95),0,NOT APPLICABLE,1,January,30,30,1,Sunday,2022,19,7:00pm-7:59pm,20,20,US-281,NA,2,US Highway,1,Rural,3,Principal Arterial - Other,1,State Highway Agency,1,This section IS ON the NHS,0,No Special Jurisdiction,2209,2209,48.862975,48.862975,-99.36861111,-99.36861111,8,Pedestrian,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,None,2,Dark - Not Lighted,1,Clear,0,No,0000000,Not Applicable,19,7:00pm-7:59pm,35,35,19,7:00pm-7:59pm,48,48,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
38,North Dakota,380008,0,0,3,3,0,3,3,101,WARD (101),0,NOT APPLICABLE,2,February,4,4,6,Friday,2022,15,3:00pm-3:59pm,15,15,US-52,NA,2,US Highway,1,Rural,3,Principal Arterial - Other,1,State Highway Agency,1,This section IS ON the NHS,0,No Special Jurisdiction,794,794,48.3403,48.3403,-101.52910278,-101.52910278,12,Motor Vehicle In-Transport,8,Sideswipe - Opposite Direction,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,None,1,Daylight,1,Clear,0,No,0000000,Not Applicable,15,3:00pm-3:59pm,18,18,15,3:00pm-3:59pm,34,34,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
38,North Dakota,380009,0,0,2,2,0,2,2,61,MOUNTRAIL (61),0,NOT APPLICABLE,2,February,19,19,7,Saturday,2022,0,0:00am-0:59am,17,17,SR-8,NA,3,State Highway,1,Rural,3,Principal Arterial - Other,1,State Highway Agency,1,This section IS ON the NHS,0,No Special Jurisdiction,1327,1327,47.98710278,47.98710278,-102.34351389,-102.34351389,12,Motor Vehicle In-Transport,2,Front-to-Front,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,None,2,Dark - Not Lighted,1,Clear,0,No,0000000,Not Applicable,0,0:00am-0:59am,9,9,0,0:00am-0:59am,13,13,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
38,North Dakota,380010,0,0,2,2,0,2,2,101,WARD (101),0,NOT APPLICABLE,2,February,26,26,7,Saturday,2022,22,10:00pm-10:59pm,14,14,US-52,NA,2,US Highway,1,Rural,3,Principal Arterial - Other,1,State Highway Agency,1,This section IS ON the NHS,0,No Special Jurisdiction,789,789,48.34406667,48.34406667,-101.54113611,-101.54113611,12,Motor Vehicle In-Transport,2,Front-to-Front,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,None,2,Dark - Not Lighted,1,Clear,0,No,0000000,Not Applicable,22,10:00pm-10:59pm,18,18,22,10:00pm-10:59pm,34,34,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
