STATE,STATENAME,ST_CASE,PEDS,PERNOTMVIT,VE_TOTAL,VE_FORMS,PVH_INVL,PERSONS,PERMVIT,COUNTY,COUNTYNAME,CITY,CITYNAME,MONTH,MONTHNAME,DAY,DAYNAME,DAY_WEEK,DAY_WEEKNAME,YEAR,HOUR,HOURNAME,MINUTE,MINUTENAME,TWAY_ID,TWAY_ID2,ROUTE,ROUTENAME,RUR_URB,RUR_URBNAME,FUNC_SYS,FUNC_SYSNAME,RD_OWNER,RD_OWNERNAME,NHS,NHSNAME,SP_JUR,SP_JURNAME,MILEPT,MILEPTNAME,LATITUDE,LATITUDENAME,LONGITUD,LONGITUDNAME,HARM_EV,HARM_EVNAME,MAN_COLL,MAN_COLLNAME,RELJCT1,RELJCT1NAME,RELJCT2,RELJCT2NAME,TYP_INT,TYP_INTNAME,REL_ROAD,REL_ROADNAME,WRK_ZONE,WRK_ZONENAME,LGT_COND,LGT_CONDNAME,WEATHER,WEATHERNAME,SCH_BUS,SCH_BUSNAME,RAIL,RAILNAME,NOT_HOUR,NOT_HOURNAME,NOT_MIN,NOT_MINNAME,ARR_HOUR,ARR_HOURNAME,ARR_MIN,ARR_MINNAME,HOSP_HR,HOSP_HRNAME,HOSP_MN,HOSP_MNNAME,FATALS
39,Ohio,390001,1,1,1,1,0,1,1,113,MONTGOMERY (113),2090,DAYTON,1,January,1,1,7,Saturday,2022,2,2:00am-2:59am,48,48,THIRD ST,NA,6,Local Street - Municipality,2,Urban,3,Principal Arterial - Other,4,City or Municipal Highway Agency,0,This section IS NOT on the NHS,0,No Special Jurisdiction,0,None,39.76565278,39.76565278,-84.15533611,-84.15533611,8,Pedestrian,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,None,3,Dark - Lighted,10,Cloudy,0,No,0000000,Not Applicable,2,2:00am-2:59am,51,51,2,2:00am-2:59am,58,58,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
39,Ohio,390002,0,0,1,1,0,1,1,41,DELAWARE (41),0,NOT APPLICABLE,1,January,4,4,3,Tuesday,2022,18,6:00pm-6:59pm,20,20,CR-625 GEMINI PKWY,ANTARES AVE,4,County Road,2,Urban,4,Minor Arterial,2,County Highway Agency,0,This section IS NOT on the NHS,0,No Special Jurisdiction,0,None,40.147675,40.147675,-82.98789444,-82.98789444,30,Utility Pole/Light Support,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,3,Intersection-Related,2,Four-Way Intersection,4,On Roadside,0,None,3,Dark - Lighted,1,Clear,0,No,0000000,Not Applicable,18,6:00pm-6:59pm,22,22,18,6:00pm-6:59pm,34,34,18,6:00pm-6:59pm,53,53,1
39,Ohio,390003,0,0,1,1,0,1,1,129,PICKAWAY (129),0,NOT APPLICABLE,1,January,2,2,1,Sunday,2022,21,9:00pm-9:59pm,41,41,SR-361,NA,3,State Highway,1,Rural,5,Major Collector,1,State Highway Agency,0,This section IS NOT on the NHS,0,No Special Jurisdiction,11,11,39.51146111,39.51146111,-82.94781111,-82.94781111,42,Tree (Standing Only),0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,4,On Roadside,0,None,2,Dark - Not Lighted,10,Cloudy,0,No,0000000,Not Applicable,21,9:00pm-9:59pm,42,42,21,9:00pm-9:59pm,50,50,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
39,Ohio,390004,0,0,2,2,0,3,3,49,FRANKLIN (49),1800,COLUMBUS,1,January,10,10,2,Monday,2022,15,3:00pm-3:59pm,34,34,LAWRENCE DR,OAKWOOD AVE,6,Local Street - Municipality,2,Urban,4,Minor Arterial,4,City or Municipal Highway Agency,0,This section IS NOT on the NHS,0,No Special Jurisdiction,0,None,39.92611111,39.92611111,-82.97058056,-82.97058056,12,Motor Vehicle In-Transport,6,Angle,0,No,2,Intersection,2,Four-Way Intersection,1,On Roadway,0,None,1,Daylight,1,Clear,0,No,0000000,Not Applicable,15,3:00pm-3:59pm,36,36,15,3:00pm-3:59pm,41,41,16,4:00pm-4:59pm,10,10,1
39,Ohio,390005,0,0,2,2,0,2,2,61,HAMILTON (61),7795,SPRINGDALE,1,January,5,5,4,Wednesday,2022,19,7:00pm-7:59pm,34,34,CR-266 KEMPER RD,NA,4,County Road,2,Urban,4,Minor Arterial,2,County Highway Agency,0,This section IS NOT on the NHS,0,No Special Jurisdiction,0,None,39.28858333,39.28858333,-84.49398889,-84.49398889,12,Motor Vehicle In-Transport,1,Front-to-Rear,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,None,3,Dark - Lighted,1,Clear,0,No,0000000,Not Applicable,19,7:00pm-7:59pm,34,34,19,7:00pm-7:59pm,38,38,20,8:00pm-8:59pm,12,12,1
39,Ohio,390006,0,0,1,1,0,2,2,95,LUCAS (95),8120,TOLEDO,1,January,5,5,4,Wednesday,2022,10,10:00am-10:59am,10,10,CR-172 SUDER AV,CR-516 OTTAWA RIVER RD,4,County Road,2,Urban,4,Minor Arterial,2,County Highway Agency,0,This section IS NOT on the NHS,0,No Special Jurisdiction,0,None,41.70826944,41.70826944,-83.49918056,-83.49918056,30,Utility Pole/Light Support,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,3,Intersection-Related,2,Four-Way Intersection,4,On Roadside,0,None,1,Daylight,10,Cloudy,0,No,0000000,Not Applicable,10,10:00am-10:59am,17,17,10,10:00am-10:59am,23,23,10,10:00am-10:59am,56,56,1
39,Ohio,390007,0,0,2,2,0,3,3,151,STARK (151),1320,CANTON,1,January,13,13,5,Thursday,2022,12,12:00pm-12:59pm,30,30,CR-528 4TH ST NW,CR-254 HARRISON AVE NW,4,County Road,2,Urban,5,Major Collector,2,County Highway Agency,0,This section IS NOT on the NHS,0,No Special Jurisdiction,0,None,40.80271944,40.80271944,-81.39853056,-81.39853056,12,Motor Vehicle In-Transport,6,Angle,0,No,2,Intersection,2,Four-Way Intersection,1,On Roadway,0,None,1,Daylight,10,Cloudy,0,No,0000000,Not Applicable,12,12:00pm-12:59pm,32,32,12,12:00pm-12:59pm,38,38,12,12:00pm-12:59pm,46,46,1
39,Ohio,390008,0,0,1,1,0,1,1,25,CLERMONT (25),0,NOT APPLICABLE,1,January,9,9,1,Sunday,2022,0,0:00am-0:59am,51,51,CR-57 GOSHEN RD,NA,4,County Road,1,Rural,7,Local,2,County Highway Agency,0,This section IS NOT on the NHS,0,No Special Jurisdiction,0,None,39.21257222,39.21257222,-84.14538056,-84.14538056,32,Culvert,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,4,On Roadside,0,None,2,Dark - Not Lighted,2,Rain,0,No,0000000,Not Applicable,0,0:00am-0:59am,48,48,0,0:00am-0:59am,54,54,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
39,Ohio,390009,0,0,2,2,0,2,2,97,MADISON (97),0,NOT APPLICABLE,1,January,5,5,4,Wednesday,2022,11,11:00am-11:59am,40,40,SR-38,NA,3,State Highway,1,Rural,5,Major Collector,1,State Highway Agency,0,This section IS NOT on the NHS,0,No Special Jurisdiction,63,63,39.79257222,39.79257222,-83.47438889,-83.47438889,12,Motor Vehicle In-Transport,2,Front-to-Front,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,None,1,Daylight,1,Clear,0,No,0000000,Not Applicable,11,11:00am-11:59am,43,43,11,11:00am-11:59am,48,48,12,12:00pm-12:59pm,47,47,1
39,Ohio,390010,0,0,2,2,0,2,2,151,STARK (151),0,NOT APPLICABLE,1,January,1,1,7,Saturday,2022,18,6:00pm-6:59pm,43,43,SR-43 WAYNESBURG DR,NA,3,State Highway,1,Rural,4,Minor Arterial,1,State Highway Agency,0,This section IS NOT on the NHS,0,No Special Jurisdiction,28,28,40.69935556,40.69935556,-81.27040833,-81.27040833,12,Motor Vehicle In-Transport,2,Front-to-Front,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,None,2,Dark - Not Lighted,2,Rain,0,No,0000000,Not Applicable,18,6:00pm-6:59pm,42,42,18,6:00pm-6:59pm,50,50,19,7:00pm-7:59pm,27,27,1
39,Ohio,390011,0,0,1,1,0,1,1,103,MEDINA (103),0,NOT APPLICABLE,1,January,3,3,2,Monday,2022,22,10:00pm-10:59pm,30,30,CR-51 MENNONITE RD,NA,4,County Road,2,Urban,5,Major Collector,2,County Highway Agency,0,This section IS NOT on the NHS,0,No Special Jurisdiction,0,None,41.00275,41.00275,-81.78092778,-81.78092778,30,Utility Pole/Light Support,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,4,On Roadside,0,None,2,Dark - Not Lighted,1,Clear,0,No,0000000,Not Applicable,22,10:00pm-10:59pm,31,31,22,10:00pm-10:59pm,40,40,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
