STATE,STATENAME,ST_CASE,PEDS,PERNOTMVIT,VE_TOTAL,VE_FORMS,PVH_INVL,PERSONS,PERMVIT,COUNTY,COUNTYNAME,CITY,CITYNAME,MONTH,MONTHNAME,DAY,DAYNAME,DAY_WEEK,DAY_WEEKNAME,YEAR,HOUR,HOURNAME,MINUTE,MINUTENAME,TWAY_ID,TWAY_ID2,ROUTE,ROUTENAME,RUR_URB,RUR_URBNAME,FUNC_SYS,FUNC_SYSNAME,RD_OWNER,RD_OWNERNAME,NHS,NHSNAME,SP_JUR,SP_JURNAME,MILEPT,MILEPTNAME,LATITUDE,LATITUDENAME,LONGITUD,LONGITUDNAME,HARM_EV,HARM_EVNAME,MAN_COLL,MAN_COLLNAME,RELJCT1,RELJCT1NAME,RELJCT2,RELJCT2NAME,TYP_INT,TYP_INTNAME,REL_ROAD,REL_ROADNAME,WRK_ZONE,WRK_ZONENAME,LGT_COND,LGT_CONDNAME,WEATHER,WEATHERNAME,SCH_BUS,SCH_BUSNAME,RAIL,RAILNAME,NOT_HOUR,NOT_HOURNAME,NOT_MIN,NOT_MINNAME,ARR_HOUR,ARR_HOURNAME,ARR_MIN,ARR_MINNAME,HOSP_HR,HOSP_HRNAME,HOSP_MN,HOSP_MNNAME,FATALS
42,Pennsylvania,420001,0,0,1,1,0,2,2,7,BEAVER (7),9997,Other,1,January,2,2,1,Sunday,2022,23,11:00pm-11:59pm,25,25,SR-168 CENTENNIAL AVE,NA,3,State Highway,1,Rural,5,Major Collector,1,State Highway Agency,0,This section IS NOT on the NHS,0,No Special Jurisdiction,314,314,40.84758611,40.84758611,-80.40119444,-80.40119444,42,Tree (Standing Only),0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,4,On Roadside,0,None,2,Dark - Not Lighted,1,Clear,0,No,0000000,Not Applicable,11,11:00am-11:59am,32,32,11,11:00am-11:59am,47,47,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),2
42,Pennsylvania,420002,0,0,2,1,1,1,1,49,ERIE (49),0,NOT APPLICABLE,1,January,4,4,3,Tuesday,2022,21,9:00pm-9:59pm,56,56,SR-2003 FLATT RD,NA,3,State Highway,1,Rural,6,Minor Collector,1,State Highway Agency,0,This section IS NOT on the NHS,0,No Special Jurisdiction,51,51,41.91887222,41.91887222,-79.97355556,-79.97355556,35,Embankment,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,5,Outside Trafficway,0,None,2,Dark - Not Lighted,1,Clear,0,No,0000000,Not Applicable,88,Not Applicable (Not Notified),88,Not Applicable (Not Notified),88,Not Applicable,88,Not Applicable,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
42,Pennsylvania,420003,1,1,1,1,0,1,1,101,PHILADELPHIA (101),6540,PHILADELPHIA,1,January,4,4,3,Tuesday,2022,7,7:00am-7:59am,36,36,SR-3010 MARKET ST,NA,3,State Highway,2,Urban,3,Principal Arterial - Other,1,State Highway Agency,1,This section IS ON the NHS,0,No Special Jurisdiction,35,35,39.95466111,39.95466111,-75.18171111,-75.18171111,8,Pedestrian,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,None,1,Daylight,1,Clear,0,No,0000000,Not Applicable,7,7:00am-7:59am,36,36,7,7:00am-7:59am,40,40,7,7:00am-7:59am,52,52,1
42,Pennsylvania,420004,1,1,1,1,0,1,1,101,PHILADELPHIA (101),6540,PHILADELPHIA,1,January,6,6,5,Thursday,2022,15,3:00pm-3:59pm,12,12,SR-611 BROAD ST,NA,3,State Highway,2,Urban,3,Principal Arterial - Other,1,State Highway Agency,1,This section IS ON the NHS,0,No Special Jurisdiction,39,39,39.99171111,39.99171111,-75.15497222,-75.15497222,8,Pedestrian,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,None,1,Daylight,1,Clear,0,No,0000000,Not Applicable,14,2:00pm-2:59pm,55,55,14,2:00pm-2:59pm,59,59,15,3:00pm-3:59pm,35,35,1
42,Pennsylvania,420005,0,0,1,1,0,1,1,3,ALLEGHENY (3),6600,PITTSBURGH,1,January,7,7,6,Friday,2022,22,10:00pm-10:59pm,3,3,SECOND AVE,NA,6,Local Street - Municipality,2,Urban,7,Local,4,City or Municipal Highway Agency,0,This section IS NOT on the NHS,0,No Special Jurisdiction,0,None,40.43489444,40.43489444,-79.98225278,-79.98225278,33,Curb,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,4,On Roadside,0,None,3,Dark - Lighted,4,Snow,0,No,0000000,Not Applicable,22,10:00pm-10:59pm,2,2,22,10:00pm-10:59pm,13,13,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
42,Pennsylvania,420006,0,0,1,1,0,6,6,11,BERKS (11),0,NOT APPLICABLE,1,January,8,8,7,Saturday,2022,2,2:00am-2:59am,8,8,I-78 WILLIAM PENN HWY,NA,1,Interstate,1,Rural,1,Interstate,1,State Highway Agency,1,This section IS ON the NHS,0,No Special Jurisdiction,98,98,40.46404722,40.46404722,-76.35072778,-76.35072778,42,Tree (Standing Only),0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,4,On Roadside,0,None,2,Dark - Not Lighted,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,1
42,Pennsylvania,420007,0,0,2,2,0,3,3,49,ERIE (49),0,NOT APPLICABLE,1,January,7,7,6,Friday,2022,13,1:00pm-1:59pm,59,59,US-6A CROSSINGVILLE RD,NA,2,US Highway,1,Rural,3,Principal Arterial - Other,99,Unknown,1,This section IS ON the NHS,0,No Special Jurisdiction,178,178,41.88086389,41.88086389,-80.15914722,-80.15914722,12,Motor Vehicle In-Transport,6,Angle,0,No,1,Non-Junction,1,Not an Intersection,2,On Shoulder,0,None,1,Daylight,4,Snow,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,1
42,Pennsylvania,420008,1,1,1,1,0,1,1,101,PHILADELPHIA (101),6540,PHILADELPHIA,1,January,7,7,6,Friday,2022,18,6:00pm-6:59pm,49,49,SR-1002 CRESCENTVILLE RD,NA,3,State Highway,2,Urban,3,Principal Arterial - Other,1,State Highway Agency,1,This section IS ON the NHS,0,No Special Jurisdiction,18,18,40.04550278,40.04550278,-75.11272222,-75.11272222,8,Pedestrian,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,None,3,Dark - Lighted,98,Not Reported,0,No,0000000,Not Applicable,18,6:00pm-6:59pm,51,51,18,6:00pm-6:59pm,57,57,19,7:00pm-7:59pm,13,13,1
42,Pennsylvania,420009,0,0,2,2,0,3,3,55,FRANKLIN (55),0,NOT APPLICABLE,1,January,7,7,6,Friday,2022,22,10:00pm-10:59pm,22,22,WASHINGTON TOWNSHIP BLVD,NA,5,Local Street - Township,1,Rural,7,Local,3,Town or Township Highway Agency,0,This section IS NOT on the NHS,0,No Special Jurisdiction,0,None,39.75636111,39.75636111,-77.545,-77.545,12,Motor Vehicle In-Transport,6,Angle,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,None,2,Dark - Not Lighted,11,Blowing Snow,0,No,0000000,Not Applicable,22,10:00pm-10:59pm,23,23,22,10:00pm-10:59pm,31,31,23,11:00pm-11:59pm,13,13,1
42,Pennsylvania,420010,0,0,1,1,0,1,1,89,MONROE (89),0,NOT APPLICABLE,1,January,8,8,7,Saturday,2022,20,8:00pm-8:59pm,45,45,SR-940 POCONO BLVD,NA,3,State Highway,2,Urban,4,Minor Arterial,1,State Highway Agency,0,This section IS NOT on the NHS,0,No Special Jurisdiction,187,187,41.12535,41.12535,-75.29180833,-75.29180833,42,Tree (Standing Only),0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,4,On Roadside,0,None,2,Dark - Not Lighted,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
