STATE,STATENAME,ST_CASE,PEDS,PERNOTMVIT,VE_TOTAL,VE_FORMS,PVH_INVL,PERSONS,PERMVIT,COUNTY,COUNTYNAME,CITY,CITYNAME,MONTH,MONTHNAME,DAY,DAYNAME,DAY_WEEK,DAY_WEEKNAME,YEAR,HOUR,HOURNAME,MINUTE,MINUTENAME,TWAY_ID,TWAY_ID2,ROUTE,ROUTENAME,RUR_URB,RUR_URBNAME,FUNC_SYS,FUNC_SYSNAME,RD_OWNER,RD_OWNERNAME,NHS,NHSNAME,SP_JUR,SP_JURNAME,MILEPT,MILEPTNAME,LATITUDE,LATITUDENAME,LONGITUD,LONGITUDNAME,HARM_EV,HARM_EVNAME,MAN_COLL,MAN_COLLNAME,RELJCT1,RELJCT1NAME,RELJCT2,RELJCT2NAME,TYP_INT,TYP_INTNAME,REL_ROAD,REL_ROADNAME,WRK_ZONE,WRK_ZONENAME,LGT_COND,LGT_CONDNAME,WEATHER,WEATHERNAME,SCH_BUS,SCH_BUSNAME,RAIL,RAILNAME,NOT_HOUR,NOT_HOURNAME,NOT_MIN,NOT_MINNAME,ARR_HOUR,ARR_HOURNAME,ARR_MIN,ARR_MINNAME,HOSP_HR,HOSP_HRNAME,HOSP_MN,HOSP_MNNAME,FATALS
48,Texas,480001,0,0,1,1,0,1,1,439,TARRANT (439),2450,FORT WORTH,1,January,1,1,7,Saturday,2022,1,1:00am-1:59am,42,42,RANDOL MILL RD,NA,6,Local Street - Municipality,2,Urban,3,Principal Arterial - Other,98,Not Reported,0,This section IS NOT on the NHS,0,No Special Jurisdiction,0,None,32.77503333,32.77503333,-97.23153611,-97.23153611,30,Utility Pole/Light Support,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,4,On Roadside,0,None,3,Dark - Lighted,2,Rain,0,No,0000000,Not Applicable,99,Unknown,98,Unknown if Notified,99,Unknown EMS Scene Arrival Hour,98,Unknown if Arrived,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
48,Texas,480002,0,0,2,2,0,7,7,201,HARRIS (201),0,NOT APPLICABLE,1,January,1,1,7,Saturday,2022,1,1:00am-1:59am,6,6,CR-BARKER CYPRESS RD,BARKERS BRANCH DR,4,County Road,2,Urban,4,Minor Arterial,98,Not Reported,0,This section IS NOT on the NHS,0,No Special Jurisdiction,0,None,29.82096944,29.82096944,-95.68686389,-95.68686389,12,Motor Vehicle In-Transport,6,Angle,0,No,2,Intersection,3,T-Intersection,1,On Roadway,0,None,3,Dark - Lighted,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,3
48,Texas,480003,0,0,3,3,0,7,7,29,BEXAR (29),6090,SAN ANTONIO,1,January,1,1,7,Saturday,2022,18,6:00pm-6:59pm,6,6,SS 421/CULEBRA RD,ZARZAMORA ST,6,Local Street - Municipality,2,Urban,3,Principal Arterial - Other,98,Not Reported,1,This section IS ON the NHS,0,No Special Jurisdiction,25,25,29.44505556,29.44505556,-98.52500833,-98.52500833,12,Motor Vehicle In-Transport,6,Angle,0,No,2,Intersection,2,Four-Way Intersection,1,On Roadway,0,None,3,Dark - Lighted,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,1
48,Texas,480005,0,0,2,2,0,2,2,439,TARRANT (439),2450,FORT WORTH,1,January,2,2,1,Sunday,2022,2,2:00am-2:59am,9,9,US-287/MARTIN L KING FWY,NA,2,US Highway,2,Urban,2,Principal Arterial - Other Freeways and Expressways,98,Not Reported,1,This section IS ON the NHS,0,No Special Jurisdiction,251,251,32.70687778,32.70687778,-97.27086111,-97.27086111,12,Motor Vehicle In-Transport,2,Front-to-Front,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,None,2,Dark - Not Lighted,1,Clear,0,No,0000000,Not Applicable,99,Unknown,98,Unknown if Notified,99,Unknown EMS Scene Arrival Hour,98,Unknown if Arrived,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),2
48,Texas,480006,0,0,1,1,0,4,4,201,HARRIS (201),0,NOT APPLICABLE,1,January,2,2,1,Sunday,2022,2,2:00am-2:59am,42,42,SR-99 SV RD/GRAND PKWY,CHAMPION FOREST DR,3,State Highway,2,Urban,5,Major Collector,98,Not Reported,0,This section IS NOT on the NHS,0,No Special Jurisdiction,128,128,30.05668333,30.05668333,-95.57647778,-95.57647778,46,Traffic Signal Support,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,1,Yes,3,Intersection-Related,2,Four-Way Intersection,3,On Median,0,None,3,Dark - Lighted,10,Cloudy,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,1
48,Texas,480007,0,0,1,1,0,1,1,439,TARRANT (439),2450,FORT WORTH,1,January,2,2,1,Sunday,2022,21,9:00pm-9:59pm,43,43,BRYANT IRVIN RD,NA,6,Local Street - Municipality,2,Urban,3,Principal Arterial - Other,98,Not Reported,0,This section IS NOT on the NHS,1,National Park Service,0,None,32.71665833,32.71665833,-97.41308611,-97.41308611,33,Curb,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,4,On Roadside,0,None,3,Dark - Lighted,1,Clear,0,No,0000000,Not Applicable,99,Unknown,98,Unknown if Notified,99,Unknown EMS Scene Arrival Hour,98,Unknown if Arrived,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
48,Texas,480008,1,1,1,1,0,1,1,439,TARRANT (439),2450,FORT WORTH,1,January,1,1,7,Saturday,2022,18,6:00pm-6:59pm,22,22,US-287P BU/MAIN ST,NA,2,US Highway,2,Urban,3,Principal Arterial - Other,98,Not Reported,1,This section IS ON the NHS,0,No Special Jurisdiction,147,147,32.79868889,32.79868889,-97.35010278,-97.35010278,8,Pedestrian,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,None,3,Dark - Lighted,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,1
48,Texas,480009,0,0,2,2,0,3,3,315,MARION (315),0,NOT APPLICABLE,1,January,1,1,7,Saturday,2022,3,3:00am-3:59am,4,4,SR-49,NA,3,State Highway,1,Rural,4,Minor Arterial,98,Not Reported,0,This section IS NOT on the NHS,0,No Special Jurisdiction,66,66,32.81724722,32.81724722,-94.47676667,-94.47676667,12,Motor Vehicle In-Transport,2,Front-to-Front,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,None,2,Dark - Not Lighted,10,Cloudy,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,1
48,Texas,480010,1,1,1,1,0,1,1,473,WALLER (473),0,NOT APPLICABLE,1,January,1,1,7,Saturday,2022,20,8:00pm-8:59pm,56,56,FM 359,NA,8,Other,1,Rural,5,Major Collector,98,Not Reported,0,This section IS NOT on the NHS,0,No Special Jurisdiction,200,200,29.94068611,29.94068611,-96.03271667,-96.03271667,8,Pedestrian,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,None,2,Dark - Not Lighted,10,Cloudy,0,No,0000000,Not Applicable,99,Unknown,98,Unknown if Notified,99,Unknown EMS Scene Arrival Hour,98,Unknown if Arrived,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
48,Texas,480011,0,0,1,1,0,1,1,201,HARRIS (201),480,BAYTOWN,1,January,1,1,7,Saturday,2022,7,7:00am-7:59am,21,21,I-10,NA,7,Local Street - Frontage Road,2,Urban,5,Major Collector,1,State Highway Agency,0,This section IS NOT on the NHS,0,No Special Jurisdiction,212,212,29.799925000000002,29.799925000000002,-95.02678056,-95.02678056,38,Fence,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,1,Yes,19,Other location within Interchange Area,1,Not an Intersection,4,On Roadside,0,None,1,Daylight,1,Clear,0,No,0000000,Not Applicable,99,Unknown,98,Unknown if Notified,99,Unknown EMS Scene Arrival Hour,98,Unknown if Arrived,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
48,Texas,480012,0,0,3,3,0,4,4,29,BEXAR (29),7077,UNIVERSAL CITY,1,January,4,4,3,Tuesday,2022,16,4:00pm-4:59pm,54,54,FM 78/GORDON A BLAKE HWY,NA,8,Other,2,Urban,3,Principal Arterial - Other,98,Not Reported,1,This section IS ON the NHS,0,No Special Jurisdiction,194,194,29.542275,29.542275,-98.29166944,-98.29166944,12,Motor Vehicle In-Transport,1,Front-to-Rear,0,No,8,Driveway Access Related,1,Not an Intersection,1,On Roadway,0,None,1,Daylight,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,1
48,Texas,480013,1,1,1,1,0,1,1,61,CAMERON (61),940,BROWNSVILLE,1,January,4,4,3,Tuesday,2022,1,1:00am-1:59am,39,39,CALLE MILPA VERDE,NA,6,Local Street - Municipality,2,Urban,6,Minor Collector,98,Not Reported,0,This section IS NOT on the NHS,0,No Special Jurisdiction,0,None,25.89101667,25.89101667,-97.45436389,-97.45436389,8,Pedestrian,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,None,2,Dark - Not Lighted,1,Clear,0,No,0000000,Not Applicable,99,Unknown,98,Unknown if Notified,99,Unknown EMS Scene Arrival Hour,98,Unknown if Arrived,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
48,Texas,480014,0,0,2,2,0,2,2,61,CAMERON (61),940,BROWNSVILLE,1,January,5,5,4,Wednesday,2022,14,2:00pm-2:59pm,28,28,FM 2519/BILLIE MITCHELL BLVD,NA,8,Other,2,Urban,4,Minor Arterial,98,Not Reported,0,This section IS NOT on the NHS,0,No Special Jurisdiction,3,3,25.91234167,25.91234167,-97.45364167,-97.45364167,12,Motor Vehicle In-Transport,6,Angle,0,No,8,Driveway Access Related,1,Not an Intersection,1,On Roadway,0,None,1,Daylight,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,1
48,Texas,480015,0,0,1,1,0,1,1,361,ORANGE (361),0,NOT APPLICABLE,1,January,1,1,7,Saturday,2022,1,1:00am-1:59am,30,30,CR-OLD HWY 87,NA,4,County Road,1,Rural,7,Local,98,Not Reported,0,This section IS NOT on the NHS,0,No Special Jurisdiction,0,None,30.23481111,30.23481111,-93.75047222,-93.75047222,42,Tree (Standing Only),0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,4,On Roadside,0,None,2,Dark - Not Lighted,10,Cloudy,0,No,0000000,Not Applicable,99,Unknown,98,Unknown if Notified,99,Unknown EMS Scene Arrival Hour,98,Unknown if Arrived,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
48,Texas,480016,1,1,3,3,0,4,4,439,TARRANT (439),2450,FORT WORTH,1,January,5,5,4,Wednesday,2022,6,6:00am-6:59am,57,57,I-820,NA,1,Interstate,2,Urban,1,Interstate,1,State Highway Agency,1,This section IS ON the NHS,0,No Special Jurisdiction,292,292,32.75758611,32.75758611,-97.21493611,-97.21493611,8,Pedestrian,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,1,Yes,18,Through Roadway,1,Not an Intersection,1,On Roadway,0,None,3,Dark - Lighted,1,Clear,0,No,0000000,Not Applicable,99,Unknown,98,Unknown if Notified,99,Unknown EMS Scene Arrival Hour,98,Unknown if Arrived,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
