STATE,STATENAME,ST_CASE,PEDS,PERNOTMVIT,VE_TOTAL,VE_FORMS,PVH_INVL,PERSONS,PERMVIT,COUNTY,COUNTYNAME,CITY,CITYNAME,MONTH,MONTHNAME,DAY,DAYNAME,DAY_WEEK,DAY_WEEKNAME,YEAR,HOUR,HOURNAME,MINUTE,MINUTENAME,TWAY_ID,TWAY_ID2,ROUTE,ROUTENAME,RUR_URB,RUR_URBNAME,FUNC_SYS,FUNC_SYSNAME,RD_OWNER,RD_OWNERNAME,NHS,NHSNAME,SP_JUR,SP_JURNAME,MILEPT,MILEPTNAME,LATITUDE,LATITUDENAME,LONGITUD,LONGITUDNAME,HARM_EV,HARM_EVNAME,MAN_COLL,MAN_COLLNAME,RELJCT1,RELJCT1NAME,RELJCT2,RELJCT2NAME,TYP_INT,TYP_INTNAME,REL_ROAD,REL_ROADNAME,WRK_ZONE,WRK_ZONENAME,LGT_COND,LGT_CONDNAME,WEATHER,WEATHERNAME,SCH_BUS,SCH_BUSNAME,RAIL,RAILNAME,NOT_HOUR,NOT_HOURNAME,NOT_MIN,NOT_MINNAME,ARR_HOUR,ARR_HOURNAME,ARR_MIN,ARR_MINNAME,HOSP_HR,HOSP_HRNAME,HOSP_MN,HOSP_MNNAME,FATALS
50,Vermont,500001,1,1,1,1,0,2,2,17,ORANGE (17),656,THETFORD CENTER,1,January,6,6,5,Thursday,2022,8,8:00am-8:59am,3,3,TH-5 LATHAM RD,NA,5,Local Street - Township,1,Rural,7,Local,3,Town or Township Highway Agency,0,This section IS NOT on the NHS,0,No Special Jurisdiction,99999,Unknown,43.828675,43.828675,-72.206175,-72.206175,8,Pedestrian,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,2,On Shoulder,0,None,1,Daylight,1,Clear,0,No,0000000,Not Applicable,8,8:00am-8:59am,2,2,8,8:00am-8:59am,14,14,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
50,Vermont,500002,0,0,3,3,0,3,3,5,CALEDONIA (5),676,WALDEN,1,January,10,10,2,Monday,2022,8,8:00am-8:59am,50,50,SR-15,SAWMILL RD,3,State Highway,1,Rural,4,Minor Arterial,1,State Highway Agency,0,This section IS NOT on the NHS,0,No Special Jurisdiction,21,21,44.46699722,44.46699722,-72.27116389,-72.27116389,12,Motor Vehicle In-Transport,2,Front-to-Front,0,No,2,Intersection,3,T-Intersection,1,On Roadway,0,None,1,Daylight,1,Clear,0,No,0000000,Not Applicable,8,8:00am-8:59am,47,47,9,9:00am-9:59am,9,9,10,10:00am-10:59am,10,10,1
50,Vermont,500003,0,0,1,1,0,5,5,11,FRANKLIN (11),612,SHELDON,1,January,27,27,5,Thursday,2022,15,3:00pm-3:59pm,59,59,SR-105,NA,3,State Highway,1,Rural,4,Minor Arterial,1,State Highway Agency,0,This section IS NOT on the NHS,0,No Special Jurisdiction,79,79,44.91011111,44.91011111,-72.88193611,-72.88193611,42,Tree (Standing Only),0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,4,On Roadside,0,None,1,Daylight,1,Clear,0,No,0000000,Not Applicable,15,3:00pm-3:59pm,55,55,16,4:00pm-4:59pm,2,2,16,4:00pm-4:59pm,44,44,1
50,Vermont,500004,0,0,1,1,0,1,1,3,BENNINGTON (3),70,BENNINGTON,1,January,28,28,6,Friday,2022,11,11:00am-11:59am,5,5,TH-26 SILK ROAD,NA,5,Local Street - Township,1,Rural,7,Local,3,Town or Township Highway Agency,0,This section IS NOT on the NHS,0,No Special Jurisdiction,99999,Unknown,42.897872220000004,42.897872220000004,-73.22428889,-73.22428889,42,Tree (Standing Only),0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,4,On Roadside,0,None,1,Daylight,10,Cloudy,0,No,0000000,Not Applicable,11,11:00am-11:59am,6,6,11,11:00am-11:59am,11,11,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
50,Vermont,500005,0,0,2,2,0,4,4,5,CALEDONIA (5),240,HARDWICK,2,February,5,5,7,Saturday,2022,13,1:00pm-1:59pm,1,1,SR-15,NA,3,State Highway,1,Rural,4,Minor Arterial,1,State Highway Agency,0,This section IS NOT on the NHS,0,No Special Jurisdiction,52,52,44.50173333,44.50173333,-72.33268889,-72.33268889,12,Motor Vehicle In-Transport,6,Angle,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,None,1,Daylight,6,Severe Crosswinds,0,No,0000000,Not Applicable,12,12:00pm-12:59pm,46,46,13,1:00pm-1:59pm,5,5,13,1:00pm-1:59pm,58,58,1
50,Vermont,500006,0,0,4,2,2,2,2,1,ADDISON (1),471,ORWELL,2,February,8,8,3,Tuesday,2022,9,9:00am-9:59am,38,38,SR-22A,SR-73,3,State Highway,1,Rural,4,Minor Arterial,1,State Highway Agency,0,This section IS NOT on the NHS,0,No Special Jurisdiction,32,32,43.80361111,43.80361111,-73.30508056,-73.30508056,12,Motor Vehicle In-Transport,6,Angle,0,No,2,Intersection,2,Four-Way Intersection,1,On Roadway,0,None,1,Daylight,10,Cloudy,0,No,0000000,Not Applicable,9,9:00am-9:59am,37,37,10,10:00am-10:59am,3,3,10,10:00am-10:59am,36,36,1
50,Vermont,500007,0,0,1,1,0,1,1,15,LAMOILLE (15),140,CAMBRIDGE,2,February,9,9,4,Wednesday,2022,20,8:00pm-8:59pm,13,13,SR-108,NA,3,State Highway,1,Rural,5,Major Collector,1,State Highway Agency,0,This section IS NOT on the NHS,0,No Special Jurisdiction,46,46,44.59431389,44.59431389,-72.80059167,-72.80059167,43,Other Fixed Object,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,4,On Roadside,0,None,2,Dark - Not Lighted,1,Clear,0,No,0000000,Not Applicable,20,8:00pm-8:59pm,10,10,20,8:00pm-8:59pm,23,23,21,9:00pm-9:59pm,29,29,1
50,Vermont,500008,0,0,2,2,0,3,3,19,ORLEANS (19),9997,Other,2,February,16,16,4,Wednesday,2022,20,8:00pm-8:59pm,46,46,SR-105,NA,3,State Highway,1,Rural,4,Minor Arterial,1,State Highway Agency,0,This section IS NOT on the NHS,0,No Special Jurisdiction,68,68,44.83879722,44.83879722,-71.9948,-71.9948,12,Motor Vehicle In-Transport,2,Front-to-Front,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,None,2,Dark - Not Lighted,10,Cloudy,0,No,0000000,Not Applicable,20,8:00pm-8:59pm,52,52,21,9:00pm-9:59pm,7,7,21,9:00pm-9:59pm,44,44,2
50,Vermont,500009,0,0,2,2,0,2,2,7,CHITTENDEN (7),370,MILTON,2,February,25,25,6,Friday,2022,15,3:00pm-3:59pm,48,48,I-89,NA,1,Interstate,2,Urban,1,Interstate,1,State Highway Agency,1,This section IS ON the NHS,0,No Special Jurisdiction,1003,1003,44.6217,44.6217,-73.15568889,-73.15568889,12,Motor Vehicle In-Transport,1,Front-to-Rear,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,None,1,Daylight,4,Snow,0,No,0000000,Not Applicable,15,3:00pm-3:59pm,53,53,16,4:00pm-4:59pm,1,1,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
50,Vermont,500010,0,0,2,2,0,4,4,27,WINDSOR (27),150,CHESTER,3,March,2,2,4,Wednesday,2022,20,8:00pm-8:59pm,45,45,SR-103,NA,3,State Highway,1,Rural,3,Principal Arterial - Other,1,State Highway Agency,0,This section IS NOT on the NHS,0,No Special Jurisdiction,5,5,43.24020833,43.24020833,-72.56127778,-72.56127778,12,Motor Vehicle In-Transport,2,Front-to-Front,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,None,2,Dark - Not Lighted,1,Clear,0,No,0000000,Not Applicable,20,8:00pm-8:59pm,50,50,21,9:00pm-9:59pm,21,21,22,10:00pm-10:59pm,25,25,2
