STATE,STATENAME,ST_CASE,PEDS,PERNOTMVIT,VE_TOTAL,VE_FORMS,PVH_INVL,PERSONS,PERMVIT,COUNTY,COUNTYNAME,CITY,CITYNAME,MONTH,MONTHNAME,DAY,DAYNAME,DAY_WEEK,DAY_WEEKNAME,YEAR,HOUR,HOURNAME,MINUTE,MINUTENAME,TWAY_ID,TWAY_ID2,ROUTE,ROUTENAME,RUR_URB,RUR_URBNAME,FUNC_SYS,FUNC_SYSNAME,RD_OWNER,RD_OWNERNAME,NHS,NHSNAME,SP_JUR,SP_JURNAME,MILEPT,MILEPTNAME,LATITUDE,LATITUDENAME,LONGITUD,LONGITUDNAME,HARM_EV,HARM_EVNAME,MAN_COLL,MAN_COLLNAME,RELJCT1,RELJCT1NAME,RELJCT2,RELJCT2NAME,TYP_INT,TYP_INTNAME,REL_ROAD,REL_ROADNAME,WRK_ZONE,WRK_ZONENAME,LGT_COND,LGT_CONDNAME,WEATHER,WEATHERNAME,SCH_BUS,SCH_BUSNAME,RAIL,RAILNAME,NOT_HOUR,NOT_HOURNAME,NOT_MIN,NOT_MINNAME,ARR_HOUR,ARR_HOURNAME,ARR_MIN,ARR_MINNAME,HOSP_HR,HOSP_HRNAME,HOSP_MN,HOSP_MNNAME,FATALS
56,Wyoming,560001,0,0,1,1,0,1,1,25,NATRONA (25),90,CASPER,1,January,12,12,4,Wednesday,2022,14,2:00pm-2:59pm,23,23,I-25/US-87,NA,1,Interstate,2,Urban,1,Interstate,1,State Highway Agency,1,This section IS ON the NHS,0,No Special Jurisdiction,1895,1895,42.86858333,42.86858333,-106.34535,-106.34535,1,Rollover/Overturn,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,1,Yes,19,Other location within Interchange Area,1,Not an Intersection,4,On Roadside,0,None,1,Daylight,1,Clear,0,No,0000000,Not Applicable,14,2:00pm-2:59pm,27,27,14,2:00pm-2:59pm,31,31,14,2:00pm-2:59pm,43,43,1
56,Wyoming,560002,0,0,1,1,0,1,1,21,LARAMIE (21),0,NOT APPLICABLE,1,January,24,24,2,Monday,2022,10,10:00am-10:59am,35,35,I-80/US-30,NA,1,Interstate,1,Rural,1,Interstate,1,State Highway Agency,1,This section IS ON the NHS,0,No Special Jurisdiction,3526,3526,41.10818611,41.10818611,-104.98122778,-104.98122778,1,Rollover/Overturn,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,3,On Median,0,None,1,Daylight,1,Clear,0,No,0000000,Not Applicable,10,10:00am-10:59am,38,38,10,10:00am-10:59am,47,47,11,11:00am-11:59am,17,17,1
56,Wyoming,560003,0,0,2,2,0,3,3,21,LARAMIE (21),0,NOT APPLICABLE,1,January,28,28,6,Friday,2022,8,8:00am-8:59am,45,45,US-85,NA,2,US Highway,1,Rural,3,Principal Arterial - Other,1,State Highway Agency,1,This section IS ON the NHS,0,No Special Jurisdiction,411,411,41.40869167,41.40869167,-104.44170556,-104.44170556,12,Motor Vehicle In-Transport,6,Angle,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,None,1,Daylight,11,Blowing Snow,0,No,0000000,Not Applicable,8,8:00am-8:59am,47,47,9,9:00am-9:59am,16,16,10,10:00am-10:59am,6,6,1
56,Wyoming,560004,0,0,1,1,0,1,1,21,LARAMIE (21),0,NOT APPLICABLE,2,February,6,6,1,Sunday,2022,10,10:00am-10:59am,0,0,I-25/US-87,NA,1,Interstate,1,Rural,1,Interstate,1,State Highway Agency,1,This section IS ON the NHS,0,No Special Jurisdiction,254,254,41.34858611,41.34858611,-104.86804167,-104.86804167,24,Guardrail Face,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,3,On Median,0,None,1,Daylight,1,Clear,0,No,0000000,Not Applicable,10,10:00am-10:59am,0,0,10,10:00am-10:59am,14,14,10,10:00am-10:59am,45,45,1
56,Wyoming,560005,0,0,1,1,0,3,3,1,ALBANY (1),0,NOT APPLICABLE,2,February,11,11,6,Friday,2022,9,9:00am-9:59am,30,30,I-80/US-30,NA,1,Interstate,1,Rural,1,Interstate,1,State Highway Agency,1,This section IS ON the NHS,0,No Special Jurisdiction,3261,3261,41.19733333,41.19733333,-105.43068611,-105.43068611,1,Rollover/Overturn,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,3,On Median,0,None,1,Daylight,4,Snow,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
56,Wyoming,560006,0,0,2,2,0,2,2,5,CAMPBELL (5),0,NOT APPLICABLE,2,February,15,15,3,Tuesday,2022,5,5:00am-5:59am,15,15,CR-59,NA,4,County Road,1,Rural,3,Principal Arterial - Other,1,State Highway Agency,1,This section IS ON the NHS,0,No Special Jurisdiction,916,916,43.99873611,43.99873611,-105.45654444,-105.45654444,12,Motor Vehicle In-Transport,2,Front-to-Front,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,None,2,Dark - Not Lighted,1,Clear,0,No,0000000,Not Applicable,5,5:00am-5:59am,22,22,5,5:00am-5:59am,45,45,99,Unknown,99,Unknown EMS Hospital Arrival Time,1
56,Wyoming,560007,1,1,1,1,0,1,1,7,CARBON (7),0,NOT APPLICABLE,2,February,14,14,2,Monday,2022,21,9:00pm-9:59pm,50,50,I-80/US-30/US-287,NA,1,Interstate,1,Rural,1,Interstate,1,State Highway Agency,1,This section IS ON the NHS,0,No Special Jurisdiction,2228,2228,41.77266389,41.77266389,-107.06571389,-107.06571389,8,Pedestrian,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,None,2,Dark - Not Lighted,1,Clear,0,No,0000000,Not Applicable,21,9:00pm-9:59pm,54,54,22,10:00pm-10:59pm,5,5,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
56,Wyoming,560008,0,0,2,2,0,4,4,29,PARK (29),0,NOT APPLICABLE,2,February,16,16,4,Wednesday,2022,7,7:00am-7:59am,36,36,US-14A,NA,2,US Highway,1,Rural,4,Minor Arterial,1,State Highway Agency,9,Unknown if this section is on the NHS,0,No Special Jurisdiction,307,307,44.78586667,44.78586667,-108.63621111,-108.63621111,12,Motor Vehicle In-Transport,6,Angle,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,None,1,Daylight,4,Snow,0,No,0000000,Not Applicable,7,7:00am-7:59am,38,38,7,7:00am-7:59am,48,48,8,8:00am-8:59am,28,28,2
56,Wyoming,560009,0,0,2,2,0,2,2,7,CARBON (7),0,NOT APPLICABLE,2,February,16,16,4,Wednesday,2022,8,8:00am-8:59am,35,35,SR-230,NA,3,State Highway,1,Rural,4,Minor Arterial,1,State Highway Agency,0,This section IS NOT on the NHS,0,No Special Jurisdiction,1099,1099,41.17495556,41.17495556,-106.61355,-106.61355,12,Motor Vehicle In-Transport,6,Angle,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,None,1,Daylight,4,Snow,0,No,0000000,Not Applicable,8,8:00am-8:59am,37,37,9,9:00am-9:59am,26,26,99,Unknown,99,Unknown EMS Hospital Arrival Time,1
56,Wyoming,560010,1,1,1,1,0,1,1,13,FREMONT (13),0,NOT APPLICABLE,2,February,20,20,1,Sunday,2022,19,7:00pm-7:59pm,30,30,US-26/WY-789,NA,2,US Highway,1,Rural,3,Principal Arterial - Other,1,State Highway Agency,1,This section IS ON the NHS,0,No Special Jurisdiction,1189,1189,43.18442778,43.18442778,-108.24683056,-108.24683056,8,Pedestrian,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,None,2,Dark - Not Lighted,1,Clear,0,No,0000000,Not Applicable,19,7:00pm-7:59pm,32,32,19,7:00pm-7:59pm,55,55,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
