State,Type of Government,Name of Government,Government Function,Full-time Employees,Full-time Employees Data Flag,Full-time Payroll,Full-time Payroll Data Flag,Part-time Employees,Part-time Employees Data Flag,Part-time Payroll,Part-time Payroll Data Flag,Individual Unit ID,Census Region,County Name,FIPS State,FIPS County,Population/Enrollment/Function Code,Year of Population/Enrollment,School Level,Probability of Selection,Worksheet Code,New Individual Unit ID
Alaska,State,Alaska,Total - All Government Employment Functions,22141,R,149003002,R,4264,R,7748227,R,02000000000000,West,NA,02,NA,731158,20,NA,1,00,227749
Alaska,State,Alaska,Financial Administration,965,R,7106937,R,15,R,50548,R,02000000000000,West,NA,02,NA,731158,20,NA,1,00,227749
Alaska,State,Alaska,Other Government Administration,696,R,4360065,R,8,R,21274,R,02000000000000,West,NA,02,NA,731158,20,NA,1,00,227749
Alaska,State,Alaska,Judicial and Legal,1665,R,11300463,R,64,R,160400,R,02000000000000,West,NA,02,NA,731158,20,NA,1,00,227749
Alaska,State,Alaska,Police Protection - Persons with Power of Arrest,348,R,4401127,R,4,R,29491,R,02000000000000,West,NA,02,NA,731158,20,NA,1,00,227749
Alaska,State,Alaska,Police Protection - Other,291,R,1690248,R,3,R,1354,R,02000000000000,West,NA,02,NA,731158,20,NA,1,00,227749
Alaska,State,Alaska,Corrections,2221,R,16405911,R,37,R,116417,R,02000000000000,West,NA,02,NA,731158,20,NA,1,00,227749
Alaska,State,Alaska,Highways,2175,R,15317773,R,23,R,44628,R,02000000000000,West,NA,02,NA,731158,20,NA,1,00,227749
Alaska,State,Alaska,Air Transportation,485,R,3101838,R,0,R,0,R,02000000000000,West,NA,02,NA,731158,20,NA,1,00,227749
Alaska,State,Alaska,Public Welfare,1558,R,9132720,R,62,R,140373,R,02000000000000,West,NA,02,NA,731158,20,NA,1,00,227749
Alaska,State,Alaska,Health,796,R,5348199,R,41,R,171681,R,02000000000000,West,NA,02,NA,731158,20,NA,1,00,227749
Alaska,State,Alaska,Hospitals,247,R,1607165,R,7,R,22791,R,02000000000000,West,NA,02,NA,731158,20,NA,1,00,227749
