State,Type of Government,Name of Government,Government Function,Full-time Employees,Full-time Employees Data Flag,Full-time Payroll,Full-time Payroll Data Flag,Part-time Employees,Part-time Employees Data Flag,Part-time Payroll,Part-time Payroll Data Flag,Individual Unit ID,Census Region,County Name,FIPS State,FIPS County,Population/Enrollment/Function Code,Year of Population/Enrollment,School Level,Probability of Selection,Worksheet Code,New Individual Unit ID
Arizona,State,Arizona,Total - All Government Employment Functions,61303,R,378254459,R,31417,R,40145073,R,03000000000000,West,NA,04,NA,7421401,20,NA,1,00,226348
Arizona,State,Arizona,Financial Administration,2096,T,11211446,T,39,R,92130,R,03000000000000,West,NA,04,NA,7421401,20,NA,1,00,226348
Arizona,State,Arizona,Other Government Administration,709,R,3790211,R,119,C,252183,C,03000000000000,West,NA,04,NA,7421401,20,NA,1,00,226348
Arizona,State,Arizona,Judicial and Legal,2296,R,14312994,R,68,R,241788,R,03000000000000,West,NA,04,NA,7421401,20,NA,1,00,226348
Arizona,State,Arizona,Police Protection - Persons with Power of Arrest,1120,R,9036451,R,1,R,1231,R,03000000000000,West,NA,04,NA,7421401,20,NA,1,00,226348
Arizona,State,Arizona,Police Protection - Other,762,R,4658193,R,37,R,90414,R,03000000000000,West,NA,04,NA,7421401,20,NA,1,00,226348
Arizona,State,Arizona,Corrections,7969,R,42054492,R,57,R,216464,R,03000000000000,West,NA,04,NA,7421401,20,NA,1,00,226348
Arizona,State,Arizona,Highways,2418,T,11324182,T,6,T,3328,T,03000000000000,West,NA,04,NA,7421401,20,NA,1,00,226348
Arizona,State,Arizona,Public Welfare,6420,C,26744798,C,51,R,124463,T,03000000000000,West,NA,04,NA,7421401,20,NA,1,00,226348
Arizona,State,Arizona,Health,2457,R,12546440,R,25,R,69075,R,03000000000000,West,NA,04,NA,7421401,20,NA,1,00,226348
Arizona,State,Arizona,Hospitals,611,R,3186178,R,14,R,60922,R,03000000000000,West,NA,04,NA,7421401,20,NA,1,00,226348
Arizona,State,Arizona,Social Insurance Administration,2411,T,10128613,T,20,R,46575,R,03000000000000,West,NA,04,NA,7421401,20,NA,1,00,226348
Arizona,State,Arizona,Parks and Recreation,311,R,1175657,R,1,R,2343,R,03000000000000,West,NA,04,NA,7421401,20,NA,1,00,226348
