State,Type of Government,Name of Government,Government Function,Full-time Employees,Full-time Employees Data Flag,Full-time Payroll,Full-time Payroll Data Flag,Part-time Employees,Part-time Employees Data Flag,Part-time Payroll,Part-time Payroll Data Flag,Individual Unit ID,Census Region,County Name,FIPS State,FIPS County,Population/Enrollment/Function Code,Year of Population/Enrollment,School Level,Probability of Selection,Worksheet Code,New Individual Unit ID
California,State,California,Total - All Government Employment Functions,403830,R,3502901309,R,156638,R,345740322,R,05000000000000,West,NA,06,NA,39368078,20,NA,1,00,226349
California,State,California,Financial Administration,25844,R,173282090,R,1939,R,5803537,R,05000000000000,West,NA,06,NA,39368078,20,NA,1,00,226349
California,State,California,Other Government Administration,4074,R,30705670,R,168,R,605006,R,05000000000000,West,NA,06,NA,39368078,20,NA,1,00,226349
California,State,California,Judicial and Legal,6342,R,56791433,R,321,R,1163858,R,05000000000000,West,NA,06,NA,39368078,20,NA,1,00,226349
California,State,California,Police Protection - Persons with Power of Arrest,7420,R,95964364,R,35,R,94383,R,05000000000000,West,NA,06,NA,39368078,20,NA,1,00,226349
California,State,California,Police Protection - Other,3021,R,18296573,R,103,R,263841,R,05000000000000,West,NA,06,NA,39368078,20,NA,1,00,226349
California,State,California,Corrections,56646,R,529594947,R,1351,R,6799097,R,05000000000000,West,NA,06,NA,39368078,20,NA,1,00,226349
California,State,California,Highways,20231,R,167800140,R,605,R,2823122,R,05000000000000,West,NA,06,NA,39368078,20,NA,1,00,226349
California,State,California,Public Welfare,5868,T,37741837,T,381,R,1155284,R,05000000000000,West,NA,06,NA,39368078,20,NA,1,00,226349
California,State,California,Health,15034,R,120418366,R,737,R,2589920,R,05000000000000,West,NA,06,NA,39368078,20,NA,1,00,226349
California,State,California,Hospitals,59134,R,579899079,R,10250,R,58731202,R,05000000000000,West,NA,06,NA,39368078,20,NA,1,00,226349
California,State,California,Social Insurance Administration,13409,R,90916922,R,3049,R,12028108,R,05000000000000,West,NA,06,NA,39368078,20,NA,1,00,226349
California,State,California,Solid Waste Management,713,R,5425307,R,32,R,102834,R,05000000000000,West,NA,06,NA,39368078,20,NA,1,00,226349
California,State,California,Parks and Recreation,2346,R,15821489,R,2261,R,5341086,R,05000000000000,West,NA,06,NA,39368078,20,NA,1,00,226349
California,State,California,Natural Resources,16864,R,133977586,R,2876,R,7438625,R,05000000000000,West,NA,06,NA,39368078,20,NA,1,00,226349
California,State,California,Education - Higher Education Instructional,61580,R,685251633,R,32528,R,102624590,R,05000000000000,West,NA,06,NA,39368078,20,NA,1,00,226349
California,State,California,Education - Higher Education Other,81726,R,588409630,R,98810,R,135006195,R,05000000000000,West,NA,06,NA,39368078,20,NA,1,00,226349
California,State,California,Education - Other,3964,R,26267447,R,339,R,743562,R,05000000000000,West,NA,06,NA,39368078,20,NA,1,00,226349
