State,Type of Government,Name of Government,Government Function,Full-time Employees,Full-time Employees Data Flag,Full-time Payroll,Full-time Payroll Data Flag,Part-time Employees,Part-time Employees Data Flag,Part-time Payroll,Part-time Payroll Data Flag,Individual Unit ID,Census Region,County Name,FIPS State,FIPS County,Population/Enrollment/Function Code,Year of Population/Enrollment,School Level,Probability of Selection,Worksheet Code,New Individual Unit ID
Colorado,State,Colorado,Total - All Government Employment Functions,71152,R,493096916,R,39894,T,67593983,R,06000000000000,West,NA,08,NA,5807719,20,NA,1,00,226086
Colorado,State,Colorado,Financial Administration,3090,R,19799435,R,83,R,188154,R,06000000000000,West,NA,08,NA,5807719,20,NA,1,00,226086
Colorado,State,Colorado,Other Government Administration,519,R,3002206,R,175,C,575749,C,06000000000000,West,NA,08,NA,5807719,20,NA,1,00,226086
Colorado,State,Colorado,Judicial and Legal,5262,R,34061707,R,362,R,1274730,R,06000000000000,West,NA,08,NA,5807719,20,NA,1,00,226086
Colorado,State,Colorado,Police Protection - Persons with Power of Arrest,797,X,6827738,X,0,R,0,R,06000000000000,West,NA,08,NA,5807719,20,NA,1,00,226086
Colorado,State,Colorado,Police Protection - Other,555,X,3731812,X,0,R,0,R,06000000000000,West,NA,08,NA,5807719,20,NA,1,00,226086
Colorado,State,Colorado,Corrections,6697,R,33724682,R,40,R,199498,X,06000000000000,West,NA,08,NA,5807719,20,NA,1,00,226086
Colorado,State,Colorado,Highways,2913,R,15819725,R,161,R,485981,R,06000000000000,West,NA,08,NA,5807719,20,NA,1,00,226086
Colorado,State,Colorado,Public Welfare,2286,R,12668817,R,192,R,670753,R,06000000000000,West,NA,08,NA,5807719,20,NA,1,00,226086
Colorado,State,Colorado,Health,1749,R,11256684,R,112,R,440636,R,06000000000000,West,NA,08,NA,5807719,20,NA,1,00,226086
Colorado,State,Colorado,Hospitals,3470,R,18118639,R,262,R,673946,R,06000000000000,West,NA,08,NA,5807719,20,NA,1,00,226086
Colorado,State,Colorado,Social Insurance Administration,1180,R,6230430,R,360,R,1051692,R,06000000000000,West,NA,08,NA,5807719,20,NA,1,00,226086
Colorado,State,Colorado,Parks and Recreation,1069,R,5904594,R,262,R,444683,R,06000000000000,West,NA,08,NA,5807719,20,NA,1,00,226086
Colorado,State,Colorado,Natural Resources,1082,R,6582649,R,172,T,451913,T,06000000000000,West,NA,08,NA,5807719,20,NA,1,00,226086
Colorado,State,Colorado,Education - Higher Education Instructional,16850,R,181246811,R,15614,R,34879293,R,06000000000000,West,NA,08,NA,5807719,20,NA,1,00,226086
Colorado,State,Colorado,Education - Higher Education Other,20915,R,116210393,R,21865,T,25624657,T,06000000000000,West,NA,08,NA,5807719,20,NA,1,00,226086
Colorado,State,Colorado,Education - Other,804,R,5271534,R,202,R,541222,R,06000000000000,West,NA,08,NA,5807719,20,NA,1,00,226086
Colorado,State,Colorado,All other and unallocable,1914,X,12639061,X,32,R,91077,R,06000000000000,West,NA,08,NA,5807719,20,NA,1,00,226086
Colorado,County,Adams,Total - All Government Employment Functions,2302,R,15868994,R,138,R,251887,R,06100100100000,West,Adams,08,001,519883,20,NA,1,04,161306
Colorado,County,Adams,Financial Administration,154,R,1186131,R,7,R,11954,R,06100100100000,West,Adams,08,001,519883,20,NA,1,04,161306
Colorado,County,Adams,Other Government Administration,141,R,983081,R,5,R,15629,R,06100100100000,West,Adams,08,001,519883,20,NA,1,04,161306
Colorado,County,Adams,Judicial and Legal,237,R,1764199,R,16,R,47436,R,06100100100000,West,Adams,08,001,519883,20,NA,1,04,161306
Colorado,County,Adams,Police Protection - Persons with Power of Arrest,174,T,1780388,T,0,T,0,T,06100100100000,West,Adams,08,001,519883,20,NA,1,04,161306
Colorado,County,Adams,Police Protection - Other,137,T,846353,T,20,C,48191,C,06100100100000,West,Adams,08,001,519883,20,NA,1,04,161306
Colorado,County,Adams,Corrections,273,R,2038329,R,8,R,28150,R,06100100100000,West,Adams,08,001,519883,20,NA,1,04,161306
Colorado,County,Adams,Highways,107,C,729204,C,0,C,0,C,06100100100000,West,Adams,08,001,519883,20,NA,1,04,161306
Colorado,County,Adams,Air Transportation,17,R,94760,R,0,R,0,R,06100100100000,West,Adams,08,001,519883,20,NA,1,04,161306
