State,Type of Government,Name of Government,Government Function,Full-time Employees,Full-time Employees Data Flag,Full-time Payroll,Full-time Payroll Data Flag,Part-time Employees,Part-time Employees Data Flag,Part-time Payroll,Part-time Payroll Data Flag,Individual Unit ID,Census Region,County Name,FIPS State,FIPS County,Population/Enrollment/Function Code,Year of Population/Enrollment,School Level,Probability of Selection,Worksheet Code,New Individual Unit ID
Connecticut,State,Connecticut,Total - All Government Employment Functions,47465,R,369803784,R,20964,R,44468581,R,07000000000000,Northeast,NA,09,NA,3557006,20,NA,1,00,226350
Connecticut,State,Connecticut,Financial Administration,1596,T,12602939,T,61,T,249121,T,07000000000000,Northeast,NA,09,NA,3557006,20,NA,1,00,226350
Connecticut,State,Connecticut,Other Government Administration,1134,X,8075194,X,203,X,733110,X,07000000000000,Northeast,NA,09,NA,3557006,20,NA,1,00,226350
Connecticut,State,Connecticut,Judicial and Legal,5144,R,41005408,R,201,R,881745,R,07000000000000,Northeast,NA,09,NA,3557006,20,NA,1,00,226350
Connecticut,State,Connecticut,Police Protection - Persons with Power of Arrest,950,X,11023789,X,0,R,0,R,07000000000000,Northeast,NA,09,NA,3557006,20,NA,1,00,226350
Connecticut,State,Connecticut,Police Protection - Other,610,X,4520163,X,112,X,228894,X,07000000000000,Northeast,NA,09,NA,3557006,20,NA,1,00,226350
Connecticut,State,Connecticut,Corrections,5423,R,37299710,R,93,R,526139,R,07000000000000,Northeast,NA,09,NA,3557006,20,NA,1,00,226350
Connecticut,State,Connecticut,Highways,2905,R,21504312,R,0,R,0,R,07000000000000,Northeast,NA,09,NA,3557006,20,NA,1,00,226350
Connecticut,State,Connecticut,Air Transportation,145,R,1368938,R,0,R,0,R,07000000000000,Northeast,NA,09,NA,3557006,20,NA,1,00,226350
Connecticut,State,Connecticut,Sea and Inland Port Facilities,2,R,26290,R,1,R,3224,R,07000000000000,Northeast,NA,09,NA,3557006,20,NA,1,00,226350
Connecticut,State,Connecticut,Public Welfare,4066,R,29823459,R,194,R,901234,R,07000000000000,Northeast,NA,09,NA,3557006,20,NA,1,00,226350
Connecticut,State,Connecticut,Health,3881,R,28579538,R,719,R,3468360,R,07000000000000,Northeast,NA,09,NA,3557006,20,NA,1,00,226350
Connecticut,State,Connecticut,Hospitals,3103,R,26283643,R,980,R,6778919,R,07000000000000,Northeast,NA,09,NA,3557006,20,NA,1,00,226350
Connecticut,State,Connecticut,Social Insurance Administration,587,R,4796675,R,226,R,892492,R,07000000000000,Northeast,NA,09,NA,3557006,20,NA,1,00,226350
