State,Type of Government,Name of Government,Government Function,Full-time Employees,Full-time Employees Data Flag,Full-time Payroll,Full-time Payroll Data Flag,Part-time Employees,Part-time Employees Data Flag,Part-time Payroll,Part-time Payroll Data Flag,Individual Unit ID,Census Region,County Name,FIPS State,FIPS County,Population/Enrollment/Function Code,Year of Population/Enrollment,School Level,Probability of Selection,Worksheet Code,New Individual Unit ID
Delaware,State,Delaware,Total - All Government Employment Functions,21904,R,122169641,R,8374,R,16339560,R,08000000000000,Northeast,NA,10,NA,986809,20,NA,1,00,227523
Delaware,State,Delaware,Financial Administration,764,R,2884250,R,16,R,27227,R,08000000000000,Northeast,NA,10,NA,986809,20,NA,1,00,227523
Delaware,State,Delaware,Other Government Administration,553,R,2454917,R,78,R,125253,R,08000000000000,Northeast,NA,10,NA,986809,20,NA,1,00,227523
Delaware,State,Delaware,Judicial and Legal,1765,R,9122233,R,61,R,154258,R,08000000000000,Northeast,NA,10,NA,986809,20,NA,1,00,227523
Delaware,State,Delaware,Police Protection - Persons with Power of Arrest,805,R,7266327,R,0,R,0,R,08000000000000,Northeast,NA,10,NA,986809,20,NA,1,00,227523
Delaware,State,Delaware,Police Protection - Other,265,R,1506607,R,12,R,49945,R,08000000000000,Northeast,NA,10,NA,986809,20,NA,1,00,227523
Delaware,State,Delaware,Corrections,2620,R,13826290,R,48,R,100449,R,08000000000000,Northeast,NA,10,NA,986809,20,NA,1,00,227523
Delaware,State,Delaware,Highways,1416,R,5679278,R,0,R,0,R,08000000000000,Northeast,NA,10,NA,986809,20,NA,1,00,227523
Delaware,State,Delaware,Public Welfare,1537,R,5635749,R,98,R,227031,R,08000000000000,Northeast,NA,10,NA,986809,20,NA,1,00,227523
Delaware,State,Delaware,Health,1837,R,7316757,R,158,R,374569,R,08000000000000,Northeast,NA,10,NA,986809,20,NA,1,00,227523
Delaware,State,Delaware,Hospitals,758,R,2758880,R,43,R,96242,R,08000000000000,Northeast,NA,10,NA,986809,20,NA,1,00,227523
Delaware,State,Delaware,Social Insurance Administration,259,R,899217,R,19,R,28620,R,08000000000000,Northeast,NA,10,NA,986809,20,NA,1,00,227523
Delaware,State,Delaware,Solid Waste Management,121,C,552666,R,18,R,32701,R,08000000000000,Northeast,NA,10,NA,986809,20,NA,1,00,227523
Delaware,State,Delaware,Parks and Recreation,345,R,1068329,R,53,X,83806,R,08000000000000,Northeast,NA,10,NA,986809,20,NA,1,00,227523
Delaware,State,Delaware,Natural Resources,412,R,2139595,X,68,R,109808,R,08000000000000,Northeast,NA,10,NA,986809,20,NA,1,00,227523
