State,Type of Government,Name of Government,Government Function,Full-time Employees,Full-time Employees Data Flag,Full-time Payroll,Full-time Payroll Data Flag,Part-time Employees,Part-time Employees Data Flag,Part-time Payroll,Part-time Payroll Data Flag,Individual Unit ID,Census Region,County Name,FIPS State,FIPS County,Population/Enrollment/Function Code,Year of Population/Enrollment,School Level,Probability of Selection,Worksheet Code,New Individual Unit ID
Idaho,State,Idaho,Total - All Government Employment Functions,21431,R,130904780,X,9462,R,11714545,R,13000000000000,West,NA,16,NA,1826913,20,NA,1,00,226352
Idaho,State,Idaho,Financial Administration,1424,R,8699948,R,82,R,159444,R,13000000000000,West,NA,16,NA,1826913,20,NA,1,00,226352
Idaho,State,Idaho,Other Government Administration,245,R,1605375,R,76,R,260239,R,13000000000000,West,NA,16,NA,1826913,20,NA,1,00,226352
Idaho,State,Idaho,Judicial and Legal,595,C,6505096,C,48,C,130763,C,13000000000000,West,NA,16,NA,1826913,20,NA,1,00,226352
Idaho,State,Idaho,Police Protection - Persons with Power of Arrest,289,C,2154838,C,0,R,0,R,13000000000000,West,NA,16,NA,1826913,20,NA,1,00,226352
Idaho,State,Idaho,Police Protection - Other,241,R,1168736,R,17,R,22324,R,13000000000000,West,NA,16,NA,1826913,20,NA,1,00,226352
Idaho,State,Idaho,Corrections,2188,R,15719216,R,24,R,89868,R,13000000000000,West,NA,16,NA,1826913,20,NA,1,00,226352
Idaho,State,Idaho,Highways,1379,R,6519163,R,37,R,49172,R,13000000000000,West,NA,16,NA,1826913,20,NA,1,00,226352
Idaho,State,Idaho,Public Welfare,1693,R,8213379,R,104,R,264186,C,13000000000000,West,NA,16,NA,1826913,20,NA,1,00,226352
Idaho,State,Idaho,Health,1685,R,10190327,R,249,R,934645,R,13000000000000,West,NA,16,NA,1826913,20,NA,1,00,226352
Idaho,State,Idaho,Hospitals,571,R,2609837,R,85,R,188068,R,13000000000000,West,NA,16,NA,1826913,20,NA,1,00,226352
Idaho,State,Idaho,Social Insurance Administration,525,R,3445015,R,8,R,29819,R,13000000000000,West,NA,16,NA,1826913,20,NA,1,00,226352
