State,Type of Government,Name of Government,Government Function,Full-time Employees,Full-time Employees Data Flag,Full-time Payroll,Full-time Payroll Data Flag,Part-time Employees,Part-time Employees Data Flag,Part-time Payroll,Part-time Payroll Data Flag,Individual Unit ID,Census Region,County Name,FIPS State,FIPS County,Population/Enrollment/Function Code,Year of Population/Enrollment,School Level,Probability of Selection,Worksheet Code,New Individual Unit ID
Illinois,State,Illinois,Total - All Government Employment Functions,104430,T,701873986,T,47548,T,106744380,T,14000000000000,Midwest,NA,17,NA,12587530,20,NA,1,00,227525
Illinois,State,Illinois,Financial Administration,4553,X,24834648,X,341,X,596869,X,14000000000000,Midwest,NA,17,NA,12587530,20,NA,1,00,227525
Illinois,State,Illinois,Other Government Administration,1792,X,11257560,X,23,X,37417,X,14000000000000,Midwest,NA,17,NA,12587530,20,NA,1,00,227525
Illinois,State,Illinois,Judicial and Legal,3159,X,31396813,X,35,X,50422,X,14000000000000,Midwest,NA,17,NA,12587530,20,NA,1,00,227525
Illinois,State,Illinois,Police Protection - Persons with Power of Arrest,1678,X,14410163,X,949,X,576902,X,14000000000000,Midwest,NA,17,NA,12587530,20,NA,1,00,227525
Illinois,State,Illinois,Police Protection - Other,1206,X,8702959,X,125,X,131485,X,14000000000000,Midwest,NA,17,NA,12587530,20,NA,1,00,227525
Illinois,State,Illinois,Corrections,13049,X,86576567,X,84,X,109450,X,14000000000000,Midwest,NA,17,NA,12587530,20,NA,1,00,227525
Illinois,State,Illinois,Highways,5638,R,40554407,R,1230,R,6257500,R,14000000000000,Midwest,NA,17,NA,12587530,20,NA,1,00,227525
Illinois,State,Illinois,Air Transportation,27,R,199352,R,0,R,0,R,14000000000000,Midwest,NA,17,NA,12587530,20,NA,1,00,227525
Illinois,State,Illinois,Sea and Inland Port Facilities,47,R,344192,R,1,R,4742,R,14000000000000,Midwest,NA,17,NA,12587530,20,NA,1,00,227525
Illinois,State,Illinois,Public Welfare,9793,X,65751926,X,45,X,63952,X,14000000000000,Midwest,NA,17,NA,12587530,20,NA,1,00,227525
Illinois,State,Illinois,Health,2092,X,14807941,X,17,R,45654,R,14000000000000,Midwest,NA,17,NA,12587530,20,NA,1,00,227525
Illinois,State,Illinois,Hospitals,10860,X,67280196,X,777,T,2400801,T,14000000000000,Midwest,NA,17,NA,12587530,20,NA,1,00,227525
Illinois,State,Illinois,Social Insurance Administration,1498,X,9355533,X,7,X,10568,X,14000000000000,Midwest,NA,17,NA,12587530,20,NA,1,00,227525
Illinois,State,Illinois,Parks and Recreation,634,R,3605466,R,12,R,15044,R,14000000000000,Midwest,NA,17,NA,12587530,20,NA,1,00,227525
Illinois,State,Illinois,Housing and Community Development,335,X,2450012,X,1,X,6040,X,14000000000000,Midwest,NA,17,NA,12587530,20,NA,1,00,227525
Illinois,State,Illinois,Natural Resources,1895,T,10761164,T,1355,T,4226694,T,14000000000000,Midwest,NA,17,NA,12587530,20,NA,1,00,227525
Illinois,State,Illinois,Electric Power,10,X,83199,X,0,R,0,R,14000000000000,Midwest,NA,17,NA,12587530,20,NA,1,00,227525
Illinois,State,Illinois,Education - Higher Education Instructional,13008,T,107614950,T,16202,T,39771865,T,14000000000000,Midwest,NA,17,NA,12587530,20,NA,1,00,227525
Illinois,State,Illinois,Education - Higher Education Other,24289,T,143014416,T,26211,T,52242729,T,14000000000000,Midwest,NA,17,NA,12587530,20,NA,1,00,227525
Illinois,State,Illinois,Education - Other,2224,X,14509248,X,26,X,29264,X,14000000000000,Midwest,NA,17,NA,12587530,20,NA,1,00,227525
Illinois,State,Illinois,State liquor stores,42,X,255702,X,0,R,0,R,14000000000000,Midwest,NA,17,NA,12587530,20,NA,1,00,227525
Illinois,State,Illinois,All other and unallocable,6601,X,44107572,X,107,X,166982,X,14000000000000,Midwest,NA,17,NA,12587530,20,NA,1,00,227525
Illinois,County,Adams,Total - All Government Employment Functions,304,R,1419749,R,53,R,49706,R,14100100100000,Midwest,Adams,17,001,64783,20,NA,1,04,194541
Illinois,County,Adams,Financial Administration,12,R,47847,R,0,R,0,R,14100100100000,Midwest,Adams,17,001,64783,20,NA,1,04,194541
Illinois,County,Adams,Other Government Administration,16,R,60372,R,24,R,8790,R,14100100100000,Midwest,Adams,17,001,64783,20,NA,1,04,194541
Illinois,County,Adams,Judicial and Legal,50,R,242181,R,5,R,6196,R,14100100100000,Midwest,Adams,17,001,64783,20,NA,1,04,194541
Illinois,County,Adams,Police Protection - Persons with Power of Arrest,24,R,126777,R,0,R,0,R,14100100100000,Midwest,Adams,17,001,64783,20,NA,1,04,194541
Illinois,County,Adams,Police Protection - Other,8,R,40211,R,5,R,3083,R,14100100100000,Midwest,Adams,17,001,64783,20,NA,1,04,194541
Illinois,County,Adams,Corrections,82,R,346417,R,6,R,6315,R,14100100100000,Midwest,Adams,17,001,64783,20,NA,1,04,194541
Illinois,County,Adams,Highways,19,R,109294,R,0,R,0,R,14100100100000,Midwest,Adams,17,001,64783,20,NA,1,04,194541
Illinois,County,Adams,Health,88,R,427207,R,11,R,23261,R,14100100100000,Midwest,Adams,17,001,64783,20,NA,1,04,194541
Illinois,County,Adams,All other and unallocable,5,R,19442,R,2,R,2061,R,14100100100000,Midwest,Adams,17,001,64783,20,NA,1,04,194541
Illinois,County,Alexander,Total - All Government Employment Functions,42,C,156452,C,9,R,7057,R,14100200200000,Midwest,Alexander,17,003,5497,20,NA,1,04,162119
Illinois,County,Alexander,Financial Administration,4,R,9171,R,1,R,948,R,14100200200000,Midwest,Alexander,17,003,5497,20,NA,1,04,162119
