State,Type of Government,Name of Government,Government Function,Full-time Employees,Full-time Employees Data Flag,Full-time Payroll,Full-time Payroll Data Flag,Part-time Employees,Part-time Employees Data Flag,Part-time Payroll,Part-time Payroll Data Flag,Individual Unit ID,Census Region,County Name,FIPS State,FIPS County,Population/Enrollment/Function Code,Year of Population/Enrollment,School Level,Probability of Selection,Worksheet Code,New Individual Unit ID
Iowa,State,Iowa,Total - All Government Employment Functions,41042,R,299013466,R,26473,R,26746940,R,16000000000000,Midwest,NA,19,NA,3163561,20,NA,1,00,227527
Iowa,State,Iowa,Financial Administration,1191,R,7485219,R,14,R,66022,R,16000000000000,Midwest,NA,19,NA,3163561,20,NA,1,00,227527
Iowa,State,Iowa,Other Government Administration,389,C,1911597,R,155,R,324836,R,16000000000000,Midwest,NA,19,NA,3163561,20,NA,1,00,227527
Iowa,State,Iowa,Judicial and Legal,1799,R,10594771,R,33,R,120275,R,16000000000000,Midwest,NA,19,NA,3163561,20,NA,1,00,227527
Iowa,State,Iowa,Police Protection - Persons with Power of Arrest,573,R,5662197,R,0,R,0,R,16000000000000,Midwest,NA,19,NA,3163561,20,NA,1,00,227527
Iowa,State,Iowa,Police Protection - Other,302,R,1996896,R,1,R,3977,R,16000000000000,Midwest,NA,19,NA,3163561,20,NA,1,00,227527
Iowa,State,Iowa,Corrections,2696,T,14417525,T,21,T,40921,T,16000000000000,Midwest,NA,19,NA,3163561,20,NA,1,00,227527
Iowa,State,Iowa,Highways,2160,R,13108997,R,469,R,141723,R,16000000000000,Midwest,NA,19,NA,3163561,20,NA,1,00,227527
Iowa,State,Iowa,Public Welfare,3081,T,16285021,T,233,R,194822,R,16000000000000,Midwest,NA,19,NA,3163561,20,NA,1,00,227527
Iowa,State,Iowa,Health,450,R,2990985,R,13,R,55306,R,16000000000000,Midwest,NA,19,NA,3163561,20,NA,1,00,227527
Iowa,State,Iowa,Hospitals,8006,R,47826624,R,5817,R,5377329,R,16000000000000,Midwest,NA,19,NA,3163561,20,NA,1,00,227527
Iowa,State,Iowa,Social Insurance Administration,626,T,3056892,X,0,R,0,R,16000000000000,Midwest,NA,19,NA,3163561,20,NA,1,00,227527
Iowa,State,Iowa,Parks and Recreation,105,R,696231,R,33,R,13993,R,16000000000000,Midwest,NA,19,NA,3163561,20,NA,1,00,227527
Iowa,State,Iowa,Housing and Community Development,91,R,663600,R,0,R,0,R,16000000000000,Midwest,NA,19,NA,3163561,20,NA,1,00,227527
Iowa,State,Iowa,Natural Resources,1366,R,8446683,R,417,R,417463,R,16000000000000,Midwest,NA,19,NA,3163561,20,NA,1,00,227527
Iowa,State,Iowa,Education - Higher Education Instructional,3345,R,42471127,R,5397,R,11115751,R,16000000000000,Midwest,NA,19,NA,3163561,20,NA,1,00,227527
Iowa,State,Iowa,Education - Higher Education Other,12361,R,105541099,R,13757,R,8492543,R,16000000000000,Midwest,NA,19,NA,3163561,20,NA,1,00,227527
Iowa,State,Iowa,Education - Other,979,R,5970596,R,71,R,292058,R,16000000000000,Midwest,NA,19,NA,3163561,20,NA,1,00,227527
Iowa,State,Iowa,Libraries,23,T,125636,T,0,R,0,R,16000000000000,Midwest,NA,19,NA,3163561,20,NA,1,00,227527
Iowa,State,Iowa,All other and unallocable,1499,R,9761770,R,42,R,89921,R,16000000000000,Midwest,NA,19,NA,3163561,20,NA,1,00,227527
Iowa,County,Adair,Total - All Government Employment Functions,165,G,730519,G,26,G,72385,G,16100100100000,Midwest,Adair,19,001,7059,20,NA,1,04,164232
Iowa,County,Adair,Financial Administration,13,R,55762,R,1,R,1683,R,16100100100000,Midwest,Adair,19,001,7059,20,NA,1,04,164232
Iowa,County,Adair,Other Government Administration,5,R,12168,R,0,R,0,R,16100100100000,Midwest,Adair,19,001,7059,20,NA,1,04,164232
