State,Type of Government,Name of Government,Government Function,Full-time Employees,Full-time Employees Data Flag,Full-time Payroll,Full-time Payroll Data Flag,Part-time Employees,Part-time Employees Data Flag,Part-time Payroll,Part-time Payroll Data Flag,Individual Unit ID,Census Region,County Name,FIPS State,FIPS County,Population/Enrollment/Function Code,Year of Population/Enrollment,School Level,Probability of Selection,Worksheet Code,New Individual Unit ID
Kansas,State,Kansas,Total - All Government Employment Functions,49123,R,273579185,R,17711,X,27236642,R,17000000000000,Midwest,NA,20,NA,2913805,20,NA,1,00,226353
Kansas,State,Kansas,Financial Administration,1827,R,7957713,R,63,R,102127,R,17000000000000,Midwest,NA,20,NA,2913805,20,NA,1,00,226353
Kansas,State,Kansas,Other Government Administration,415,R,1799245,R,185,R,594862,R,17000000000000,Midwest,NA,20,NA,2913805,20,NA,1,00,226353
Kansas,State,Kansas,Judicial and Legal,2167,R,11260026,R,80,R,146847,R,17000000000000,Midwest,NA,20,NA,2913805,20,NA,1,00,226353
Kansas,State,Kansas,Police Protection - Persons with Power of Arrest,750,R,3747249,R,42,R,57554,R,17000000000000,Midwest,NA,20,NA,2913805,20,NA,1,00,226353
Kansas,State,Kansas,Police Protection - Other,278,R,1830585,R,12,R,23166,R,17000000000000,Midwest,NA,20,NA,2913805,20,NA,1,00,226353
Kansas,State,Kansas,Corrections,2642,R,13752123,R,21,R,19955,R,17000000000000,Midwest,NA,20,NA,2913805,20,NA,1,00,226353
Kansas,State,Kansas,Highways,2381,R,9933224,R,82,X,109612,X,17000000000000,Midwest,NA,20,NA,2913805,20,NA,1,00,226353
Kansas,State,Kansas,Public Welfare,2386,T,8149948,T,37,T,45673,T,17000000000000,Midwest,NA,20,NA,2913805,20,NA,1,00,226353
Kansas,State,Kansas,Health,1403,R,5913336,R,26,R,51283,R,17000000000000,Midwest,NA,20,NA,2913805,20,NA,1,00,226353
Kansas,State,Kansas,Hospitals,11993,R,74966906,R,2926,R,11865319,R,17000000000000,Midwest,NA,20,NA,2913805,20,NA,1,00,226353
Kansas,State,Kansas,Social Insurance Administration,56,T,199935,T,1,T,877,T,17000000000000,Midwest,NA,20,NA,2913805,20,NA,1,00,226353
Kansas,State,Kansas,Parks and Recreation,551,R,1948301,R,0,R,0,R,17000000000000,Midwest,NA,20,NA,2913805,20,NA,1,00,226353
Kansas,State,Kansas,Natural Resources,582,R,2781297,R,59,R,56039,R,17000000000000,Midwest,NA,20,NA,2913805,20,NA,1,00,226353
Kansas,State,Kansas,Education - Higher Education Instructional,7475,X,59363579,X,4233,T,7205457,T,17000000000000,Midwest,NA,20,NA,2913805,20,NA,1,00,226353
Kansas,State,Kansas,Education - Higher Education Other,11842,X,58241966,X,9686,X,6540054,X,17000000000000,Midwest,NA,20,NA,2913805,20,NA,1,00,226353
Kansas,State,Kansas,Education - Other,492,R,2454230,R,81,R,79391,R,17000000000000,Midwest,NA,20,NA,2913805,20,NA,1,00,226353
Kansas,State,Kansas,Libraries,25,R,85622,R,0,R,0,R,17000000000000,Midwest,NA,20,NA,2913805,20,NA,1,00,226353
Kansas,State,Kansas,All other and unallocable,1858,R,9193900,T,177,R,338428,R,17000000000000,Midwest,NA,20,NA,2913805,20,NA,1,00,226353
Kansas,County,Allen,Total - All Government Employment Functions,99,R,410115,R,5,R,6785,R,17100100100000,Midwest,Allen,20,001,12399,20,NA,1,04,208081
