State,Type of Government,Name of Government,Government Function,Full-time Employees,Full-time Employees Data Flag,Full-time Payroll,Full-time Payroll Data Flag,Part-time Employees,Part-time Employees Data Flag,Part-time Payroll,Part-time Payroll Data Flag,Individual Unit ID,Census Region,County Name,FIPS State,FIPS County,Population/Enrollment/Function Code,Year of Population/Enrollment,School Level,Probability of Selection,Worksheet Code,New Individual Unit ID
Louisiana,State,Louisiana,Total - All Government Employment Functions,71699,R,360921780,R,19646,R,21056561,X,19000000000000,South,NA,22,NA,4645318,20,NA,1,00,227529
Louisiana,State,Louisiana,Financial Administration,2685,R,15049680,R,224,R,386173,R,19000000000000,South,NA,22,NA,4645318,20,NA,1,00,227529
Louisiana,State,Louisiana,Other Government Administration,1625,R,9375314,R,519,R,791717,R,19000000000000,South,NA,22,NA,4645318,20,NA,1,00,227529
Louisiana,State,Louisiana,Judicial and Legal,1781,R,9661702,R,52,R,87265,R,19000000000000,South,NA,22,NA,4645318,20,NA,1,00,227529
Louisiana,State,Louisiana,Police Protection - Persons with Power of Arrest,795,R,6333166,R,18,R,49033,R,19000000000000,South,NA,22,NA,4645318,20,NA,1,00,227529
Louisiana,State,Louisiana,Police Protection - Other,834,R,5658068,R,121,R,397251,R,19000000000000,South,NA,22,NA,4645318,20,NA,1,00,227529
Louisiana,State,Louisiana,Corrections,4932,R,26253773,R,198,R,371239,R,19000000000000,South,NA,22,NA,4645318,20,NA,1,00,227529
Louisiana,State,Louisiana,Highways,4133,R,19977426,R,41,R,56309,R,19000000000000,South,NA,22,NA,4645318,20,NA,1,00,227529
Louisiana,State,Louisiana,Air Transportation,3,R,16238,R,0,R,0,R,19000000000000,South,NA,22,NA,4645318,20,NA,1,00,227529
Louisiana,State,Louisiana,Sea and Inland Port Facilities,216,R,1443480,R,14,R,35229,R,19000000000000,South,NA,22,NA,4645318,20,NA,1,00,227529
Louisiana,State,Louisiana,Public Welfare,5150,T,23184752,T,181,T,285555,T,19000000000000,South,NA,22,NA,4645318,20,NA,1,00,227529
Louisiana,State,Louisiana,Health,3633,R,20590029,R,244,R,637446,R,19000000000000,South,NA,22,NA,4645318,20,NA,1,00,227529
Louisiana,State,Louisiana,Hospitals,9547,X,46572428,X,1060,X,2093877,X,19000000000000,South,NA,22,NA,4645318,20,NA,1,00,227529
Louisiana,State,Louisiana,Social Insurance Administration,823,R,3620250,R,78,R,192214,R,19000000000000,South,NA,22,NA,4645318,20,NA,1,00,227529
Louisiana,State,Louisiana,Parks and Recreation,848,R,3857911,R,160,R,185923,R,19000000000000,South,NA,22,NA,4645318,20,NA,1,00,227529
Louisiana,State,Louisiana,Natural Resources,2622,R,13204525,R,183,R,231866,R,19000000000000,South,NA,22,NA,4645318,20,NA,1,00,227529
Louisiana,State,Louisiana,Education - Elementary and Secondary Instructional,11,R,84419,R,0,R,0,R,19000000000000,South,NA,22,NA,4645318,20,NA,1,00,227529
Louisiana,State,Louisiana,Education - Higher Education Instructional,6890,T,62103419,X,5106,R,8928824,X,19000000000000,South,NA,22,NA,4645318,20,NA,1,00,227529
Louisiana,State,Louisiana,Education - Higher Education Other,20364,R,69467413,R,10515,R,4986532,R,19000000000000,South,NA,22,NA,4645318,20,NA,1,00,227529
Louisiana,State,Louisiana,Education - Other,2395,R,12496826,R,725,R,1058961,R,19000000000000,South,NA,22,NA,4645318,20,NA,1,00,227529
Louisiana,State,Louisiana,All other and unallocable,2412,R,11970959,R,207,R,281146,R,19000000000000,South,NA,22,NA,4645318,20,NA,1,00,227529
Louisiana,County,Acadia,Total - All Government Employment Functions,220,T,680490,T,29,C,27221,R,19100100100000,South,Acadia,22,001,61918,20,NA,1,04,127793
Louisiana,County,Acadia,Financial Administration,14,T,43761,T,5,R,5735,R,19100100100000,South,Acadia,22,001,61918,20,NA,1,04,127793
Louisiana,County,Acadia,Other Government Administration,52,T,160844,T,0,T,0,T,19100100100000,South,Acadia,22,001,61918,20,NA,1,04,127793
Louisiana,County,Acadia,Judicial and Legal,15,T,52970,T,1,R,2234,R,19100100100000,South,Acadia,22,001,61918,20,NA,1,04,127793
Louisiana,County,Acadia,Police Protection - Persons with Power of Arrest,0,C,0,C,5,C,717,C,19100100100000,South,Acadia,22,001,61918,20,NA,1,04,127793
Louisiana,County,Acadia,Police Protection - Other,0,C,0,C,7,C,4297,C,19100100100000,South,Acadia,22,001,61918,20,NA,1,04,127793
Louisiana,County,Acadia,Fire Protection - Other,0,C,0,C,2,C,2599,C,19100100100000,South,Acadia,22,001,61918,20,NA,1,04,127793
Louisiana,County,Acadia,Corrections,1,R,2814,R,0,R,0,R,19100100100000,South,Acadia,22,001,61918,20,NA,1,04,127793
Louisiana,County,Acadia,Highways,37,R,111261,R,0,R,0,R,19100100100000,South,Acadia,22,001,61918,20,NA,1,04,127793
Louisiana,County,Acadia,Air Transportation,1,C,5629,C,0,C,0,C,19100100100000,South,Acadia,22,001,61918,20,NA,1,04,127793
Louisiana,County,Acadia,Public Welfare,0,R,0,R,1,R,979,R,19100100100000,South,Acadia,22,001,61918,20,NA,1,04,127793
Louisiana,County,Acadia,Health,8,C,28644,C,1,R,1196,R,19100100100000,South,Acadia,22,001,61918,20,NA,1,04,127793
Louisiana,County,Acadia,Solid Waste Management,30,R,89079,R,0,R,0,R,19100100100000,South,Acadia,22,001,61918,20,NA,1,04,127793
Louisiana,County,Acadia,Parks and Recreation,2,C,2693,C,0,C,0,C,19100100100000,South,Acadia,22,001,61918,20,NA,1,04,127793
Louisiana,County,Acadia,Libraries,50,T,152704,T,7,R,9464,R,19100100100000,South,Acadia,22,001,61918,20,NA,1,04,127793
Louisiana,County,Acadia,All other and unallocable,10,C,30092,C,0,C,0,C,19100100100000,South,Acadia,22,001,61918,20,NA,1,04,127793
Louisiana,County,Allen,Total - All Government Employment Functions,256,R,1099191,R,56,R,82430,R,19100200200000,South,Allen,22,003,25440,20,NA,1,04,165993
Louisiana,County,Allen,Financial Administration,11,G,88261,G,4,C,5300,G,19100200200000,South,Allen,22,003,25440,20,NA,1,04,165993
Louisiana,County,Allen,Other Government Administration,6,G,9250,G,0,G,0,G,19100200200000,South,Allen,22,003,25440,20,NA,1,04,165993
Louisiana,County,Allen,Judicial and Legal,20,C,42487,C,2,G,1544,G,19100200200000,South,Allen,22,003,25440,20,NA,1,04,165993
Louisiana,County,Allen,Police Protection - Persons with Power of Arrest,77,G,301266,G,1,G,1950,G,19100200200000,South,Allen,22,003,25440,20,NA,1,04,165993
Louisiana,County,Allen,Police Protection - Other,6,G,37215,G,5,G,3664,G,19100200200000,South,Allen,22,003,25440,20,NA,1,04,165993
Louisiana,County,Allen,Corrections,9,G,24865,G,15,G,28029,G,19100200200000,South,Allen,22,003,25440,20,NA,1,04,165993
Louisiana,County,Allen,Highways,25,G,64270,G,0,G,0,G,19100200200000,South,Allen,22,003,25440,20,NA,1,04,165993
Louisiana,County,Allen,Hospitals,92,R,510028,R,17,R,31162,R,19100200200000,South,Allen,22,003,25440,20,NA,1,04,165993
Louisiana,County,Allen,Solid Waste Management,3,G,9012,G,4,G,3318,G,19100200200000,South,Allen,22,003,25440,20,NA,1,04,165993
Louisiana,County,Allen,Parks and Recreation,3,C,5076,C,3,G,1964,G,19100200200000,South,Allen,22,003,25440,20,NA,1,04,165993
Louisiana,County,Allen,Natural Resources,0,R,0,R,5,R,5500,R,19100200200000,South,Allen,22,003,25440,20,NA,1,04,165993
Louisiana,County,Allen,All other and unallocable,4,G,7462,G,0,G,0,G,19100200200000,South,Allen,22,003,25440,20,NA,1,04,165993
Louisiana,County,Ascension,Total - All Government Employment Functions,1004,T,5104933,T,225,R,303278,R,19100300300000,South,Ascension,22,005,128665,20,NA,1,04,165994
Louisiana,County,Ascension,Financial Administration,75,R,390011,R,6,R,10411,R,19100300300000,South,Ascension,22,005,128665,20,NA,1,04,165994
Louisiana,County,Ascension,Other Government Administration,56,R,310664,R,13,R,23274,R,19100300300000,South,Ascension,22,005,128665,20,NA,1,04,165994
Louisiana,County,Ascension,Judicial and Legal,74,R,333524,R,38,R,27397,R,19100300300000,South,Ascension,22,005,128665,20,NA,1,04,165994
Louisiana,County,Ascension,Police Protection - Persons with Power of Arrest,204,T,1239610,T,14,T,10111,T,19100300300000,South,Ascension,22,005,128665,20,NA,1,04,165994
