State,Type of Government,Name of Government,Government Function,Full-time Employees,Full-time Employees Data Flag,Full-time Payroll,Full-time Payroll Data Flag,Part-time Employees,Part-time Employees Data Flag,Part-time Payroll,Part-time Payroll Data Flag,Individual Unit ID,Census Region,County Name,FIPS State,FIPS County,Population/Enrollment/Function Code,Year of Population/Enrollment,School Level,Probability of Selection,Worksheet Code,New Individual Unit ID
Maine,State,Maine,Total - All Government Employment Functions,17039,R,96007684,R,9090,R,10416816,R,20000000000000,Northeast,NA,23,NA,1350141,20,NA,1,00,226088
Maine,State,Maine,Financial Administration,1232,R,7012541,R,280,R,389225,R,20000000000000,Northeast,NA,23,NA,1350141,20,NA,1,00,226088
Maine,State,Maine,Other Government Administration,504,R,3093298,R,315,R,334797,R,20000000000000,Northeast,NA,23,NA,1350141,20,NA,1,00,226088
Maine,State,Maine,Judicial and Legal,862,R,5506561,R,220,R,301018,R,20000000000000,Northeast,NA,23,NA,1350141,20,NA,1,00,226088
Maine,State,Maine,Police Protection - Persons with Power of Arrest,284,R,2420217,R,20,R,30980,R,20000000000000,Northeast,NA,23,NA,1350141,20,NA,1,00,226088
Maine,State,Maine,Police Protection - Other,37,R,234941,R,7,R,9041,R,20000000000000,Northeast,NA,23,NA,1350141,20,NA,1,00,226088
Maine,State,Maine,Corrections,952,R,5664754,R,245,R,284643,R,20000000000000,Northeast,NA,23,NA,1350141,20,NA,1,00,226088
Maine,State,Maine,Highways,1825,R,10392970,R,422,R,554294,R,20000000000000,Northeast,NA,23,NA,1350141,20,NA,1,00,226088
Maine,State,Maine,Public Welfare,1761,R,8797892,R,522,R,717004,R,20000000000000,Northeast,NA,23,NA,1350141,20,NA,1,00,226088
Maine,State,Maine,Health,871,R,4683474,R,162,R,210876,R,20000000000000,Northeast,NA,23,NA,1350141,20,NA,1,00,226088
Maine,State,Maine,Hospitals,446,R,2504667,R,151,R,167569,R,20000000000000,Northeast,NA,23,NA,1350141,20,NA,1,00,226088
Maine,State,Maine,Social Insurance Administration,222,R,1073070,R,67,R,97722,R,20000000000000,Northeast,NA,23,NA,1350141,20,NA,1,00,226088
Maine,State,Maine,Parks and Recreation,99,R,499414,R,239,R,272991,R,20000000000000,Northeast,NA,23,NA,1350141,20,NA,1,00,226088
Maine,State,Maine,Natural Resources,1025,R,5908293,R,316,R,475110,R,20000000000000,Northeast,NA,23,NA,1350141,20,NA,1,00,226088
Maine,State,Maine,Education - Elementary and Secondary Instructional,39,R,132135,R,32,R,41039,R,20000000000000,Northeast,NA,23,NA,1350141,20,NA,1,00,226088
Maine,State,Maine,Education - Elementary and Secondary Other,3,R,9300,R,101,R,20509,R,20000000000000,Northeast,NA,23,NA,1350141,20,NA,1,00,226088
Maine,State,Maine,Education - Higher Education Instructional,1653,R,11486247,R,2229,R,3772462,R,20000000000000,Northeast,NA,23,NA,1350141,20,NA,1,00,226088
Maine,State,Maine,Education - Higher Education Other,3573,R,17490202,R,3396,R,2285638,R,20000000000000,Northeast,NA,23,NA,1350141,20,NA,1,00,226088
Maine,State,Maine,Education - Other,282,R,1581072,R,68,R,86109,R,20000000000000,Northeast,NA,23,NA,1350141,20,NA,1,00,226088
Maine,State,Maine,Libraries,38,R,180874,R,5,R,8290,R,20000000000000,Northeast,NA,23,NA,1350141,20,NA,1,00,226088
Maine,State,Maine,All other and unallocable,1331,R,7335764,R,293,R,357498,R,20000000000000,Northeast,NA,23,NA,1350141,20,NA,1,00,226088
Maine,County,Androscoggin,Total - All Government Employment Functions,129,C,599177,C,1,C,779,C,20100100100000,Northeast,Androscoggin,23,001,108547,20,NA,1,04,166150
