State,Type of Government,Name of Government,Government Function,Full-time Employees,Full-time Employees Data Flag,Full-time Payroll,Full-time Payroll Data Flag,Part-time Employees,Part-time Employees Data Flag,Part-time Payroll,Part-time Payroll Data Flag,Individual Unit ID,Census Region,County Name,FIPS State,FIPS County,Population/Enrollment/Function Code,Year of Population/Enrollment,School Level,Probability of Selection,Worksheet Code,New Individual Unit ID
Maryland,State,Maryland,Total - All Government Employment Functions,77472,T,498971375,T,27543,T,50645003,X,21000000000000,South,NA,24,NA,6055802,20,NA,1,00,227750
Maryland,State,Maryland,Financial Administration,2846,R,16584073,R,156,R,629876,R,21000000000000,South,NA,24,NA,6055802,20,NA,1,00,227750
Maryland,State,Maryland,Other Government Administration,1438,R,8872716,R,207,R,550093,R,21000000000000,South,NA,24,NA,6055802,20,NA,1,00,227750
Maryland,State,Maryland,Judicial and Legal,4859,R,30681121,R,568,R,2240514,R,21000000000000,South,NA,24,NA,6055802,20,NA,1,00,227750
Maryland,State,Maryland,Police Protection - Persons with Power of Arrest,1451,T,12798943,X,0,R,0,R,21000000000000,South,NA,24,NA,6055802,20,NA,1,00,227750
Maryland,State,Maryland,Police Protection - Other,781,T,5278773,X,51,T,206487,X,21000000000000,South,NA,24,NA,6055802,20,NA,1,00,227750
Maryland,State,Maryland,Corrections,9453,R,62050138,R,213,R,795701,R,21000000000000,South,NA,24,NA,6055802,20,NA,1,00,227750
Maryland,State,Maryland,Highways,4085,T,24988018,T,0,R,0,R,21000000000000,South,NA,24,NA,6055802,20,NA,1,00,227750
Maryland,State,Maryland,Air Transportation,424,T,2834592,T,0,R,0,R,21000000000000,South,NA,24,NA,6055802,20,NA,1,00,227750
Maryland,State,Maryland,Sea and Inland Port Facilities,244,T,1831582,T,0,R,0,R,21000000000000,South,NA,24,NA,6055802,20,NA,1,00,227750
Maryland,State,Maryland,Public Welfare,5422,R,27679955,R,270,R,1102807,R,21000000000000,South,NA,24,NA,6055802,20,NA,1,00,227750
Maryland,State,Maryland,Health,6057,R,34181332,R,2254,R,7679502,R,21000000000000,South,NA,24,NA,6055802,20,NA,1,00,227750
Maryland,State,Maryland,Hospitals,3010,R,19705956,R,428,R,1828628,R,21000000000000,South,NA,24,NA,6055802,20,NA,1,00,227750
Maryland,State,Maryland,Social Insurance Administration,746,R,4499535,R,97,R,345227,R,21000000000000,South,NA,24,NA,6055802,20,NA,1,00,227750
Maryland,State,Maryland,Parks and Recreation,410,R,2132149,R,120,R,318297,R,21000000000000,South,NA,24,NA,6055802,20,NA,1,00,227750
Maryland,State,Maryland,Housing and Community Development,166,R,1211000,R,53,R,279514,R,21000000000000,South,NA,24,NA,6055802,20,NA,1,00,227750
Maryland,State,Maryland,Natural Resources,1316,R,8002372,R,183,T,440284,T,21000000000000,South,NA,24,NA,6055802,20,NA,1,00,227750
Maryland,State,Maryland,Transit,646,T,4578956,T,0,R,0,R,21000000000000,South,NA,24,NA,6055802,20,NA,1,00,227750
Maryland,State,Maryland,Education - Higher Education Instructional,7426,T,59972056,T,9897,T,17280866,X,21000000000000,South,NA,24,NA,6055802,20,NA,1,00,227750
Maryland,State,Maryland,Education - Higher Education Other,19562,T,127392904,T,12073,T,13194376,R,21000000000000,South,NA,24,NA,6055802,20,NA,1,00,227750
Maryland,State,Maryland,Education - Other,1588,R,9909053,R,289,R,1277375,R,21000000000000,South,NA,24,NA,6055802,20,NA,1,00,227750
Maryland,State,Maryland,All other and unallocable,5542,T,33786151,T,684,R,2475456,R,21000000000000,South,NA,24,NA,6055802,20,NA,1,00,227750
Maryland,County,Allegany,Total - All Government Employment Functions,1910,T,10741972,T,695,T,845090,T,21100100100000,South,Allegany,24,001,70057,20,NA,1,04,166361
Maryland,County,Allegany,Financial Administration,16,R,93004,R,3,R,3522,R,21100100100000,South,Allegany,24,001,70057,20,NA,1,04,166361
Maryland,County,Allegany,Other Government Administration,17,R,80236,R,8,R,8835,R,21100100100000,South,Allegany,24,001,70057,20,NA,1,04,166361
Maryland,County,Allegany,Judicial and Legal,30,R,153723,R,4,C,3579,C,21100100100000,South,Allegany,24,001,70057,20,NA,1,04,166361
Maryland,County,Allegany,Police Protection - Persons with Power of Arrest,40,R,203128,R,12,R,15499,R,21100100100000,South,Allegany,24,001,70057,20,NA,1,04,166361
Maryland,County,Allegany,Fire Protection - Other,0,G,0,G,14,G,10190,G,21100100100000,South,Allegany,24,001,70057,20,NA,1,04,166361
Maryland,County,Allegany,Corrections,84,R,381681,R,2,R,2060,R,21100100100000,South,Allegany,24,001,70057,20,NA,1,04,166361
Maryland,County,Allegany,Highways,68,R,287660,R,0,R,0,R,21100100100000,South,Allegany,24,001,70057,20,NA,1,04,166361
Maryland,County,Allegany,Public Welfare,2,R,9583,R,0,R,0,R,21100100100000,South,Allegany,24,001,70057,20,NA,1,04,166361
Maryland,County,Allegany,Health,0,C,0,C,18,C,20531,C,21100100100000,South,Allegany,24,001,70057,20,NA,1,04,166361
Maryland,County,Allegany,Solid Waste Management,2,R,5867,R,3,R,3584,R,21100100100000,South,Allegany,24,001,70057,20,NA,1,04,166361
