State,Type of Government,Name of Government,Government Function,Full-time Employees,Full-time Employees Data Flag,Full-time Payroll,Full-time Payroll Data Flag,Part-time Employees,Part-time Employees Data Flag,Part-time Payroll,Part-time Payroll Data Flag,Individual Unit ID,Census Region,County Name,FIPS State,FIPS County,Population/Enrollment/Function Code,Year of Population/Enrollment,School Level,Probability of Selection,Worksheet Code,New Individual Unit ID
Michigan,State,Michigan,Total - All Government Employment Functions,116464,R,797474032,R,64934,R,156222110,R,23000000000000,Midwest,NA,26,NA,9966555,20,NA,1,00,226089
Michigan,State,Michigan,Financial Administration,3825,R,26605775,R,212,R,1662897,R,23000000000000,Midwest,NA,26,NA,9966555,20,NA,1,00,226089
Michigan,State,Michigan,Other Government Administration,1561,R,8881887,R,15,R,91468,R,23000000000000,Midwest,NA,26,NA,9966555,20,NA,1,00,226089
Michigan,State,Michigan,Judicial and Legal,1472,R,12454323,R,56,X,178970,R,23000000000000,Midwest,NA,26,NA,9966555,20,NA,1,00,226089
Michigan,State,Michigan,Police Protection - Persons with Power of Arrest,2049,X,13972276,X,0,R,0,R,23000000000000,Midwest,NA,26,NA,9966555,20,NA,1,00,226089
Michigan,State,Michigan,Police Protection - Other,838,X,3769216,X,47,X,60264,X,23000000000000,Midwest,NA,26,NA,9966555,20,NA,1,00,226089
Michigan,State,Michigan,Corrections,10380,R,62791855,R,90,R,749340,R,23000000000000,Midwest,NA,26,NA,9966555,20,NA,1,00,226089
Michigan,State,Michigan,Highways,2454,R,15907660,R,257,R,1077361,R,23000000000000,Midwest,NA,26,NA,9966555,20,NA,1,00,226089
Michigan,State,Michigan,Public Welfare,10312,R,57089228,R,424,R,2068836,R,23000000000000,Midwest,NA,26,NA,9966555,20,NA,1,00,226089
Michigan,State,Michigan,Health,6401,R,37423915,R,1048,R,5705084,R,23000000000000,Midwest,NA,26,NA,9966555,20,NA,1,00,226089
Michigan,State,Michigan,Hospitals,14150,R,92314793,R,6828,R,38360840,R,23000000000000,Midwest,NA,26,NA,9966555,20,NA,1,00,226089
Michigan,State,Michigan,Social Insurance Administration,474,T,3041960,T,13,T,75997,T,23000000000000,Midwest,NA,26,NA,9966555,20,NA,1,00,226089
Michigan,State,Michigan,Parks and Recreation,176,T,1066935,T,79,T,306442,T,23000000000000,Midwest,NA,26,NA,9966555,20,NA,1,00,226089
Michigan,State,Michigan,Housing and Community Development,229,R,1592346,R,75,R,338118,R,23000000000000,Midwest,NA,26,NA,9966555,20,NA,1,00,226089
Michigan,State,Michigan,Natural Resources,3244,R,19178677,R,465,T,1145964,T,23000000000000,Midwest,NA,26,NA,9966555,20,NA,1,00,226089
Michigan,State,Michigan,Education - Higher Education Instructional,16950,R,191264744,R,14109,R,55374038,R,23000000000000,Midwest,NA,26,NA,9966555,20,NA,1,00,226089
Michigan,State,Michigan,Education - Higher Education Other,35963,R,212240942,R,40325,R,44575265,R,23000000000000,Midwest,NA,26,NA,9966555,20,NA,1,00,226089
Michigan,State,Michigan,Education - Other,547,R,4252075,R,80,R,377560,R,23000000000000,Midwest,NA,26,NA,9966555,20,NA,1,00,226089
Michigan,State,Michigan,All other and unallocable,5439,R,33625425,R,811,R,4073665,R,23000000000000,Midwest,NA,26,NA,9966555,20,NA,1,00,226089
Michigan,County,Alcona,Total - All Government Employment Functions,95,R,391737,R,50,R,33269,R,23100100100000,Midwest,Alcona,26,001,10505,20,NA,1,04,211355
Michigan,County,Alcona,Financial Administration,10,R,38546,R,0,R,0,R,23100100100000,Midwest,Alcona,26,001,10505,20,NA,1,04,211355
Michigan,County,Alcona,Other Government Administration,6,R,24362,R,17,R,6286,R,23100100100000,Midwest,Alcona,26,001,10505,20,NA,1,04,211355
Michigan,County,Alcona,Judicial and Legal,12,R,54850,R,4,R,2555,R,23100100100000,Midwest,Alcona,26,001,10505,20,NA,1,04,211355
