State,Type of Government,Name of Government,Government Function,Full-time Employees,Full-time Employees Data Flag,Full-time Payroll,Full-time Payroll Data Flag,Part-time Employees,Part-time Employees Data Flag,Part-time Payroll,Part-time Payroll Data Flag,Individual Unit ID,Census Region,County Name,FIPS State,FIPS County,Population/Enrollment/Function Code,Year of Population/Enrollment,School Level,Probability of Selection,Worksheet Code,New Individual Unit ID
Minnesota,State,Minnesota,Total - All Government Employment Functions,68866,R,464153961,R,32084,R,65788054,R,24000000000000,Midwest,NA,27,NA,5657342,20,NA,1,00,226354
Minnesota,State,Minnesota,Financial Administration,5022,R,39149427,R,67,R,309857,R,24000000000000,Midwest,NA,27,NA,5657342,20,NA,1,00,226354
Minnesota,State,Minnesota,Other Government Administration,1022,R,6308853,R,111,R,220893,R,24000000000000,Midwest,NA,27,NA,5657342,20,NA,1,00,226354
Minnesota,State,Minnesota,Judicial and Legal,4159,R,26869330,R,379,R,1671651,R,24000000000000,Midwest,NA,27,NA,5657342,20,NA,1,00,226354
Minnesota,State,Minnesota,Police Protection - Persons with Power of Arrest,605,R,4793541,R,0,R,0,R,24000000000000,Midwest,NA,27,NA,5657342,20,NA,1,00,226354
Minnesota,State,Minnesota,Police Protection - Other,442,T,2127660,T,21,T,55212,T,24000000000000,Midwest,NA,27,NA,5657342,20,NA,1,00,226354
Minnesota,State,Minnesota,Corrections,3957,R,24026523,R,128,R,701495,R,24000000000000,Midwest,NA,27,NA,5657342,20,NA,1,00,226354
Minnesota,State,Minnesota,Highways,4905,R,30592412,R,139,R,304903,R,24000000000000,Midwest,NA,27,NA,5657342,20,NA,1,00,226354
Minnesota,State,Minnesota,Public Welfare,1997,T,12815086,T,955,T,3454334,T,24000000000000,Midwest,NA,27,NA,5657342,20,NA,1,00,226354
Minnesota,State,Minnesota,Health,2715,R,18092344,R,211,R,757054,R,24000000000000,Midwest,NA,27,NA,5657342,20,NA,1,00,226354
Minnesota,State,Minnesota,Hospitals,3964,T,26681572,T,983,T,4386338,T,24000000000000,Midwest,NA,27,NA,5657342,20,NA,1,00,226354
Minnesota,State,Minnesota,Social Insurance Administration,978,T,5801235,T,47,T,166714,T,24000000000000,Midwest,NA,27,NA,5657342,20,NA,1,00,226354
Minnesota,State,Minnesota,Sewerage,625,R,5019005,R,12,R,31295,R,24000000000000,Midwest,NA,27,NA,5657342,20,NA,1,00,226354
Minnesota,State,Minnesota,Parks and Recreation,514,T,3100114,T,105,R,191255,R,24000000000000,Midwest,NA,27,NA,5657342,20,NA,1,00,226354
Minnesota,State,Minnesota,Natural Resources,2891,T,17982749,T,434,T,938706,T,24000000000000,Midwest,NA,27,NA,5657342,20,NA,1,00,226354
Minnesota,State,Minnesota,Transit,2595,R,18203678,R,234,R,663111,R,24000000000000,Midwest,NA,27,NA,5657342,20,NA,1,00,226354
