State,Type of Government,Name of Government,Government Function,Full-time Employees,Full-time Employees Data Flag,Full-time Payroll,Full-time Payroll Data Flag,Part-time Employees,Part-time Employees Data Flag,Part-time Payroll,Part-time Payroll Data Flag,Individual Unit ID,Census Region,County Name,FIPS State,FIPS County,Population/Enrollment/Function Code,Year of Population/Enrollment,School Level,Probability of Selection,Worksheet Code,New Individual Unit ID
Missouri,State,Missouri,Total - All Government Employment Functions,70689,R,337018320,R,23622,R,27662485,R,26000000000000,Midwest,NA,29,NA,6151548,20,NA,1,00,227532
Missouri,State,Missouri,Financial Administration,2525,R,11882864,R,176,R,378150,R,26000000000000,Midwest,NA,29,NA,6151548,20,NA,1,00,227532
Missouri,State,Missouri,Other Government Administration,668,R,3173086,R,201,C,166123,R,26000000000000,Midwest,NA,29,NA,6151548,20,NA,1,00,227532
Missouri,State,Missouri,Judicial and Legal,3911,R,19084318,R,229,R,415384,R,26000000000000,Midwest,NA,29,NA,6151548,20,NA,1,00,227532
Missouri,State,Missouri,Police Protection - Persons with Power of Arrest,1200,R,7551028,R,0,R,0,R,26000000000000,Midwest,NA,29,NA,6151548,20,NA,1,00,227532
Missouri,State,Missouri,Police Protection - Other,1050,R,4425816,R,90,R,136739,R,26000000000000,Midwest,NA,29,NA,6151548,20,NA,1,00,227532
Missouri,State,Missouri,Corrections,8822,R,31399781,R,166,R,231770,R,26000000000000,Midwest,NA,29,NA,6151548,20,NA,1,00,227532
Missouri,State,Missouri,Highways,5007,R,19853060,R,0,R,0,R,26000000000000,Midwest,NA,29,NA,6151548,20,NA,1,00,227532
Missouri,State,Missouri,Public Welfare,5912,R,19557733,R,305,R,464481,R,26000000000000,Midwest,NA,29,NA,6151548,20,NA,1,00,227532
Missouri,State,Missouri,Health,2727,T,11839379,T,220,T,429831,T,26000000000000,Midwest,NA,29,NA,6151548,20,NA,1,00,227532
Missouri,State,Missouri,Hospitals,9900,X,43850337,X,1743,R,3402930,R,26000000000000,Midwest,NA,29,NA,6151548,20,NA,1,00,227532
Missouri,State,Missouri,Social Insurance Administration,339,R,1250416,R,15,R,24624,R,26000000000000,Midwest,NA,29,NA,6151548,20,NA,1,00,227532
Missouri,State,Missouri,Parks and Recreation,490,R,1875100,R,171,R,139572,R,26000000000000,Midwest,NA,29,NA,6151548,20,NA,1,00,227532
Missouri,State,Missouri,Natural Resources,1932,R,8292743,R,421,R,704039,R,26000000000000,Midwest,NA,29,NA,6151548,20,NA,1,00,227532
Missouri,State,Missouri,Education - Elementary and Secondary Instructional,254,X,1401135,X,2,X,4358,X,26000000000000,Midwest,NA,29,NA,6151548,20,NA,1,00,227532
Missouri,State,Missouri,Education - Elementary and Secondary Other,144,X,521423,X,30,X,25038,X,26000000000000,Midwest,NA,29,NA,6151548,20,NA,1,00,227532
Missouri,State,Missouri,Education - Higher Education Instructional,8064,R,66535395,R,6686,R,10563640,R,26000000000000,Midwest,NA,29,NA,6151548,20,NA,1,00,227532
Missouri,State,Missouri,Education - Higher Education Other,13009,R,64083126,R,12214,R,8565171,R,26000000000000,Midwest,NA,29,NA,6151548,20,NA,1,00,227532
