State,Type of Government,Name of Government,Government Function,Full-time Employees,Full-time Employees Data Flag,Full-time Payroll,Full-time Payroll Data Flag,Part-time Employees,Part-time Employees Data Flag,Part-time Payroll,Part-time Payroll Data Flag,Individual Unit ID,Census Region,County Name,FIPS State,FIPS County,Population/Enrollment/Function Code,Year of Population/Enrollment,School Level,Probability of Selection,Worksheet Code,New Individual Unit ID
Montana,State,Montana,Total - All Government Employment Functions,17139,R,93333215,R,6763,R,10993291,R,27000000000000,West,NA,30,NA,1080577,20,NA,1,00,227642
Montana,State,Montana,Financial Administration,1220,R,6312227,R,67,R,173855,R,27000000000000,West,NA,30,NA,1080577,20,NA,1,00,227642
Montana,State,Montana,Other Government Administration,321,R,1888065,R,96,R,91496,R,27000000000000,West,NA,30,NA,1080577,20,NA,1,00,227642
Montana,State,Montana,Judicial and Legal,851,R,4856175,R,82,R,206099,R,27000000000000,West,NA,30,NA,1080577,20,NA,1,00,227642
Montana,State,Montana,Police Protection - Persons with Power of Arrest,249,R,1407206,R,2,R,8630,R,27000000000000,West,NA,30,NA,1080577,20,NA,1,00,227642
Montana,State,Montana,Police Protection - Other,249,R,1353543,R,9,R,16297,R,27000000000000,West,NA,30,NA,1080577,20,NA,1,00,227642
Montana,State,Montana,Corrections,1128,R,5507002,R,70,R,193969,R,27000000000000,West,NA,30,NA,1080577,20,NA,1,00,227642
Montana,State,Montana,Highways,1889,R,10276779,R,115,R,307447,R,27000000000000,West,NA,30,NA,1080577,20,NA,1,00,227642
Montana,State,Montana,Air Transportation,9,R,61127,R,0,R,0,R,27000000000000,West,NA,30,NA,1080577,20,NA,1,00,227642
Montana,State,Montana,Public Welfare,1315,R,5986138,R,81,R,233595,R,27000000000000,West,NA,30,NA,1080577,20,NA,1,00,227642
Montana,State,Montana,Health,652,R,3526556,R,56,R,181869,R,27000000000000,West,NA,30,NA,1080577,20,NA,1,00,227642
Montana,State,Montana,Hospitals,452,R,2075303,R,262,R,634654,R,27000000000000,West,NA,30,NA,1080577,20,NA,1,00,227642
Montana,State,Montana,Social Insurance Administration,633,R,3718459,R,33,R,82584,R,27000000000000,West,NA,30,NA,1080577,20,NA,1,00,227642
Montana,State,Montana,Parks and Recreation,166,R,778949,R,38,R,63502,R,27000000000000,West,NA,30,NA,1080577,20,NA,1,00,227642
Montana,State,Montana,Housing and Community Development,100,R,465096,R,16,R,38889,R,27000000000000,West,NA,30,NA,1080577,20,NA,1,00,227642
Montana,State,Montana,Natural Resources,1266,R,6583470,R,197,R,419548,R,27000000000000,West,NA,30,NA,1080577,20,NA,1,00,227642
Montana,State,Montana,Education - Higher Education Instructional,1798,R,14230299,R,2009,R,3721845,R,27000000000000,West,NA,30,NA,1080577,20,NA,1,00,227642
Montana,State,Montana,Education - Higher Education Other,3588,R,17231196,R,3467,R,4230103,R,27000000000000,West,NA,30,NA,1080577,20,NA,1,00,227642
Montana,State,Montana,Education - Other,387,R,2091132,R,93,R,202410,R,27000000000000,West,NA,30,NA,1080577,20,NA,1,00,227642
Montana,State,Montana,Libraries,52,R,317803,R,3,R,10730,R,27000000000000,West,NA,30,NA,1080577,20,NA,1,00,227642
Montana,State,Montana,State liquor stores,30,R,146591,R,3,R,7210,R,27000000000000,West,NA,30,NA,1080577,20,NA,1,00,227642
Montana,State,Montana,All other and unallocable,784,R,4520099,R,64,R,168558,R,27000000000000,West,NA,30,NA,1080577,20,NA,1,00,227642
Montana,County,Beaverhead,Total - All Government Employment Functions,73,C,346750,C,13,R,6270,R,27100100100000,West,Beaverhead,30,001,9483,20,NA,1,04,169404
Montana,County,Beaverhead,Financial Administration,4,R,15900,R,0,R,0,R,27100100100000,West,Beaverhead,30,001,9483,20,NA,1,04,169404
Montana,County,Beaverhead,Other Government Administration,11,R,44725,R,0,R,0,R,27100100100000,West,Beaverhead,30,001,9483,20,NA,1,04,169404
Montana,County,Beaverhead,Judicial and Legal,9,R,40898,R,0,R,0,R,27100100100000,West,Beaverhead,30,001,9483,20,NA,1,04,169404
Montana,County,Beaverhead,Police Protection - Persons with Power of Arrest,7,R,32107,R,1,R,198,R,27100100100000,West,Beaverhead,30,001,9483,20,NA,1,04,169404
Montana,County,Beaverhead,Police Protection - Other,7,R,24097,R,0,R,0,R,27100100100000,West,Beaverhead,30,001,9483,20,NA,1,04,169404
Montana,County,Beaverhead,Corrections,5,R,18301,R,0,R,0,R,27100100100000,West,Beaverhead,30,001,9483,20,NA,1,04,169404
Montana,County,Beaverhead,Highways,12,C,92626,C,1,R,181,R,27100100100000,West,Beaverhead,30,001,9483,20,NA,1,04,169404
Montana,County,Beaverhead,Health,5,R,17425,R,3,R,1309,R,27100100100000,West,Beaverhead,30,001,9483,20,NA,1,04,169404
Montana,County,Beaverhead,Solid Waste Management,4,R,15219,R,2,R,836,R,27100100100000,West,Beaverhead,30,001,9483,20,NA,1,04,169404
Montana,County,Beaverhead,Parks and Recreation,0,R,0,R,5,R,3694,R,27100100100000,West,Beaverhead,30,001,9483,20,NA,1,04,169404
Montana,County,Beaverhead,Natural Resources,3,C,20998,C,0,C,0,C,27100100100000,West,Beaverhead,30,001,9483,20,NA,1,04,169404
Montana,County,Beaverhead,Education - Elementary and Secondary Other,1,C,4263,C,0,C,0,C,27100100100000,West,Beaverhead,30,001,9483,20,NA,1,04,169404
Montana,County,Beaverhead,All other and unallocable,5,C,20191,C,1,R,52,R,27100100100000,West,Beaverhead,30,001,9483,20,NA,1,04,169404
Montana,County,Big Horn,Total - All Government Employment Functions,116,G,548691,G,19,G,39421,G,27100200200000,West,Big Horn,30,003,13063,20,NA,1,04,169405
Montana,County,Big Horn,Financial Administration,5,G,20834,G,0,G,0,G,27100200200000,West,Big Horn,30,003,13063,20,NA,1,04,169405
Montana,County,Big Horn,Other Government Administration,9,G,43458,G,0,G,0,G,27100200200000,West,Big Horn,30,003,13063,20,NA,1,04,169405
Montana,County,Big Horn,Judicial and Legal,11,G,52306,G,0,G,0,G,27100200200000,West,Big Horn,30,003,13063,20,NA,1,04,169405
Montana,County,Big Horn,Police Protection - Persons with Power of Arrest,14,G,82157,G,0,G,0,G,27100200200000,West,Big Horn,30,003,13063,20,NA,1,04,169405
Montana,County,Big Horn,Police Protection - Other,9,G,31793,G,2,G,1078,G,27100200200000,West,Big Horn,30,003,13063,20,NA,1,04,169405
Montana,County,Big Horn,Corrections,9,G,32554,G,0,G,0,G,27100200200000,West,Big Horn,30,003,13063,20,NA,1,04,169405
Montana,County,Big Horn,Highways,19,G,93959,G,0,G,0,G,27100200200000,West,Big Horn,30,003,13063,20,NA,1,04,169405
Montana,County,Big Horn,Air Transportation,0,G,0,G,1,G,1470,G,27100200200000,West,Big Horn,30,003,13063,20,NA,1,04,169405
Montana,County,Big Horn,Public Welfare,1,G,4577,G,4,G,5255,G,27100200200000,West,Big Horn,30,003,13063,20,NA,1,04,169405
Montana,County,Big Horn,Health,24,G,132257,G,11,G,28808,G,27100200200000,West,Big Horn,30,003,13063,20,NA,1,04,169405
Montana,County,Big Horn,Natural Resources,2,G,8341,G,1,G,2810,G,27100200200000,West,Big Horn,30,003,13063,20,NA,1,04,169405
Montana,County,Big Horn,Education - Elementary and Secondary Instructional,1,G,5540,G,0,G,0,G,27100200200000,West,Big Horn,30,003,13063,20,NA,1,04,169405
Montana,County,Big Horn,Libraries,4,G,12214,G,0,G,0,G,27100200200000,West,Big Horn,30,003,13063,20,NA,1,04,169405
Montana,County,Big Horn,All other and unallocable,8,G,28702,G,0,G,0,G,27100200200000,West,Big Horn,30,003,13063,20,NA,1,04,169405
Montana,County,Blaine,Total - All Government Employment Functions,67,R,383502,R,14,R,22027,R,27100300300000,West,Blaine,30,005,6568,20,NA,1,04,129991
Montana,County,Blaine,Financial Administration,8,R,42300,R,0,R,0,R,27100300300000,West,Blaine,30,005,6568,20,NA,1,04,129991
Montana,County,Blaine,Other Government Administration,7,R,42171,R,0,R,0,R,27100300300000,West,Blaine,30,005,6568,20,NA,1,04,129991
Montana,County,Blaine,Judicial and Legal,8,R,52067,R,1,R,3281,R,27100300300000,West,Blaine,30,005,6568,20,NA,1,04,129991
Montana,County,Blaine,Police Protection - Persons with Power of Arrest,8,R,59712,R,0,R,0,R,27100300300000,West,Blaine,30,005,6568,20,NA,1,04,129991
Montana,County,Blaine,Police Protection - Other,5,C,26480,C,0,C,0,C,27100300300000,West,Blaine,30,005,6568,20,NA,1,04,129991
Montana,County,Blaine,Highways,21,R,113044,R,0,R,0,R,27100300300000,West,Blaine,30,005,6568,20,NA,1,04,129991
Montana,County,Blaine,Health,6,C,30620,C,4,R,1374,R,27100300300000,West,Blaine,30,005,6568,20,NA,1,04,129991
Montana,County,Blaine,Parks and Recreation,0,C,0,C,3,C,1350,C,27100300300000,West,Blaine,30,005,6568,20,NA,1,04,129991
Montana,County,Blaine,Natural Resources,2,C,9990,C,0,C,0,C,27100300300000,West,Blaine,30,005,6568,20,NA,1,04,129991
Montana,County,Blaine,Libraries,0,R,0,R,6,R,16021,R,27100300300000,West,Blaine,30,005,6568,20,NA,1,04,129991
Montana,County,Blaine,All other and unallocable,2,C,7119,C,0,C,0,C,27100300300000,West,Blaine,30,005,6568,20,NA,1,04,129991
Montana,County,Broadwater,Total - All Government Employment Functions,56,R,198176,R,19,C,30484,R,27100400400000,West,Broadwater,30,007,6444,20,NA,1,04,108105
Montana,County,Broadwater,Financial Administration,7,R,21743,R,0,R,0,R,27100400400000,West,Broadwater,30,007,6444,20,NA,1,04,108105
Montana,County,Broadwater,Other Government Administration,3,R,10576,R,3,R,11347,R,27100400400000,West,Broadwater,30,007,6444,20,NA,1,04,108105
Montana,County,Broadwater,Judicial and Legal,6,R,26032,R,2,R,4341,R,27100400400000,West,Broadwater,30,007,6444,20,NA,1,04,108105
Montana,County,Broadwater,Police Protection - Persons with Power of Arrest,11,R,51691,R,0,R,0,R,27100400400000,West,Broadwater,30,007,6444,20,NA,1,04,108105
Montana,County,Broadwater,Police Protection - Other,0,C,0,C,6,C,9150,C,27100400400000,West,Broadwater,30,007,6444,20,NA,1,04,108105
Montana,County,Broadwater,Fire Protection - Firefighters,1,R,2936,R,0,R,0,R,27100400400000,West,Broadwater,30,007,6444,20,NA,1,04,108105
Montana,County,Broadwater,Fire Protection - Other,1,C,2458,C,0,C,0,C,27100400400000,West,Broadwater,30,007,6444,20,NA,1,04,108105
Montana,County,Broadwater,Corrections,7,R,19835,R,1,R,877,R,27100400400000,West,Broadwater,30,007,6444,20,NA,1,04,108105
Montana,County,Broadwater,Highways,5,R,16771,R,0,R,0,R,27100400400000,West,Broadwater,30,007,6444,20,NA,1,04,108105
Montana,County,Broadwater,Air Transportation,0,R,0,R,1,R,160,R,27100400400000,West,Broadwater,30,007,6444,20,NA,1,04,108105
Montana,County,Broadwater,Health,6,C,19291,C,0,C,0,C,27100400400000,West,Broadwater,30,007,6444,20,NA,1,04,108105
Montana,County,Broadwater,Solid Waste Management,5,R,16343,R,5,R,3510,R,27100400400000,West,Broadwater,30,007,6444,20,NA,1,04,108105
Montana,County,Broadwater,Parks and Recreation,0,R,0,R,1,R,1099,R,27100400400000,West,Broadwater,30,007,6444,20,NA,1,04,108105
Montana,County,Broadwater,Natural Resources,1,R,2041,R,0,R,0,R,27100400400000,West,Broadwater,30,007,6444,20,NA,1,04,108105
Montana,County,Broadwater,All other and unallocable,3,C,8459,C,0,C,0,C,27100400400000,West,Broadwater,30,007,6444,20,NA,1,04,108105
Montana,County,Carbon,Total - All Government Employment Functions,66,R,372079,R,15,C,27348,C,27100500500000,West,Carbon,30,009,10921,20,NA,1,04,169406
Montana,County,Carbon,Financial Administration,3,R,16432,R,2,R,4289,R,27100500500000,West,Carbon,30,009,10921,20,NA,1,04,169406
Montana,County,Carbon,Other Government Administration,10,R,50085,R,1,R,1669,R,27100500500000,West,Carbon,30,009,10921,20,NA,1,04,169406
Montana,County,Carbon,Judicial and Legal,9,R,56379,R,1,R,1791,R,27100500500000,West,Carbon,30,009,10921,20,NA,1,04,169406
Montana,County,Carbon,Police Protection - Persons with Power of Arrest,12,R,74401,R,1,R,1268,R,27100500500000,West,Carbon,30,009,10921,20,NA,1,04,169406
Montana,County,Carbon,Police Protection - Other,6,R,31597,R,0,R,0,R,27100500500000,West,Carbon,30,009,10921,20,NA,1,04,169406
Montana,County,Carbon,Highways,15,R,79448,R,0,R,0,R,27100500500000,West,Carbon,30,009,10921,20,NA,1,04,169406
Montana,County,Carbon,Air Transportation,0,R,0,R,1,R,331,R,27100500500000,West,Carbon,30,009,10921,20,NA,1,04,169406
Montana,County,Carbon,Health,5,R,28132,R,2,R,3466,R,27100500500000,West,Carbon,30,009,10921,20,NA,1,04,169406
Montana,County,Carbon,Parks and Recreation,0,R,0,R,2,R,994,R,27100500500000,West,Carbon,30,009,10921,20,NA,1,04,169406
Montana,County,Carbon,Natural Resources,2,R,13729,R,1,C,1375,C,27100500500000,West,Carbon,30,009,10921,20,NA,1,04,169406
Montana,County,Carbon,Education - Elementary and Secondary Other,0,C,0,C,1,C,1896,C,27100500500000,West,Carbon,30,009,10921,20,NA,1,04,169406
Montana,County,Carbon,All other and unallocable,4,R,21876,R,3,C,10269,C,27100500500000,West,Carbon,30,009,10921,20,NA,1,04,169406
Montana,County,Carter,Total - All Government Employment Functions,16,G,78407,G,15,G,21335,G,27100600600000,West,Carter,30,011,1235,20,NA,1,04,169407
Montana,County,Carter,Financial Administration,1,G,4313,G,0,G,0,G,27100600600000,West,Carter,30,011,1235,20,NA,1,04,169407
Montana,County,Carter,Other Government Administration,1,G,4313,G,0,G,0,G,27100600600000,West,Carter,30,011,1235,20,NA,1,04,169407
Montana,County,Carter,Judicial and Legal,0,G,0,G,1,G,1806,G,27100600600000,West,Carter,30,011,1235,20,NA,1,04,169407
Montana,County,Carter,Police Protection - Persons with Power of Arrest,3,G,15993,G,0,G,0,G,27100600600000,West,Carter,30,011,1235,20,NA,1,04,169407
Montana,County,Carter,Police Protection - Other,0,G,0,G,2,G,1454,G,27100600600000,West,Carter,30,011,1235,20,NA,1,04,169407
Montana,County,Carter,Highways,7,G,31517,G,0,G,0,G,27100600600000,West,Carter,30,011,1235,20,NA,1,04,169407
Montana,County,Carter,Public Welfare,0,G,0,G,5,G,3310,G,27100600600000,West,Carter,30,011,1235,20,NA,1,04,169407
Montana,County,Carter,Parks and Recreation,0,G,0,G,2,G,3188,G,27100600600000,West,Carter,30,011,1235,20,NA,1,04,169407
Montana,County,Carter,Natural Resources,0,G,0,G,1,G,1522,G,27100600600000,West,Carter,30,011,1235,20,NA,1,04,169407
Montana,County,Carter,All other and unallocable,4,G,22271,G,4,G,10055,G,27100600600000,West,Carter,30,011,1235,20,NA,1,04,169407
Montana,County,Cascade,Total - All Government Employment Functions,463,R,1839192,R,11,R,13269,R,27100700700000,West,Cascade,30,013,81346,20,NA,1,04,183873
Montana,County,Cascade,Financial Administration,39,R,144307,R,0,R,0,R,27100700700000,West,Cascade,30,013,81346,20,NA,1,04,183873
Montana,County,Cascade,Other Government Administration,17,R,66351,R,0,R,0,R,27100700700000,West,Cascade,30,013,81346,20,NA,1,04,183873
Montana,County,Cascade,Judicial and Legal,58,R,244087,R,0,R,0,R,27100700700000,West,Cascade,30,013,81346,20,NA,1,04,183873
Montana,County,Cascade,Police Protection - Persons with Power of Arrest,45,R,221825,R,0,R,0,R,27100700700000,West,Cascade,30,013,81346,20,NA,1,04,183873
Montana,County,Cascade,Police Protection - Other,6,R,16731,R,0,R,0,R,27100700700000,West,Cascade,30,013,81346,20,NA,1,04,183873
Montana,County,Cascade,Corrections,133,R,518634,R,0,R,0,R,27100700700000,West,Cascade,30,013,81346,20,NA,1,04,183873
Montana,County,Cascade,Highways,23,R,86537,R,0,R,0,R,27100700700000,West,Cascade,30,013,81346,20,NA,1,04,183873
Montana,County,Cascade,Public Welfare,21,R,70042,R,7,R,8583,R,27100700700000,West,Cascade,30,013,81346,20,NA,1,04,183873
Montana,County,Cascade,Health,51,R,203159,R,3,R,4473,R,27100700700000,West,Cascade,30,013,81346,20,NA,1,04,183873
Montana,County,Cascade,Parks and Recreation,7,R,25695,R,0,R,0,R,27100700700000,West,Cascade,30,013,81346,20,NA,1,04,183873
Montana,County,Cascade,Libraries,0,C,0,C,1,C,213,C,27100700700000,West,Cascade,30,013,81346,20,NA,1,04,183873
Montana,County,Cascade,All other and unallocable,63,R,241824,R,0,R,0,R,27100700700000,West,Cascade,30,013,81346,20,NA,1,04,183873
Montana,County,Chouteau,Total - All Government Employment Functions,60,R,214731,R,23,R,24321,R,27100800800000,West,Chouteau,30,015,5699,20,NA,1,04,219550
Montana,County,Chouteau,Financial Administration,5,R,16343,R,1,R,1533,R,27100800800000,West,Chouteau,30,015,5699,20,NA,1,04,219550
Montana,County,Chouteau,Other Government Administration,5,R,20554,R,0,R,0,R,27100800800000,West,Chouteau,30,015,5699,20,NA,1,04,219550
Montana,County,Chouteau,Judicial and Legal,5,R,23041,R,1,R,1056,R,27100800800000,West,Chouteau,30,015,5699,20,NA,1,04,219550
Montana,County,Chouteau,Police Protection - Persons with Power of Arrest,8,R,37081,R,0,R,0,R,27100800800000,West,Chouteau,30,015,5699,20,NA,1,04,219550
Montana,County,Chouteau,Police Protection - Other,7,R,28687,R,0,R,0,R,27100800800000,West,Chouteau,30,015,5699,20,NA,1,04,219550
Montana,County,Chouteau,Corrections,5,R,13886,R,0,R,0,R,27100800800000,West,Chouteau,30,015,5699,20,NA,1,04,219550
Montana,County,Chouteau,Highways,14,R,41587,R,0,R,0,R,27100800800000,West,Chouteau,30,015,5699,20,NA,1,04,219550
Montana,County,Chouteau,Health,2,R,6138,R,9,R,13916,R,27100800800000,West,Chouteau,30,015,5699,20,NA,1,04,219550
Montana,County,Chouteau,Parks and Recreation,0,R,0,R,6,R,2198,R,27100800800000,West,Chouteau,30,015,5699,20,NA,1,04,219550
Montana,County,Chouteau,Natural Resources,3,C,9291,C,1,C,1584,C,27100800800000,West,Chouteau,30,015,5699,20,NA,1,04,219550
Montana,County,Chouteau,Education - Elementary and Secondary Other,1,C,4237,C,0,C,0,C,27100800800000,West,Chouteau,30,015,5699,20,NA,1,04,219550
Montana,County,Chouteau,Libraries,3,R,7624,R,5,R,4035,R,27100800800000,West,Chouteau,30,015,5699,20,NA,1,04,219550
Montana,County,Chouteau,All other and unallocable,2,C,6262,C,0,C,0,C,27100800800000,West,Chouteau,30,015,5699,20,NA,1,04,219550
Montana,County,Custer,Total - All Government Employment Functions,60,G,241122,G,7,G,11252,G,27100900900000,West,Custer,30,017,11292,20,NA,1,04,169408
Montana,County,Custer,Financial Administration,7,G,26063,G,1,G,2147,G,27100900900000,West,Custer,30,017,11292,20,NA,1,04,169408
Montana,County,Custer,Other Government Administration,5,G,27496,G,1,G,1379,G,27100900900000,West,Custer,30,017,11292,20,NA,1,04,169408
Montana,County,Custer,Judicial and Legal,13,G,44486,G,1,G,1765,G,27100900900000,West,Custer,30,017,11292,20,NA,1,04,169408
Montana,County,Custer,Police Protection - Persons with Power of Arrest,7,G,39127,G,0,G,0,G,27100900900000,West,Custer,30,017,11292,20,NA,1,04,169408
Montana,County,Custer,Fire Protection - Firefighters,1,G,4934,G,0,G,0,G,27100900900000,West,Custer,30,017,11292,20,NA,1,04,169408
Montana,County,Custer,Corrections,11,G,37818,G,1,G,202,G,27100900900000,West,Custer,30,017,11292,20,NA,1,04,169408
Montana,County,Custer,Highways,12,G,45804,G,1,G,2240,G,27100900900000,West,Custer,30,017,11292,20,NA,1,04,169408
Montana,County,Custer,Health,3,G,10805,G,1,G,2486,G,27100900900000,West,Custer,30,017,11292,20,NA,1,04,169408
Montana,County,Custer,Natural Resources,0,G,0,G,1,G,1033,G,27100900900000,West,Custer,30,017,11292,20,NA,1,04,169408
Montana,County,Custer,All other and unallocable,1,G,4589,G,0,G,0,G,27100900900000,West,Custer,30,017,11292,20,NA,1,04,169408
Montana,County,Daniels,Total - All Government Employment Functions,22,G,145171,G,14,G,29991,G,27101001000000,West,Daniels,30,019,1638,20,NA,1,04,190753
Montana,County,Daniels,Financial Administration,2,G,16908,G,1,G,1377,G,27101001000000,West,Daniels,30,019,1638,20,NA,1,04,190753
Montana,County,Daniels,Other Government Administration,2,G,8654,G,3,G,5384,G,27101001000000,West,Daniels,30,019,1638,20,NA,1,04,190753
Montana,County,Daniels,Judicial and Legal,2,G,19932,G,1,G,1988,G,27101001000000,West,Daniels,30,019,1638,20,NA,1,04,190753
Montana,County,Daniels,Police Protection - Persons with Power of Arrest,2,G,10102,G,0,G,0,G,27101001000000,West,Daniels,30,019,1638,20,NA,1,04,190753
Montana,County,Daniels,Police Protection - Other,2,G,7873,G,4,G,7056,G,27101001000000,West,Daniels,30,019,1638,20,NA,1,04,190753
Montana,County,Daniels,Highways,6,G,47254,G,0,G,0,G,27101001000000,West,Daniels,30,019,1638,20,NA,1,04,190753
Montana,County,Daniels,Public Welfare,0,G,0,G,1,G,2880,G,27101001000000,West,Daniels,30,019,1638,20,NA,1,04,190753
Montana,County,Daniels,Health,2,G,8991,G,1,G,3494,G,27101001000000,West,Daniels,30,019,1638,20,NA,1,04,190753
Montana,County,Daniels,Housing and Community Development,2,G,15290,G,1,G,1984,G,27101001000000,West,Daniels,30,019,1638,20,NA,1,04,190753
Montana,County,Daniels,Natural Resources,1,G,3225,G,0,G,0,G,27101001000000,West,Daniels,30,019,1638,20,NA,1,04,190753
Montana,County,Daniels,Libraries,1,G,6942,G,1,G,4862,G,27101001000000,West,Daniels,30,019,1638,20,NA,1,04,190753
Montana,County,Daniels,All other and unallocable,0,G,0,G,1,G,965,G,27101001000000,West,Daniels,30,019,1638,20,NA,1,04,190753
Montana,County,Dawson,Total - All Government Employment Functions,118,G,570402,G,57,G,82189,G,27101101100000,West,Dawson,30,021,8555,20,NA,1,04,108106
Montana,County,Dawson,Financial Administration,5,G,24461,G,2,G,4510,G,27101101100000,West,Dawson,30,021,8555,20,NA,1,04,108106
Montana,County,Dawson,Other Government Administration,7,G,40221,G,1,G,1295,G,27101101100000,West,Dawson,30,021,8555,20,NA,1,04,108106
Montana,County,Dawson,Judicial and Legal,6,G,43018,G,4,G,6608,G,27101101100000,West,Dawson,30,021,8555,20,NA,1,04,108106
Montana,County,Dawson,Police Protection - Persons with Power of Arrest,6,G,38909,G,0,G,0,G,27101101100000,West,Dawson,30,021,8555,20,NA,1,04,108106
Montana,County,Dawson,Police Protection - Other,0,G,0,G,1,G,898,G,27101101100000,West,Dawson,30,021,8555,20,NA,1,04,108106
Montana,County,Dawson,Corrections,53,G,220422,G,0,G,0,G,27101101100000,West,Dawson,30,021,8555,20,NA,1,04,108106
Montana,County,Dawson,Highways,14,G,55026,G,0,G,0,G,27101101100000,West,Dawson,30,021,8555,20,NA,1,04,108106
Montana,County,Dawson,Air Transportation,1,G,6723,G,0,G,0,G,27101101100000,West,Dawson,30,021,8555,20,NA,1,04,108106
Montana,County,Dawson,Public Welfare,5,G,23320,G,11,G,9757,G,27101101100000,West,Dawson,30,021,8555,20,NA,1,04,108106
Montana,County,Dawson,Health,7,G,42569,G,29,G,44735,G,27101101100000,West,Dawson,30,021,8555,20,NA,1,04,108106
Montana,County,Dawson,Sewerage,3,G,18345,G,0,G,0,G,27101101100000,West,Dawson,30,021,8555,20,NA,1,04,108106
Montana,County,Dawson,Natural Resources,2,G,9248,G,0,G,0,G,27101101100000,West,Dawson,30,021,8555,20,NA,1,04,108106
Montana,County,Dawson,Libraries,1,G,6687,G,5,G,8579,G,27101101100000,West,Dawson,30,021,8555,20,NA,1,04,108106
Montana,County,Dawson,All other and unallocable,8,G,41453,G,4,G,5807,G,27101101100000,West,Dawson,30,021,8555,20,NA,1,04,108106
Montana,County,Fallon,Total - All Government Employment Functions,66,R,339573,R,31,R,59659,R,27101301300000,West,Fallon,30,025,2826,20,NA,1,04,169410
Montana,County,Fallon,Financial Administration,5,R,24414,R,0,R,0,R,27101301300000,West,Fallon,30,025,2826,20,NA,1,04,169410
Montana,County,Fallon,Other Government Administration,10,R,50456,R,1,R,2396,R,27101301300000,West,Fallon,30,025,2826,20,NA,1,04,169410
Montana,County,Fallon,Judicial and Legal,2,R,11456,R,5,R,13901,R,27101301300000,West,Fallon,30,025,2826,20,NA,1,04,169410
Montana,County,Fallon,Police Protection - Persons with Power of Arrest,4,R,27748,R,0,R,0,R,27101301300000,West,Fallon,30,025,2826,20,NA,1,04,169410
