State,Type of Government,Name of Government,Government Function,Full-time Employees,Full-time Employees Data Flag,Full-time Payroll,Full-time Payroll Data Flag,Part-time Employees,Part-time Employees Data Flag,Part-time Payroll,Part-time Payroll Data Flag,Individual Unit ID,Census Region,County Name,FIPS State,FIPS County,Population/Enrollment/Function Code,Year of Population/Enrollment,School Level,Probability of Selection,Worksheet Code,New Individual Unit ID
Nebraska,State,Nebraska,Total - All Government Employment Functions,30451,R,164237768,R,12113,R,14211579,R,28000000000000,Midwest,NA,31,NA,1937552,20,NA,1,00,226355
Nebraska,State,Nebraska,Financial Administration,713,X,3262508,X,18,X,25764,X,28000000000000,Midwest,NA,31,NA,1937552,20,NA,1,00,226355
Nebraska,State,Nebraska,Other Government Administration,282,R,1324244,R,96,C,102431,R,28000000000000,Midwest,NA,31,NA,1937552,20,NA,1,00,226355
Nebraska,State,Nebraska,Judicial and Legal,785,R,5051492,R,43,R,88866,R,28000000000000,Midwest,NA,31,NA,1937552,20,NA,1,00,226355
Nebraska,State,Nebraska,Police Protection - Persons with Power of Arrest,435,R,2918294,R,0,R,0,R,28000000000000,Midwest,NA,31,NA,1937552,20,NA,1,00,226355
Nebraska,State,Nebraska,Police Protection - Other,306,R,1362373,R,0,R,0,R,28000000000000,Midwest,NA,31,NA,1937552,20,NA,1,00,226355
Nebraska,State,Nebraska,Corrections,3161,X,14778214,X,50,R,128257,X,28000000000000,Midwest,NA,31,NA,1937552,20,NA,1,00,226355
Nebraska,State,Nebraska,Highways,1982,R,9250477,R,18,R,27718,R,28000000000000,Midwest,NA,31,NA,1937552,20,NA,1,00,226355
Nebraska,State,Nebraska,Air Transportation,13,X,72761,X,0,R,0,R,28000000000000,Midwest,NA,31,NA,1937552,20,NA,1,00,226355
Nebraska,State,Nebraska,Public Welfare,2167,X,8295664,X,319,X,713090,X,28000000000000,Midwest,NA,31,NA,1937552,20,NA,1,00,226355
Nebraska,State,Nebraska,Health,625,NA,3286276,NA,40,NA,79075,NA,28000000000000,Midwest,NA,31,NA,1937552,20,NA,1,00,226355
Nebraska,State,Nebraska,Hospitals,1455,NA,7790769,NA,38,NA,183874,NA,28000000000000,Midwest,NA,31,NA,1937552,20,NA,1,00,226355
Nebraska,State,Nebraska,Social Insurance Administration,221,X,1037478,X,7,R,14092,R,28000000000000,Midwest,NA,31,NA,1937552,20,NA,1,00,226355
Nebraska,State,Nebraska,Parks and Recreation,255,X,1051059,X,158,X,181177,X,28000000000000,Midwest,NA,31,NA,1937552,20,NA,1,00,226355
Nebraska,State,Nebraska,Natural Resources,804,X,3837988,X,30,R,30805,R,28000000000000,Midwest,NA,31,NA,1937552,20,NA,1,00,226355
Nebraska,State,Nebraska,Education - Higher Education Instructional,4632,R,35278372,R,4406,R,8095426,R,28000000000000,Midwest,NA,31,NA,1937552,20,NA,1,00,226355
Nebraska,State,Nebraska,Education - Higher Education Other,8634,R,47719209,R,6620,R,3868027,R,28000000000000,Midwest,NA,31,NA,1937552,20,NA,1,00,226355
Nebraska,State,Nebraska,Education - Other,532,X,2793250,X,25,X,50557,X,28000000000000,Midwest,NA,31,NA,1937552,20,NA,1,00,226355
Nebraska,State,Nebraska,All other and unallocable,3449,NA,15127340,NA,245,NA,622419,NA,28000000000000,Midwest,NA,31,NA,1937552,20,NA,1,00,226355
Nebraska,County,Adams,Total - All Government Employment Functions,149,G,669562,G,16,G,32547,G,28100100100000,Midwest,Adams,31,001,31321,20,NA,1,04,108352
Nebraska,County,Adams,Financial Administration,28,G,93735,G,1,G,629,G,28100100100000,Midwest,Adams,31,001,31321,20,NA,1,04,108352
Nebraska,County,Adams,Other Government Administration,15,G,62188,G,0,G,0,G,28100100100000,Midwest,Adams,31,001,31321,20,NA,1,04,108352
Nebraska,County,Adams,Judicial and Legal,31,G,130025,G,2,G,4734,G,28100100100000,Midwest,Adams,31,001,31321,20,NA,1,04,108352
Nebraska,County,Adams,Police Protection - Persons with Power of Arrest,16,G,97015,G,0,G,0,G,28100100100000,Midwest,Adams,31,001,31321,20,NA,1,04,108352
Nebraska,County,Adams,Corrections,18,G,80978,G,10,G,24215,G,28100100100000,Midwest,Adams,31,001,31321,20,NA,1,04,108352
Nebraska,County,Adams,Highways,31,G,122204,G,0,G,0,G,28100100100000,Midwest,Adams,31,001,31321,20,NA,1,04,108352
Nebraska,County,Adams,Public Welfare,1,G,3381,G,1,G,1008,G,28100100100000,Midwest,Adams,31,001,31321,20,NA,1,04,108352
Nebraska,County,Adams,Natural Resources,3,G,24949,G,0,G,0,G,28100100100000,Midwest,Adams,31,001,31321,20,NA,1,04,108352
Nebraska,County,Adams,All other and unallocable,6,G,55086,G,2,G,1961,G,28100100100000,Midwest,Adams,31,001,31321,20,NA,1,04,108352
Nebraska,County,Antelope,Total - All Government Employment Functions,69,R,258033,R,19,R,15762,R,28100200200000,Midwest,Antelope,31,003,6264,20,NA,1,04,139090
Nebraska,County,Antelope,Financial Administration,7,R,24774,R,0,R,0,R,28100200200000,Midwest,Antelope,31,003,6264,20,NA,1,04,139090
Nebraska,County,Antelope,Other Government Administration,9,R,22606,R,1,R,76,R,28100200200000,Midwest,Antelope,31,003,6264,20,NA,1,04,139090
Nebraska,County,Antelope,Judicial and Legal,5,C,20519,C,1,C,2408,C,28100200200000,Midwest,Antelope,31,003,6264,20,NA,1,04,139090
Nebraska,County,Antelope,Police Protection - Persons with Power of Arrest,4,R,19618,R,3,C,2432,C,28100200200000,Midwest,Antelope,31,003,6264,20,NA,1,04,139090
Nebraska,County,Antelope,Police Protection - Other,12,R,42476,R,6,R,6717,R,28100200200000,Midwest,Antelope,31,003,6264,20,NA,1,04,139090
Nebraska,County,Antelope,Highways,29,R,118376,R,3,C,2985,C,28100200200000,Midwest,Antelope,31,003,6264,20,NA,1,04,139090
Nebraska,County,Antelope,Public Welfare,0,C,0,C,1,C,985,C,28100200200000,Midwest,Antelope,31,003,6264,20,NA,1,04,139090
Nebraska,County,Antelope,Natural Resources,3,C,9665,C,4,C,160,C,28100200200000,Midwest,Antelope,31,003,6264,20,NA,1,04,139090
Nebraska,County,Arthur,Total - All Government Employment Functions,3,G,13810,G,13,G,19456,G,28100300300000,Midwest,Arthur,31,005,466,20,NA,1,04,190785
Nebraska,County,Arthur,Financial Administration,2,G,9391,G,0,G,0,G,28100300300000,Midwest,Arthur,31,005,466,20,NA,1,04,190785
Nebraska,County,Arthur,Other Government Administration,0,G,0,G,4,G,3275,G,28100300300000,Midwest,Arthur,31,005,466,20,NA,1,04,190785
Nebraska,County,Arthur,Judicial and Legal,0,G,0,G,1,G,1432,G,28100300300000,Midwest,Arthur,31,005,466,20,NA,1,04,190785
Nebraska,County,Arthur,Police Protection - Persons with Power of Arrest,1,G,4419,G,0,G,0,G,28100300300000,Midwest,Arthur,31,005,466,20,NA,1,04,190785
Nebraska,County,Arthur,Highways,0,G,0,G,5,G,11779,G,28100300300000,Midwest,Arthur,31,005,466,20,NA,1,04,190785
Nebraska,County,Arthur,Libraries,0,G,0,G,1,G,1741,G,28100300300000,Midwest,Arthur,31,005,466,20,NA,1,04,190785
Nebraska,County,Arthur,All other and unallocable,0,G,0,G,2,G,1229,G,28100300300000,Midwest,Arthur,31,005,466,20,NA,1,04,190785
Nebraska,County,Banner,Total - All Government Employment Functions,21,G,59298,G,5,G,3561,G,28100400400000,Midwest,Banner,31,007,786,20,NA,1,04,169481
Nebraska,County,Banner,Financial Administration,5,G,15710,G,0,G,0,G,28100400400000,Midwest,Banner,31,007,786,20,NA,1,04,169481
Nebraska,County,Banner,Other Government Administration,6,G,10955,G,0,G,0,G,28100400400000,Midwest,Banner,31,007,786,20,NA,1,04,169481
Nebraska,County,Banner,Judicial and Legal,0,G,0,G,1,G,2110,G,28100400400000,Midwest,Banner,31,007,786,20,NA,1,04,169481
Nebraska,County,Banner,Police Protection - Persons with Power of Arrest,1,G,5268,G,0,G,0,G,28100400400000,Midwest,Banner,31,007,786,20,NA,1,04,169481
Nebraska,County,Banner,Highways,8,G,23534,G,2,G,454,G,28100400400000,Midwest,Banner,31,007,786,20,NA,1,04,169481
Nebraska,County,Banner,Public Welfare,0,G,0,G,1,G,87,G,28100400400000,Midwest,Banner,31,007,786,20,NA,1,04,169481
Nebraska,County,Banner,All other and unallocable,1,G,3831,G,1,G,910,G,28100400400000,Midwest,Banner,31,007,786,20,NA,1,04,169481
Nebraska,County,Blaine,Total - All Government Employment Functions,13,C,35695,C,2,C,875,R,28100500500000,Midwest,Blaine,31,009,457,20,NA,1,04,130170
Nebraska,County,Blaine,Financial Administration,1,R,2589,R,1,R,836,R,28100500500000,Midwest,Blaine,31,009,457,20,NA,1,04,130170
Nebraska,County,Blaine,Other Government Administration,5,C,13070,C,0,C,0,C,28100500500000,Midwest,Blaine,31,009,457,20,NA,1,04,130170
Nebraska,County,Blaine,Judicial and Legal,1,C,3319,C,0,C,0,C,28100500500000,Midwest,Blaine,31,009,457,20,NA,1,04,130170
Nebraska,County,Blaine,Police Protection - Persons with Power of Arrest,1,C,6804,C,0,C,0,C,28100500500000,Midwest,Blaine,31,009,457,20,NA,1,04,130170
Nebraska,County,Blaine,Highways,5,C,9913,C,0,C,0,C,28100500500000,Midwest,Blaine,31,009,457,20,NA,1,04,130170
Nebraska,County,Blaine,All other and unallocable,0,C,0,C,1,C,40,C,28100500500000,Midwest,Blaine,31,009,457,20,NA,1,04,130170
Nebraska,County,Boone,Total - All Government Employment Functions,233,R,1256580,R,116,R,341094,R,28100600600000,Midwest,Boone,31,011,5096,20,NA,1,04,169482
Nebraska,County,Boone,Financial Administration,6,R,21190,R,0,R,0,R,28100600600000,Midwest,Boone,31,011,5096,20,NA,1,04,169482
Nebraska,County,Boone,Other Government Administration,8,R,21582,R,0,R,0,R,28100600600000,Midwest,Boone,31,011,5096,20,NA,1,04,169482
Nebraska,County,Boone,Judicial and Legal,2,R,8194,R,0,R,0,R,28100600600000,Midwest,Boone,31,011,5096,20,NA,1,04,169482
Nebraska,County,Boone,Police Protection - Persons with Power of Arrest,5,R,18709,R,0,R,0,R,28100600600000,Midwest,Boone,31,011,5096,20,NA,1,04,169482
Nebraska,County,Boone,Police Protection - Other,1,C,5953,C,0,C,0,C,28100600600000,Midwest,Boone,31,011,5096,20,NA,1,04,169482
Nebraska,County,Boone,Corrections,5,R,12564,R,0,R,0,R,28100600600000,Midwest,Boone,31,011,5096,20,NA,1,04,169482
Nebraska,County,Boone,Highways,17,R,56921,R,0,R,0,R,28100600600000,Midwest,Boone,31,011,5096,20,NA,1,04,169482
Nebraska,County,Boone,Health,0,C,0,C,5,C,1343,C,28100600600000,Midwest,Boone,31,011,5096,20,NA,1,04,169482
Nebraska,County,Boone,Hospitals,186,R,1102546,R,111,R,339751,R,28100600600000,Midwest,Boone,31,011,5096,20,NA,1,04,169482
Nebraska,County,Boone,Natural Resources,1,R,2447,R,0,R,0,R,28100600600000,Midwest,Boone,31,011,5096,20,NA,1,04,169482
Nebraska,County,Boone,All other and unallocable,2,R,6472,R,0,R,0,R,28100600600000,Midwest,Boone,31,011,5096,20,NA,1,04,169482
Nebraska,County,Box Butte,Total - All Government Employment Functions,323,R,1760726,R,33,R,102828,R,28100700700000,Midwest,Box Butte,31,013,10696,20,NA,1,04,186383
Nebraska,County,Box Butte,Financial Administration,9,R,30122,R,1,R,140,R,28100700700000,Midwest,Box Butte,31,013,10696,20,NA,1,04,186383
Nebraska,County,Box Butte,Other Government Administration,6,R,18335,R,0,R,0,R,28100700700000,Midwest,Box Butte,31,013,10696,20,NA,1,04,186383
Nebraska,County,Box Butte,Judicial and Legal,9,R,26351,R,2,C,241,C,28100700700000,Midwest,Box Butte,31,013,10696,20,NA,1,04,186383
Nebraska,County,Box Butte,Police Protection - Persons with Power of Arrest,7,C,63473,C,0,C,0,C,28100700700000,Midwest,Box Butte,31,013,10696,20,NA,1,04,186383
Nebraska,County,Box Butte,Corrections,14,R,37690,R,0,R,0,R,28100700700000,Midwest,Box Butte,31,013,10696,20,NA,1,04,186383
Nebraska,County,Box Butte,Highways,16,R,54285,R,0,R,0,R,28100700700000,Midwest,Box Butte,31,013,10696,20,NA,1,04,186383
Nebraska,County,Box Butte,Public Welfare,2,R,5443,R,2,C,410,C,28100700700000,Midwest,Box Butte,31,013,10696,20,NA,1,04,186383
Nebraska,County,Box Butte,Hospitals,256,R,1512720,R,28,R,102037,R,28100700700000,Midwest,Box Butte,31,013,10696,20,NA,1,04,186383
Nebraska,County,Box Butte,All other and unallocable,4,C,12307,C,0,C,0,C,28100700700000,Midwest,Box Butte,31,013,10696,20,NA,1,04,186383
Nebraska,County,Boyd,Total - All Government Employment Functions,11,R,37548,R,30,R,24770,R,28100800800000,Midwest,Boyd,31,015,1860,20,NA,1,04,130171
Nebraska,County,Boyd,Financial Administration,5,R,17119,R,3,R,2660,R,28100800800000,Midwest,Boyd,31,015,1860,20,NA,1,04,130171
Nebraska,County,Boyd,Other Government Administration,0,R,0,R,9,R,6817,R,28100800800000,Midwest,Boyd,31,015,1860,20,NA,1,04,130171
Nebraska,County,Boyd,Judicial and Legal,0,R,0,R,2,R,5159,R,28100800800000,Midwest,Boyd,31,015,1860,20,NA,1,04,130171
Nebraska,County,Boyd,Police Protection - Persons with Power of Arrest,3,R,10658,R,1,C,402,C,28100800800000,Midwest,Boyd,31,015,1860,20,NA,1,04,130171
Nebraska,County,Boyd,Highways,2,R,6644,R,8,R,8733,R,28100800800000,Midwest,Boyd,31,015,1860,20,NA,1,04,130171
Nebraska,County,Boyd,Health,0,C,0,C,2,C,190,C,28100800800000,Midwest,Boyd,31,015,1860,20,NA,1,04,130171
Nebraska,County,Boyd,All other and unallocable,1,R,3127,R,5,C,809,C,28100800800000,Midwest,Boyd,31,015,1860,20,NA,1,04,130171
Nebraska,County,Brown,Total - All Government Employment Functions,93,R,496053,R,42,R,71938,R,28100900900000,Midwest,Brown,31,017,2981,20,NA,1,04,169483
Nebraska,County,Brown,Financial Administration,5,R,24998,R,0,R,0,R,28100900900000,Midwest,Brown,31,017,2981,20,NA,1,04,169483
Nebraska,County,Brown,Other Government Administration,5,R,24498,R,1,R,2721,R,28100900900000,Midwest,Brown,31,017,2981,20,NA,1,04,169483
Nebraska,County,Brown,Judicial and Legal,2,R,13978,R,0,R,0,R,28100900900000,Midwest,Brown,31,017,2981,20,NA,1,04,169483
Nebraska,County,Brown,Police Protection - Persons with Power of Arrest,5,R,29055,R,0,R,0,R,28100900900000,Midwest,Brown,31,017,2981,20,NA,1,04,169483
Nebraska,County,Brown,Corrections,4,R,16696,R,1,R,2142,R,28100900900000,Midwest,Brown,31,017,2981,20,NA,1,04,169483
Nebraska,County,Brown,Highways,10,R,63175,R,0,R,0,R,28100900900000,Midwest,Brown,31,017,2981,20,NA,1,04,169483
Nebraska,County,Brown,Public Welfare,0,C,0,C,1,C,5160,C,28100900900000,Midwest,Brown,31,017,2981,20,NA,1,04,169483
Nebraska,County,Brown,Health,0,C,0,C,15,C,3321,C,28100900900000,Midwest,Brown,31,017,2981,20,NA,1,04,169483
Nebraska,County,Brown,Hospitals,60,R,312825,R,23,R,57498,R,28100900900000,Midwest,Brown,31,017,2981,20,NA,1,04,169483
Nebraska,County,Brown,Natural Resources,1,R,4497,R,0,R,0,R,28100900900000,Midwest,Brown,31,017,2981,20,NA,1,04,169483
Nebraska,County,Brown,All other and unallocable,1,C,6331,C,1,C,1095,C,28100900900000,Midwest,Brown,31,017,2981,20,NA,1,04,169483
Nebraska,County,Buffalo,Total - All Government Employment Functions,225,R,1004391,R,9,R,10440,R,28101001000000,Midwest,Buffalo,31,019,50114,20,NA,1,04,169484
Nebraska,County,Buffalo,Financial Administration,20,R,79783,R,0,R,0,R,28101001000000,Midwest,Buffalo,31,019,50114,20,NA,1,04,169484
Nebraska,County,Buffalo,Other Government Administration,16,R,55395,R,1,C,363,C,28101001000000,Midwest,Buffalo,31,019,50114,20,NA,1,04,169484
Nebraska,County,Buffalo,Judicial and Legal,40,R,218831,R,1,C,500,C,28101001000000,Midwest,Buffalo,31,019,50114,20,NA,1,04,169484
Nebraska,County,Buffalo,Police Protection - Persons with Power of Arrest,30,R,191250,R,3,R,6076,R,28101001000000,Midwest,Buffalo,31,019,50114,20,NA,1,04,169484
Nebraska,County,Buffalo,Police Protection - Other,5,R,22026,R,1,R,1740,R,28101001000000,Midwest,Buffalo,31,019,50114,20,NA,1,04,169484
Nebraska,County,Buffalo,Corrections,36,R,161672,R,0,R,0,R,28101001000000,Midwest,Buffalo,31,019,50114,20,NA,1,04,169484
Nebraska,County,Buffalo,Highways,40,R,113070,R,0,R,0,R,28101001000000,Midwest,Buffalo,31,019,50114,20,NA,1,04,169484
Nebraska,County,Buffalo,Public Welfare,3,R,13954,R,0,R,0,R,28101001000000,Midwest,Buffalo,31,019,50114,20,NA,1,04,169484
Nebraska,County,Buffalo,Parks and Recreation,1,R,3395,R,0,R,0,R,28101001000000,Midwest,Buffalo,31,019,50114,20,NA,1,04,169484
Nebraska,County,Buffalo,Natural Resources,2,C,6260,C,2,C,1519,C,28101001000000,Midwest,Buffalo,31,019,50114,20,NA,1,04,169484
Nebraska,County,Buffalo,All other and unallocable,32,C,138756,C,1,C,242,C,28101001000000,Midwest,Buffalo,31,019,50114,20,NA,1,04,169484
Nebraska,County,Burt,Total - All Government Employment Functions,76,G,227576,G,14,G,12123,G,28101101100000,Midwest,Burt,31,021,6477,20,NA,1,04,169485
Nebraska,County,Burt,Financial Administration,7,G,31581,G,6,G,5174,G,28101101100000,Midwest,Burt,31,021,6477,20,NA,1,04,169485
Nebraska,County,Burt,Other Government Administration,9,G,21744,G,1,G,1993,G,28101101100000,Midwest,Burt,31,021,6477,20,NA,1,04,169485
Nebraska,County,Burt,Judicial and Legal,7,G,23689,G,1,G,2079,G,28101101100000,Midwest,Burt,31,021,6477,20,NA,1,04,169485
Nebraska,County,Burt,Police Protection - Persons with Power of Arrest,5,G,23380,G,0,G,0,G,28101101100000,Midwest,Burt,31,021,6477,20,NA,1,04,169485
Nebraska,County,Burt,Police Protection - Other,5,G,19219,G,0,G,0,G,28101101100000,Midwest,Burt,31,021,6477,20,NA,1,04,169485
Nebraska,County,Burt,Highways,37,G,90643,G,4,G,1525,G,28101101100000,Midwest,Burt,31,021,6477,20,NA,1,04,169485
Nebraska,County,Burt,All other and unallocable,6,G,17320,G,2,G,1352,G,28101101100000,Midwest,Burt,31,021,6477,20,NA,1,04,169485
Nebraska,County,Butler,Total - All Government Employment Functions,182,R,768436,R,53,R,90617,R,28101201200000,Midwest,Butler,31,023,7960,20,NA,1,04,169486
Nebraska,County,Butler,Financial Administration,8,R,27840,R,0,R,0,R,28101201200000,Midwest,Butler,31,023,7960,20,NA,1,04,169486
Nebraska,County,Butler,Other Government Administration,11,R,35788,R,1,C,471,C,28101201200000,Midwest,Butler,31,023,7960,20,NA,1,04,169486
Nebraska,County,Butler,Judicial and Legal,5,R,23906,R,1,R,1838,R,28101201200000,Midwest,Butler,31,023,7960,20,NA,1,04,169486
Nebraska,County,Butler,Police Protection - Persons with Power of Arrest,11,R,51197,R,0,R,0,R,28101201200000,Midwest,Butler,31,023,7960,20,NA,1,04,169486
Nebraska,County,Butler,Corrections,12,R,46062,R,0,R,0,R,28101201200000,Midwest,Butler,31,023,7960,20,NA,1,04,169486
Nebraska,County,Butler,Highways,22,R,80362,R,1,C,365,C,28101201200000,Midwest,Butler,31,023,7960,20,NA,1,04,169486
Nebraska,County,Butler,Public Welfare,3,C,14286,C,5,C,5367,C,28101201200000,Midwest,Butler,31,023,7960,20,NA,1,04,169486
Nebraska,County,Butler,Hospitals,102,R,445661,R,37,R,79300,R,28101201200000,Midwest,Butler,31,023,7960,20,NA,1,04,169486
Nebraska,County,Butler,Natural Resources,2,R,7589,R,4,C,823,C,28101201200000,Midwest,Butler,31,023,7960,20,NA,1,04,169486
Nebraska,County,Butler,All other and unallocable,6,C,35745,C,4,C,2453,C,28101201200000,Midwest,Butler,31,023,7960,20,NA,1,04,169486
Nebraska,County,Cass,Total - All Government Employment Functions,181,R,849773,R,25,R,20281,R,28101301300000,Midwest,Cass,31,025,26232,20,NA,1,04,108355
Nebraska,County,Cass,Financial Administration,18,R,80218,R,0,R,0,R,28101301300000,Midwest,Cass,31,025,26232,20,NA,1,04,108355
Nebraska,County,Cass,Other Government Administration,20,R,81621,R,2,R,1890,R,28101301300000,Midwest,Cass,31,025,26232,20,NA,1,04,108355
Nebraska,County,Cass,Judicial and Legal,21,R,101915,R,1,R,1437,R,28101301300000,Midwest,Cass,31,025,26232,20,NA,1,04,108355
Nebraska,County,Cass,Police Protection - Persons with Power of Arrest,17,R,104887,R,1,C,1788,C,28101301300000,Midwest,Cass,31,025,26232,20,NA,1,04,108355
Nebraska,County,Cass,Police Protection - Other,22,R,97717,R,0,R,0,R,28101301300000,Midwest,Cass,31,025,26232,20,NA,1,04,108355
Nebraska,County,Cass,Fire Protection - Firefighters,14,R,57981,R,15,R,11829,R,28101301300000,Midwest,Cass,31,025,26232,20,NA,1,04,108355
Nebraska,County,Cass,Corrections,35,R,165418,R,0,R,0,R,28101301300000,Midwest,Cass,31,025,26232,20,NA,1,04,108355
Nebraska,County,Cass,Highways,28,R,138423,R,0,R,0,R,28101301300000,Midwest,Cass,31,025,26232,20,NA,1,04,108355
Nebraska,County,Cass,Public Welfare,2,R,8177,R,0,R,0,R,28101301300000,Midwest,Cass,31,025,26232,20,NA,1,04,108355
Nebraska,County,Cass,Natural Resources,4,R,13415,R,0,R,0,R,28101301300000,Midwest,Cass,31,025,26232,20,NA,1,04,108355
Nebraska,County,Cass,All other and unallocable,0,C,0,C,6,C,3337,C,28101301300000,Midwest,Cass,31,025,26232,20,NA,1,04,108355
Nebraska,County,Cedar,Total - All Government Employment Functions,61,R,265117,R,18,R,27346,R,28101401400000,Midwest,Cedar,31,027,8414,20,NA,1,04,130172
Nebraska,County,Cedar,Financial Administration,10,R,38508,R,0,R,0,R,28101401400000,Midwest,Cedar,31,027,8414,20,NA,1,04,130172
Nebraska,County,Cedar,Other Government Administration,7,R,30878,R,2,R,3596,R,28101401400000,Midwest,Cedar,31,027,8414,20,NA,1,04,130172
