State,Type of Government,Name of Government,Government Function,Full-time Employees,Full-time Employees Data Flag,Full-time Payroll,Full-time Payroll Data Flag,Part-time Employees,Part-time Employees Data Flag,Part-time Payroll,Part-time Payroll Data Flag,Individual Unit ID,Census Region,County Name,FIPS State,FIPS County,Population/Enrollment/Function Code,Year of Population/Enrollment,School Level,Probability of Selection,Worksheet Code,New Individual Unit ID
New Hampshire,State,New Hampshire,Total - All Government Employment Functions,14650,R,89975207,R,8848,R,12606725,R,30000000000000,Northeast,NA,33,NA,1366275,20,NA,1,00,227533
New Hampshire,State,New Hampshire,Financial Administration,830,R,4776763,R,105,R,143793,R,30000000000000,Northeast,NA,33,NA,1366275,20,NA,1,00,227533
New Hampshire,State,New Hampshire,Other Government Administration,247,R,1479851,R,430,R,232636,R,30000000000000,Northeast,NA,33,NA,1366275,20,NA,1,00,227533
New Hampshire,State,New Hampshire,Judicial and Legal,764,R,4599493,R,159,R,420919,R,30000000000000,Northeast,NA,33,NA,1366275,20,NA,1,00,227533
New Hampshire,State,New Hampshire,Police Protection - Persons with Power of Arrest,327,T,2888994,T,0,R,0,R,30000000000000,Northeast,NA,33,NA,1366275,20,NA,1,00,227533
New Hampshire,State,New Hampshire,Police Protection - Other,149,T,787261,T,45,R,93157,R,30000000000000,Northeast,NA,33,NA,1366275,20,NA,1,00,227533
New Hampshire,State,New Hampshire,Corrections,894,R,6868337,R,60,R,146631,R,30000000000000,Northeast,NA,33,NA,1366275,20,NA,1,00,227533
New Hampshire,State,New Hampshire,Highways,1387,R,7193110,R,68,R,115455,R,30000000000000,Northeast,NA,33,NA,1366275,20,NA,1,00,227533
New Hampshire,State,New Hampshire,Air Transportation,28,R,140695,R,27,R,48532,R,30000000000000,Northeast,NA,33,NA,1366275,20,NA,1,00,227533
New Hampshire,State,New Hampshire,Sea and Inland Port Facilities,5,R,25730,R,4,R,5315,R,30000000000000,Northeast,NA,33,NA,1366275,20,NA,1,00,227533
New Hampshire,State,New Hampshire,Public Welfare,1926,X,9999728,R,116,X,282296,R,30000000000000,Northeast,NA,33,NA,1366275,20,NA,1,00,227533
New Hampshire,State,New Hampshire,Health,788,R,4586992,R,49,R,121934,R,30000000000000,Northeast,NA,33,NA,1366275,20,NA,1,00,227533
New Hampshire,State,New Hampshire,Hospitals,537,R,3043351,R,56,R,94108,R,30000000000000,Northeast,NA,33,NA,1366275,20,NA,1,00,227533
New Hampshire,State,New Hampshire,Social Insurance Administration,276,R,1381839,R,25,R,39968,R,30000000000000,Northeast,NA,33,NA,1366275,20,NA,1,00,227533
New Hampshire,State,New Hampshire,Parks and Recreation,207,R,732850,R,142,R,102599,R,30000000000000,Northeast,NA,33,NA,1366275,20,NA,1,00,227533
New Hampshire,State,New Hampshire,Natural Resources,367,R,2075823,R,51,R,77504,R,30000000000000,Northeast,NA,33,NA,1366275,20,NA,1,00,227533
New Hampshire,State,New Hampshire,Education - Higher Education Instructional,1481,R,13305586,R,1991,R,5046453,R,30000000000000,Northeast,NA,33,NA,1366275,20,NA,1,00,227533
