State,Type of Government,Name of Government,Government Function,Full-time Employees,Full-time Employees Data Flag,Full-time Payroll,Full-time Payroll Data Flag,Part-time Employees,Part-time Employees Data Flag,Part-time Payroll,Part-time Payroll Data Flag,Individual Unit ID,Census Region,County Name,FIPS State,FIPS County,Population/Enrollment/Function Code,Year of Population/Enrollment,School Level,Probability of Selection,Worksheet Code,New Individual Unit ID
North Dakota,State,North Dakota,Total - All Government Employment Functions,15797,R,88302276,R,8436,R,10591423,R,35000000000000,Midwest,NA,38,NA,765309,20,NA,1,00,226357
North Dakota,State,North Dakota,Financial Administration,591,R,3087805,R,34,R,76873,R,35000000000000,Midwest,NA,38,NA,765309,20,NA,1,00,226357
North Dakota,State,North Dakota,Other Government Administration,278,R,1469013,R,146,R,117078,R,35000000000000,Midwest,NA,38,NA,765309,20,NA,1,00,226357
North Dakota,State,North Dakota,Judicial and Legal,645,R,4255529,R,73,R,67960,R,35000000000000,Midwest,NA,38,NA,765309,20,NA,1,00,226357
North Dakota,State,North Dakota,Police Protection - Persons with Power of Arrest,152,R,1162019,R,0,R,0,R,35000000000000,Midwest,NA,38,NA,765309,20,NA,1,00,226357
North Dakota,State,North Dakota,Police Protection - Other,34,R,159295,R,7,R,5187,R,35000000000000,Midwest,NA,38,NA,765309,20,NA,1,00,226357
North Dakota,State,North Dakota,Corrections,890,R,4366716,R,57,R,119128,R,35000000000000,Midwest,NA,38,NA,765309,20,NA,1,00,226357
North Dakota,State,North Dakota,Highways,901,T,5279031,T,9,T,22818,T,35000000000000,Midwest,NA,38,NA,765309,20,NA,1,00,226357
North Dakota,State,North Dakota,Public Welfare,764,T,3846070,T,170,R,476736,R,35000000000000,Midwest,NA,38,NA,765309,20,NA,1,00,226357
North Dakota,State,North Dakota,Health,1856,R,8328736,R,210,R,486124,R,35000000000000,Midwest,NA,38,NA,765309,20,NA,1,00,226357
North Dakota,State,North Dakota,Hospitals,589,R,3060910,R,130,R,267294,R,35000000000000,Midwest,NA,38,NA,765309,20,NA,1,00,226357
North Dakota,State,North Dakota,Social Insurance Administration,188,R,866273,R,16,R,27700,R,35000000000000,Midwest,NA,38,NA,765309,20,NA,1,00,226357
North Dakota,State,North Dakota,Parks and Recreation,166,R,761258,R,33,R,33948,R,35000000000000,Midwest,NA,38,NA,765309,20,NA,1,00,226357
North Dakota,State,North Dakota,Natural Resources,1050,R,5439755,R,398,R,672603,R,35000000000000,Midwest,NA,38,NA,765309,20,NA,1,00,226357
North Dakota,State,North Dakota,Education - Higher Education Instructional,1841,R,14885944,R,2670,R,4969248,R,35000000000000,Midwest,NA,38,NA,765309,20,NA,1,00,226357
North Dakota,State,North Dakota,Education - Higher Education Other,4004,R,20364516,R,4249,R,2961538,R,35000000000000,Midwest,NA,38,NA,765309,20,NA,1,00,226357
North Dakota,State,North Dakota,Education - Other,207,R,1059250,R,120,R,153406,R,35000000000000,Midwest,NA,38,NA,765309,20,NA,1,00,226357
North Dakota,State,North Dakota,All other and unallocable,1641,R,9910156,R,114,R,133782,R,35000000000000,Midwest,NA,38,NA,765309,20,NA,1,00,226357
North Dakota,County,Adams,Total - All Government Employment Functions,21,C,71473,C,14,C,16044,R,35100100100000,Midwest,Adams,38,001,2188,20,NA,1,04,205095
North Dakota,County,Adams,Financial Administration,8,C,29907,C,3,C,828,C,35100100100000,Midwest,Adams,38,001,2188,20,NA,1,04,205095
North Dakota,County,Adams,Other Government Administration,0,R,0,R,3,R,5737,R,35100100100000,Midwest,Adams,38,001,2188,20,NA,1,04,205095
North Dakota,County,Adams,Judicial and Legal,1,C,2976,C,2,R,7393,R,35100100100000,Midwest,Adams,38,001,2188,20,NA,1,04,205095
North Dakota,County,Adams,Police Protection - Persons with Power of Arrest,4,C,12251,C,0,C,0,C,35100100100000,Midwest,Adams,38,001,2188,20,NA,1,04,205095
North Dakota,County,Adams,Police Protection - Other,1,R,6910,R,0,R,0,R,35100100100000,Midwest,Adams,38,001,2188,20,NA,1,04,205095
North Dakota,County,Adams,Highways,7,C,19429,C,0,C,0,C,35100100100000,Midwest,Adams,38,001,2188,20,NA,1,04,205095
North Dakota,County,Adams,Libraries,0,C,0,C,6,C,2085,C,35100100100000,Midwest,Adams,38,001,2188,20,NA,1,04,205095
North Dakota,County,Barnes,Total - All Government Employment Functions,99,T,545574,T,24,R,8404,C,35100200200000,Midwest,Barnes,38,003,10402,20,NA,1,04,171318
North Dakota,County,Barnes,Financial Administration,19,T,97222,T,3,T,1468,T,35100200200000,Midwest,Barnes,38,003,10402,20,NA,1,04,171318
North Dakota,County,Barnes,Other Government Administration,5,C,28627,C,10,R,910,R,35100200200000,Midwest,Barnes,38,003,10402,20,NA,1,04,171318
North Dakota,County,Barnes,Judicial and Legal,7,T,43556,T,0,T,0,T,35100200200000,Midwest,Barnes,38,003,10402,20,NA,1,04,171318
North Dakota,County,Barnes,Police Protection - Persons with Power of Arrest,16,T,107640,T,2,T,172,T,35100200200000,Midwest,Barnes,38,003,10402,20,NA,1,04,171318
North Dakota,County,Barnes,Police Protection - Other,2,T,9206,T,0,T,0,T,35100200200000,Midwest,Barnes,38,003,10402,20,NA,1,04,171318
North Dakota,County,Barnes,Corrections,11,R,48054,R,2,C,2996,C,35100200200000,Midwest,Barnes,38,003,10402,20,NA,1,04,171318
North Dakota,County,Barnes,Highways,18,R,80765,R,0,R,0,R,35100200200000,Midwest,Barnes,38,003,10402,20,NA,1,04,171318
North Dakota,County,Barnes,Public Welfare,2,T,10294,T,2,T,306,T,35100200200000,Midwest,Barnes,38,003,10402,20,NA,1,04,171318
North Dakota,County,Barnes,Natural Resources,0,T,0,T,2,T,1022,T,35100200200000,Midwest,Barnes,38,003,10402,20,NA,1,04,171318
North Dakota,County,Barnes,Water Supply,5,T,5160,T,0,T,0,T,35100200200000,Midwest,Barnes,38,003,10402,20,NA,1,04,171318
North Dakota,County,Barnes,All other and unallocable,14,T,115050,T,3,T,1530,T,35100200200000,Midwest,Barnes,38,003,10402,20,NA,1,04,171318
North Dakota,County,Benson,Total - All Government Employment Functions,60,G,232006,G,16,G,23257,G,35100300300000,Midwest,Benson,38,005,6762,20,NA,1,04,171319
North Dakota,County,Benson,Financial Administration,5,G,21943,G,1,G,2250,G,35100300300000,Midwest,Benson,38,005,6762,20,NA,1,04,171319
North Dakota,County,Benson,Other Government Administration,7,G,23396,G,2,G,2424,G,35100300300000,Midwest,Benson,38,005,6762,20,NA,1,04,171319
North Dakota,County,Benson,Judicial and Legal,2,G,11054,G,2,G,6160,G,35100300300000,Midwest,Benson,38,005,6762,20,NA,1,04,171319
North Dakota,County,Benson,Police Protection - Persons with Power of Arrest,5,G,20765,G,0,G,0,G,35100300300000,Midwest,Benson,38,005,6762,20,NA,1,04,171319
North Dakota,County,Benson,Highways,20,G,73809,G,0,G,0,G,35100300300000,Midwest,Benson,38,005,6762,20,NA,1,04,171319
North Dakota,County,Benson,Public Welfare,21,G,81039,G,6,G,9648,G,35100300300000,Midwest,Benson,38,005,6762,20,NA,1,04,171319
North Dakota,County,Benson,Health,0,G,0,G,1,G,1935,G,35100300300000,Midwest,Benson,38,005,6762,20,NA,1,04,171319
North Dakota,County,Benson,All other and unallocable,0,C,0,C,4,C,840,C,35100300300000,Midwest,Benson,38,005,6762,20,NA,1,04,171319
North Dakota,County,Billings,Total - All Government Employment Functions,48,G,314259,G,18,G,17259,G,35100400400000,Midwest,Billings,38,007,890,20,NA,1,04,191069
North Dakota,County,Billings,Financial Administration,6,G,39465,G,0,G,0,G,35100400400000,Midwest,Billings,38,007,890,20,NA,1,04,191069
North Dakota,County,Billings,Other Government Administration,5,G,21349,G,0,G,0,G,35100400400000,Midwest,Billings,38,007,890,20,NA,1,04,191069
North Dakota,County,Billings,Judicial and Legal,2,G,13411,G,0,G,0,G,35100400400000,Midwest,Billings,38,007,890,20,NA,1,04,191069
North Dakota,County,Billings,Police Protection - Persons with Power of Arrest,6,G,46816,G,0,G,0,G,35100400400000,Midwest,Billings,38,007,890,20,NA,1,04,191069
North Dakota,County,Billings,Fire Protection - Firefighters,1,G,7037,G,0,G,0,G,35100400400000,Midwest,Billings,38,007,890,20,NA,1,04,191069
North Dakota,County,Billings,Fire Protection - Other,0,G,0,G,1,G,374,G,35100400400000,Midwest,Billings,38,007,890,20,NA,1,04,191069
North Dakota,County,Billings,Highways,21,G,135507,G,1,G,689,G,35100400400000,Midwest,Billings,38,007,890,20,NA,1,04,191069
North Dakota,County,Billings,Health,5,G,33962,G,15,G,15102,G,35100400400000,Midwest,Billings,38,007,890,20,NA,1,04,191069
North Dakota,County,Billings,Natural Resources,2,G,16712,G,0,G,0,G,35100400400000,Midwest,Billings,38,007,890,20,NA,1,04,191069
North Dakota,County,Billings,All other and unallocable,0,G,0,G,1,G,1094,G,35100400400000,Midwest,Billings,38,007,890,20,NA,1,04,191069
North Dakota,County,Bottineau,Total - All Government Employment Functions,81,C,338905,C,10,C,7484,R,35100500500000,Midwest,Bottineau,38,009,6287,20,NA,1,04,110182
North Dakota,County,Bottineau,Financial Administration,7,R,28035,R,0,R,0,R,35100500500000,Midwest,Bottineau,38,009,6287,20,NA,1,04,110182
North Dakota,County,Bottineau,Other Government Administration,8,C,35438,C,0,C,0,C,35100500500000,Midwest,Bottineau,38,009,6287,20,NA,1,04,110182
North Dakota,County,Bottineau,Judicial and Legal,2,R,8052,R,1,R,1535,R,35100500500000,Midwest,Bottineau,38,009,6287,20,NA,1,04,110182
North Dakota,County,Bottineau,Police Protection - Persons with Power of Arrest,10,R,46043,R,1,C,990,C,35100500500000,Midwest,Bottineau,38,009,6287,20,NA,1,04,110182
North Dakota,County,Bottineau,Police Protection - Other,1,R,3811,R,0,R,0,R,35100500500000,Midwest,Bottineau,38,009,6287,20,NA,1,04,110182
North Dakota,County,Bottineau,Fire Protection - Other,1,R,1397,R,0,R,0,R,35100500500000,Midwest,Bottineau,38,009,6287,20,NA,1,04,110182
North Dakota,County,Bottineau,Corrections,8,R,30980,R,2,R,2360,R,35100500500000,Midwest,Bottineau,38,009,6287,20,NA,1,04,110182
North Dakota,County,Bottineau,Highways,19,C,82343,C,0,C,0,C,35100500500000,Midwest,Bottineau,38,009,6287,20,NA,1,04,110182
North Dakota,County,Bottineau,Public Welfare,18,R,77121,R,1,C,1692,C,35100500500000,Midwest,Bottineau,38,009,6287,20,NA,1,04,110182
North Dakota,County,Bottineau,Parks and Recreation,0,R,0,X,1,R,525,X,35100500500000,Midwest,Bottineau,38,009,6287,20,NA,1,04,110182
North Dakota,County,Bottineau,Natural Resources,1,R,3439,R,0,R,0,R,35100500500000,Midwest,Bottineau,38,009,6287,20,NA,1,04,110182
North Dakota,County,Bottineau,Libraries,2,R,6607,R,0,R,0,R,35100500500000,Midwest,Bottineau,38,009,6287,20,NA,1,04,110182
North Dakota,County,Bottineau,All other and unallocable,4,G,15640,G,4,C,381,G,35100500500000,Midwest,Bottineau,38,009,6287,20,NA,1,04,110182
North Dakota,County,Bowman,Total - All Government Employment Functions,27,R,98769,R,24,R,24800,C,35100600600000,Midwest,Bowman,38,011,2986,20,NA,1,04,208999
North Dakota,County,Bowman,Financial Administration,6,R,24606,R,3,R,2241,R,35100600600000,Midwest,Bowman,38,011,2986,20,NA,1,04,208999
North Dakota,County,Bowman,Other Government Administration,7,R,17900,R,10,R,2150,R,35100600600000,Midwest,Bowman,38,011,2986,20,NA,1,04,208999
North Dakota,County,Bowman,Judicial and Legal,1,R,5400,R,0,R,0,R,35100600600000,Midwest,Bowman,38,011,2986,20,NA,1,04,208999
North Dakota,County,Bowman,Police Protection - Persons with Power of Arrest,4,R,16496,R,0,R,0,R,35100600600000,Midwest,Bowman,38,011,2986,20,NA,1,04,208999
North Dakota,County,Bowman,Police Protection - Other,0,C,0,C,1,C,2650,C,35100600600000,Midwest,Bowman,38,011,2986,20,NA,1,04,208999
North Dakota,County,Bowman,Highways,6,R,24425,R,0,R,0,R,35100600600000,Midwest,Bowman,38,011,2986,20,NA,1,04,208999
North Dakota,County,Bowman,Public Welfare,0,C,0,C,1,C,1250,C,35100600600000,Midwest,Bowman,38,011,2986,20,NA,1,04,208999
North Dakota,County,Bowman,Parks and Recreation,0,C,0,C,6,C,12238,C,35100600600000,Midwest,Bowman,38,011,2986,20,NA,1,04,208999
North Dakota,County,Bowman,Natural Resources,1,R,2931,R,1,C,2364,C,35100600600000,Midwest,Bowman,38,011,2986,20,NA,1,04,208999
