State,Type of Government,Name of Government,Government Function,Full-time Employees,Full-time Employees Data Flag,Full-time Payroll,Full-time Payroll Data Flag,Part-time Employees,Part-time Employees Data Flag,Part-time Payroll,Part-time Payroll Data Flag,Individual Unit ID,Census Region,County Name,FIPS State,FIPS County,Population/Enrollment/Function Code,Year of Population/Enrollment,School Level,Probability of Selection,Worksheet Code,New Individual Unit ID
Ohio,State,Ohio,Total - All Government Employment Functions,116515,NA,766941957,NA,58535,NA,70404918,NA,36000000000000,Midwest,NA,39,NA,11693217,20,NA,1,00,226091
Ohio,State,Ohio,Financial Administration,5468,R,38599282,R,141,R,224570,R,36000000000000,Midwest,NA,39,NA,11693217,20,NA,1,00,226091
Ohio,State,Ohio,Other Government Administration,803,R,4886819,R,106,R,28404,R,36000000000000,Midwest,NA,39,NA,11693217,20,NA,1,00,226091
Ohio,State,Ohio,Judicial and Legal,2664,R,21166010,R,135,R,282126,R,36000000000000,Midwest,NA,39,NA,11693217,20,NA,1,00,226091
Ohio,State,Ohio,Police Protection - Persons with Power of Arrest,1291,T,9918264,T,0,R,0,R,36000000000000,Midwest,NA,39,NA,11693217,20,NA,1,00,226091
Ohio,State,Ohio,Police Protection - Other,1057,T,5825008,T,8,T,10878,T,36000000000000,Midwest,NA,39,NA,11693217,20,NA,1,00,226091
Ohio,State,Ohio,Corrections,12077,R,70056519,R,32,R,127056,R,36000000000000,Midwest,NA,39,NA,11693217,20,NA,1,00,226091
Ohio,State,Ohio,Highways,5425,R,33097233,R,545,R,848605,R,36000000000000,Midwest,NA,39,NA,11693217,20,NA,1,00,226091
Ohio,State,Ohio,Public Welfare,2386,R,17681700,R,205,R,332451,R,36000000000000,Midwest,NA,39,NA,11693217,20,NA,1,00,226091
Ohio,State,Ohio,Health,4054,R,26705424,R,310,R,591524,R,36000000000000,Midwest,NA,39,NA,11693217,20,NA,1,00,226091
Ohio,State,Ohio,Hospitals,16847,NA,103459579,NA,3201,NA,8345195,NA,36000000000000,Midwest,NA,39,NA,11693217,20,NA,1,00,226091
Ohio,State,Ohio,Social Insurance Administration,1262,R,8587943,R,501,R,1671354,R,36000000000000,Midwest,NA,39,NA,11693217,20,NA,1,00,226091
Ohio,State,Ohio,Parks and Recreation,381,T,2146192,T,278,T,224961,T,36000000000000,Midwest,NA,39,NA,11693217,20,NA,1,00,226091
Ohio,State,Ohio,Natural Resources,2199,T,12282138,T,144,T,218090,T,36000000000000,Midwest,NA,39,NA,11693217,20,NA,1,00,226091
Ohio,State,Ohio,Education - Higher Education Instructional,19392,C,179728409,C,14316,C,22451914,R,36000000000000,Midwest,NA,39,NA,11693217,20,NA,1,00,226091
Ohio,State,Ohio,Education - Higher Education Other,35038,NA,190412640,NA,38284,NA,34770805,NA,36000000000000,Midwest,NA,39,NA,11693217,20,NA,1,00,226091
Ohio,State,Ohio,Education - Other,2155,R,14250906,R,88,R,76057,R,36000000000000,Midwest,NA,39,NA,11693217,20,NA,1,00,226091
Ohio,State,Ohio,All other and unallocable,4016,R,28137889,R,241,R,200932,R,36000000000000,Midwest,NA,39,NA,11693217,20,NA,1,00,226091
Ohio,County,Adams,Total - All Government Employment Functions,259,C,982182,C,82,C,87770,C,36100100100000,Midwest,Adams,39,001,27531,20,NA,1,04,172239
Ohio,County,Adams,Financial Administration,13,C,45546,C,2,C,954,C,36100100100000,Midwest,Adams,39,001,27531,20,NA,1,04,172239
Ohio,County,Adams,Other Government Administration,12,R,41777,R,1,R,853,R,36100100100000,Midwest,Adams,39,001,27531,20,NA,1,04,172239
Ohio,County,Adams,Judicial and Legal,35,R,135490,R,18,C,14115,C,36100100100000,Midwest,Adams,39,001,27531,20,NA,1,04,172239
Ohio,County,Adams,Police Protection - Persons with Power of Arrest,17,R,68756,R,6,R,11778,R,36100100100000,Midwest,Adams,39,001,27531,20,NA,1,04,172239
Ohio,County,Adams,Police Protection - Other,11,R,35139,R,7,C,15620,C,36100100100000,Midwest,Adams,39,001,27531,20,NA,1,04,172239
Ohio,County,Adams,Corrections,8,R,27763,R,5,C,13326,C,36100100100000,Midwest,Adams,39,001,27531,20,NA,1,04,172239
