State,Type of Government,Name of Government,Government Function,Full-time Employees,Full-time Employees Data Flag,Full-time Payroll,Full-time Payroll Data Flag,Part-time Employees,Part-time Employees Data Flag,Part-time Payroll,Part-time Payroll Data Flag,Individual Unit ID,Census Region,County Name,FIPS State,FIPS County,Population/Enrollment/Function Code,Year of Population/Enrollment,School Level,Probability of Selection,Worksheet Code,New Individual Unit ID
Oklahoma,State,Oklahoma,Total - All Government Employment Functions,54904,R,270204520,R,19630,R,22401323,X,37000000000000,South,NA,40,NA,3980783,20,NA,1,00,227537
Oklahoma,State,Oklahoma,Financial Administration,2022,R,11074789,R,24,R,34802,R,37000000000000,South,NA,40,NA,3980783,20,NA,1,00,227537
Oklahoma,State,Oklahoma,Other Government Administration,475,R,2284388,R,48,R,95791,R,37000000000000,South,NA,40,NA,3980783,20,NA,1,00,227537
Oklahoma,State,Oklahoma,Judicial and Legal,2410,R,12579916,R,104,R,133012,R,37000000000000,South,NA,40,NA,3980783,20,NA,1,00,227537
Oklahoma,State,Oklahoma,Police Protection - Persons with Power of Arrest,955,R,2082964,R,0,R,0,R,37000000000000,South,NA,40,NA,3980783,20,NA,1,00,227537
Oklahoma,State,Oklahoma,Police Protection - Other,727,NA,3502817,NA,23,NA,41548,R,37000000000000,South,NA,40,NA,3980783,20,NA,1,00,227537
Oklahoma,State,Oklahoma,Corrections,3969,R,15369886,R,20,R,77099,R,37000000000000,South,NA,40,NA,3980783,20,NA,1,00,227537
Oklahoma,State,Oklahoma,Highways,2728,R,13425432,R,0,R,0,R,37000000000000,South,NA,40,NA,3980783,20,NA,1,00,227537
Oklahoma,State,Oklahoma,Air Transportation,9,R,61138,R,0,R,0,R,37000000000000,South,NA,40,NA,3980783,20,NA,1,00,227537
Oklahoma,State,Oklahoma,Public Welfare,6262,T,19748005,T,39,R,53672,R,37000000000000,South,NA,40,NA,3980783,20,NA,1,00,227537
Oklahoma,State,Oklahoma,Health,5155,R,22817554,R,291,X,620747,X,37000000000000,South,NA,40,NA,3980783,20,NA,1,00,227537
Oklahoma,State,Oklahoma,Hospitals,1007,X,5032863,X,47,R,119118,R,37000000000000,South,NA,40,NA,3980783,20,NA,1,00,227537
Oklahoma,State,Oklahoma,Social Insurance Administration,702,R,4300348,R,59,R,273671,R,37000000000000,South,NA,40,NA,3980783,20,NA,1,00,227537
Oklahoma,State,Oklahoma,Solid Waste Management,73,R,409910,R,2,R,2035,R,37000000000000,South,NA,40,NA,3980783,20,NA,1,00,227537
Oklahoma,State,Oklahoma,Parks and Recreation,634,R,2203469,R,177,R,189239,R,37000000000000,South,NA,40,NA,3980783,20,NA,1,00,227537
Oklahoma,State,Oklahoma,Natural Resources,1493,R,6264031,R,360,R,234073,R,37000000000000,South,NA,40,NA,3980783,20,NA,1,00,227537
Oklahoma,State,Oklahoma,Electric Power,616,R,4557924,R,34,R,64579,R,37000000000000,South,NA,40,NA,3980783,20,NA,1,00,227537
Oklahoma,State,Oklahoma,Education - Higher Education Instructional,6936,R,55703792,R,8061,X,13420535,X,37000000000000,South,NA,40,NA,3980783,20,NA,1,00,227537
Oklahoma,State,Oklahoma,Education - Higher Education Other,14745,R,69377925,R,10287,R,6938230,R,37000000000000,South,NA,40,NA,3980783,20,NA,1,00,227537
Oklahoma,State,Oklahoma,Education - Other,1616,R,7421154,R,25,R,32842,R,37000000000000,South,NA,40,NA,3980783,20,NA,1,00,227537
Oklahoma,State,Oklahoma,All other and unallocable,2370,R,11986218,R,29,R,70333,R,37000000000000,South,NA,40,NA,3980783,20,NA,1,00,227537
Oklahoma,County,Adair,Total - All Government Employment Functions,105,R,250914,C,9,C,6285,C,37100100100000,South,Adair,40,001,21955,20,NA,1,04,139618
Oklahoma,County,Adair,Financial Administration,11,R,31244,R,1,C,1240,C,37100100100000,South,Adair,40,001,21955,20,NA,1,04,139618
Oklahoma,County,Adair,Other Government Administration,8,R,24858,R,0,R,0,R,37100100100000,South,Adair,40,001,21955,20,NA,1,04,139618
Oklahoma,County,Adair,Judicial and Legal,5,R,13977,R,1,R,562,R,37100100100000,South,Adair,40,001,21955,20,NA,1,04,139618
Oklahoma,County,Adair,Police Protection - Persons with Power of Arrest,10,R,27043,R,2,R,2104,R,37100100100000,South,Adair,40,001,21955,20,NA,1,04,139618
Oklahoma,County,Adair,Fire Protection - Other,19,C,73963,C,4,C,2190,C,37100100100000,South,Adair,40,001,21955,20,NA,1,04,139618
Oklahoma,County,Adair,Corrections,23,R,43338,R,0,R,0,R,37100100100000,South,Adair,40,001,21955,20,NA,1,04,139618
Oklahoma,County,Adair,Highways,26,R,22373,R,0,R,0,R,37100100100000,South,Adair,40,001,21955,20,NA,1,04,139618
Oklahoma,County,Adair,All other and unallocable,3,C,14119,C,1,C,189,C,37100100100000,South,Adair,40,001,21955,20,NA,1,04,139618
Oklahoma,County,Alfalfa,Total - All Government Employment Functions,93,R,280062,R,4,C,4741,C,37100200200000,South,Alfalfa,40,003,5718,20,NA,1,04,173319
Oklahoma,County,Alfalfa,Financial Administration,17,R,45670,R,0,R,0,R,37100200200000,South,Alfalfa,40,003,5718,20,NA,1,04,173319
Oklahoma,County,Alfalfa,Other Government Administration,8,R,33200,R,0,R,0,R,37100200200000,South,Alfalfa,40,003,5718,20,NA,1,04,173319
Oklahoma,County,Alfalfa,Judicial and Legal,4,R,11013,R,0,R,0,R,37100200200000,South,Alfalfa,40,003,5718,20,NA,1,04,173319
Oklahoma,County,Alfalfa,Police Protection - Persons with Power of Arrest,5,R,17490,R,0,R,0,R,37100200200000,South,Alfalfa,40,003,5718,20,NA,1,04,173319
Oklahoma,County,Alfalfa,Police Protection - Other,1,R,3302,R,0,R,0,R,37100200200000,South,Alfalfa,40,003,5718,20,NA,1,04,173319
Oklahoma,County,Alfalfa,Highways,37,R,110453,R,0,R,0,R,37100200200000,South,Alfalfa,40,003,5718,20,NA,1,04,173319
Oklahoma,County,Alfalfa,Parks and Recreation,2,R,6570,R,0,R,0,R,37100200200000,South,Alfalfa,40,003,5718,20,NA,1,04,173319
Oklahoma,County,Alfalfa,All other and unallocable,19,R,52364,R,4,C,4741,C,37100200200000,South,Alfalfa,40,003,5718,20,NA,1,04,173319
Oklahoma,County,Atoka,Total - All Government Employment Functions,177,R,639102,R,28,R,41458,R,37100300300000,South,Atoka,40,005,13912,20,NA,1,04,111271
Oklahoma,County,Atoka,Financial Administration,12,R,34857,R,0,R,0,R,37100300300000,South,Atoka,40,005,13912,20,NA,1,04,111271
Oklahoma,County,Atoka,Other Government Administration,4,R,15405,R,0,R,0,R,37100300300000,South,Atoka,40,005,13912,20,NA,1,04,111271
