State,Type of Government,Name of Government,Government Function,Full-time Employees,Full-time Employees Data Flag,Full-time Payroll,Full-time Payroll Data Flag,Part-time Employees,Part-time Employees Data Flag,Part-time Payroll,Part-time Payroll Data Flag,Individual Unit ID,Census Region,County Name,FIPS State,FIPS County,Population/Enrollment/Function Code,Year of Population/Enrollment,School Level,Probability of Selection,Worksheet Code,New Individual Unit ID
Pennsylvania,State,Pennsylvania,Total - All Government Employment Functions,135988,X,877687340,X,44417,X,104662165,X,39000000000000,Northeast,NA,42,NA,12783254,20,NA,1,00,227538
Pennsylvania,State,Pennsylvania,Financial Administration,5910,R,32073471,R,28,R,66863,R,39000000000000,Northeast,NA,42,NA,12783254,20,NA,1,00,227538
Pennsylvania,State,Pennsylvania,Other Government Administration,3410,R,19813199,R,255,R,937344,X,39000000000000,Northeast,NA,42,NA,12783254,20,NA,1,00,227538
Pennsylvania,State,Pennsylvania,Judicial and Legal,3044,R,35141455,R,97,R,716403,R,39000000000000,Northeast,NA,42,NA,12783254,20,NA,1,00,227538
Pennsylvania,State,Pennsylvania,Police Protection - Persons with Power of Arrest,4609,R,40016129,R,0,R,0,R,39000000000000,Northeast,NA,42,NA,12783254,20,NA,1,00,227538
Pennsylvania,State,Pennsylvania,Police Protection - Other,1959,R,9460889,R,4,R,14483,R,39000000000000,Northeast,NA,42,NA,12783254,20,NA,1,00,227538
Pennsylvania,State,Pennsylvania,Corrections,16163,R,103558655,R,30,R,108841,R,39000000000000,Northeast,NA,42,NA,12783254,20,NA,1,00,227538
Pennsylvania,State,Pennsylvania,Highways,11607,R,61652701,R,7,R,12876,R,39000000000000,Northeast,NA,42,NA,12783254,20,NA,1,00,227538
Pennsylvania,State,Pennsylvania,Air Transportation,19,R,120477,R,0,R,0,R,39000000000000,Northeast,NA,42,NA,12783254,20,NA,1,00,227538
Pennsylvania,State,Pennsylvania,Public Welfare,10893,R,49777921,R,101,R,253439,R,39000000000000,Northeast,NA,42,NA,12783254,20,NA,1,00,227538
Pennsylvania,State,Pennsylvania,Health,4421,R,23382854,R,81,R,213151,R,39000000000000,Northeast,NA,42,NA,12783254,20,NA,1,00,227538
Pennsylvania,State,Pennsylvania,Hospitals,7496,C,46169204,R,1192,R,8949680,R,39000000000000,Northeast,NA,42,NA,12783254,20,NA,1,00,227538
Pennsylvania,State,Pennsylvania,Social Insurance Administration,2172,R,10911036,R,3,R,16531,R,39000000000000,Northeast,NA,42,NA,12783254,20,NA,1,00,227538
Pennsylvania,State,Pennsylvania,Parks and Recreation,1144,R,5140971,R,1,R,5340,R,39000000000000,Northeast,NA,42,NA,12783254,20,NA,1,00,227538
Pennsylvania,State,Pennsylvania,Natural Resources,5225,X,27414791,X,1109,X,2940442,X,39000000000000,Northeast,NA,42,NA,12783254,20,NA,1,00,227538
Pennsylvania,State,Pennsylvania,Education - Higher Education Instructional,15011,R,153846058,R,12331,X,48074682,X,39000000000000,Northeast,NA,42,NA,12783254,20,NA,1,00,227538
Pennsylvania,State,Pennsylvania,Education - Higher Education Other,31432,X,195741411,X,26991,X,38398878,X,39000000000000,Northeast,NA,42,NA,12783254,20,NA,1,00,227538
Pennsylvania,State,Pennsylvania,Education - Other,3522,R,22204834,R,24,R,78704,R,39000000000000,Northeast,NA,42,NA,12783254,20,NA,1,00,227538
Pennsylvania,State,Pennsylvania,Libraries,33,R,180214,R,0,R,0,R,39000000000000,Northeast,NA,42,NA,12783254,20,NA,1,00,227538
Pennsylvania,State,Pennsylvania,State liquor stores,3180,R,12998024,R,2039,R,3653274,R,39000000000000,Northeast,NA,42,NA,12783254,20,NA,1,00,227538
Pennsylvania,State,Pennsylvania,All other and unallocable,4738,X,28083044,X,124,R,221235,R,39000000000000,Northeast,NA,42,NA,12783254,20,NA,1,00,227538
Pennsylvania,County,Adams,Total - All Government Employment Functions,403,C,1777487,X,30,X,42356,X,39100100100000,Northeast,Adams,42,001,102742,20,NA,1,04,173713
Pennsylvania,County,Adams,Financial Administration,43,R,128741,X,3,R,5384,X,39100100100000,Northeast,Adams,42,001,102742,20,NA,1,04,173713
Pennsylvania,County,Adams,Other Government Administration,26,C,110188,X,0,C,0,X,39100100100000,Northeast,Adams,42,001,102742,20,NA,1,04,173713
Pennsylvania,County,Adams,Judicial and Legal,52,C,230149,X,4,R,5094,X,39100100100000,Northeast,Adams,42,001,102742,20,NA,1,04,173713
Pennsylvania,County,Adams,Police Protection - Persons with Power of Arrest,13,X,49228,X,1,X,2920,X,39100100100000,Northeast,Adams,42,001,102742,20,NA,1,04,173713
Pennsylvania,County,Adams,Police Protection - Other,6,X,22563,X,4,X,9227,X,39100100100000,Northeast,Adams,42,001,102742,20,NA,1,04,173713
Pennsylvania,County,Adams,Fire Protection - Firefighters,19,X,87092,X,14,X,15117,X,39100100100000,Northeast,Adams,42,001,102742,20,NA,1,04,173713
Pennsylvania,County,Adams,Fire Protection - Other,1,X,4615,X,0,X,0,X,39100100100000,Northeast,Adams,42,001,102742,20,NA,1,04,173713
Pennsylvania,County,Adams,Corrections,137,C,656231,X,0,C,0,X,39100100100000,Northeast,Adams,42,001,102742,20,NA,1,04,173713
Pennsylvania,County,Adams,Public Welfare,59,X,252802,X,0,X,0,X,39100100100000,Northeast,Adams,42,001,102742,20,NA,1,04,173713
Pennsylvania,County,Adams,Solid Waste Management,2,X,10774,X,0,X,0,X,39100100100000,Northeast,Adams,42,001,102742,20,NA,1,04,173713
Pennsylvania,County,Adams,Natural Resources,11,R,51846,X,0,R,0,X,39100100100000,Northeast,Adams,42,001,102742,20,NA,1,04,173713
Pennsylvania,County,Adams,All other and unallocable,34,R,173259,X,4,R,4614,X,39100100100000,Northeast,Adams,42,001,102742,20,NA,1,04,173713
Pennsylvania,County,Allegheny,Total - All Government Employment Functions,6043,R,32861516,R,227,R,256181,R,39100200200000,Northeast,Allegheny,42,003,1211358,20,NA,1,04,193970
Pennsylvania,County,Allegheny,Financial Administration,241,R,1265664,R,2,R,3474,R,39100200200000,Northeast,Allegheny,42,003,1211358,20,NA,1,04,193970
Pennsylvania,County,Allegheny,Other Government Administration,209,R,913693,R,25,R,26698,R,39100200200000,Northeast,Allegheny,42,003,1211358,20,NA,1,04,193970
Pennsylvania,County,Allegheny,Judicial and Legal,1281,R,6340870,R,17,R,19322,R,39100200200000,Northeast,Allegheny,42,003,1211358,20,NA,1,04,193970
Pennsylvania,County,Allegheny,Police Protection - Persons with Power of Arrest,356,R,3731400,R,0,R,0,R,39100200200000,Northeast,Allegheny,42,003,1211358,20,NA,1,04,193970
