State,Type of Government,Name of Government,Government Function,Full-time Employees,Full-time Employees Data Flag,Full-time Payroll,Full-time Payroll Data Flag,Part-time Employees,Part-time Employees Data Flag,Part-time Payroll,Part-time Payroll Data Flag,Individual Unit ID,Census Region,County Name,FIPS State,FIPS County,Population/Enrollment/Function Code,Year of Population/Enrollment,School Level,Probability of Selection,Worksheet Code,New Individual Unit ID
Rhode Island,State,Rhode Island,Total - All Government Employment Functions,18684,R,126007654,X,5914,R,8664435,R,40000000000000,Northeast,NA,44,NA,1057125,20,NA,1,00,227539
Rhode Island,State,Rhode Island,Financial Administration,797,R,5129641,R,0,R,0,R,40000000000000,Northeast,NA,44,NA,1057125,20,NA,1,00,227539
Rhode Island,State,Rhode Island,Other Government Administration,746,R,5096278,R,42,R,147002,R,40000000000000,Northeast,NA,44,NA,1057125,20,NA,1,00,227539
Rhode Island,State,Rhode Island,Judicial and Legal,1170,R,8336077,R,19,R,45152,R,40000000000000,Northeast,NA,44,NA,1057125,20,NA,1,00,227539
Rhode Island,State,Rhode Island,Police Protection - Persons with Power of Arrest,241,T,2446589,T,0,R,0,R,40000000000000,Northeast,NA,44,NA,1057125,20,NA,1,00,227539
Rhode Island,State,Rhode Island,Police Protection - Other,60,T,530775,T,3,C,11999,C,40000000000000,Northeast,NA,44,NA,1057125,20,NA,1,00,227539
Rhode Island,State,Rhode Island,Corrections,1400,R,11687370,R,11,R,45338,R,40000000000000,Northeast,NA,44,NA,1057125,20,NA,1,00,227539
Rhode Island,State,Rhode Island,Highways,742,R,5052772,R,15,R,39183,R,40000000000000,Northeast,NA,44,NA,1057125,20,NA,1,00,227539
Rhode Island,State,Rhode Island,Air Transportation,150,R,1169138,R,0,R,0,R,40000000000000,Northeast,NA,44,NA,1057125,20,NA,1,00,227539
Rhode Island,State,Rhode Island,Public Welfare,1400,R,9403261,R,5,R,15245,R,40000000000000,Northeast,NA,44,NA,1057125,20,NA,1,00,227539
Rhode Island,State,Rhode Island,Health,987,R,6762373,R,13,R,37716,R,40000000000000,Northeast,NA,44,NA,1057125,20,NA,1,00,227539
Rhode Island,State,Rhode Island,Hospitals,550,R,3818565,R,20,R,90059,R,40000000000000,Northeast,NA,44,NA,1057125,20,NA,1,00,227539
Rhode Island,State,Rhode Island,Social Insurance Administration,413,R,2551559,R,10,R,24587,R,40000000000000,Northeast,NA,44,NA,1057125,20,NA,1,00,227539
Rhode Island,State,Rhode Island,Solid Waste Management,139,R,892464,R,4,R,4204,R,40000000000000,Northeast,NA,44,NA,1057125,20,NA,1,00,227539
Rhode Island,State,Rhode Island,Sewerage,263,R,1535714,R,0,R,0,R,40000000000000,Northeast,NA,44,NA,1057125,20,NA,1,00,227539
Rhode Island,State,Rhode Island,Parks and Recreation,81,R,427080,R,1,R,4023,R,40000000000000,Northeast,NA,44,NA,1057125,20,NA,1,00,227539
Rhode Island,State,Rhode Island,Housing and Community Development,224,X,1355946,X,0,R,0,R,40000000000000,Northeast,NA,44,NA,1057125,20,NA,1,00,227539
