State,Type of Government,Name of Government,Government Function,Full-time Employees,Full-time Employees Data Flag,Full-time Payroll,Full-time Payroll Data Flag,Part-time Employees,Part-time Employees Data Flag,Part-time Payroll,Part-time Payroll Data Flag,Individual Unit ID,Census Region,County Name,FIPS State,FIPS County,Population/Enrollment/Function Code,Year of Population/Enrollment,School Level,Probability of Selection,Worksheet Code,New Individual Unit ID
Tennessee,State,Tennessee,Total - All Government Employment Functions,68674,R,377329661,R,24098,R,26351338,R,43000000000000,South,NA,47,NA,6886834,20,NA,1,00,227540
Tennessee,State,Tennessee,Financial Administration,4113,R,24117013,R,18,R,26187,R,43000000000000,South,NA,47,NA,6886834,20,NA,1,00,227540
Tennessee,State,Tennessee,Other Government Administration,755,R,4205219,R,6,R,8827,R,43000000000000,South,NA,47,NA,6886834,20,NA,1,00,227540
Tennessee,State,Tennessee,Judicial and Legal,2770,R,19131800,R,13,R,17444,R,43000000000000,South,NA,47,NA,6886834,20,NA,1,00,227540
Tennessee,State,Tennessee,Police Protection - Persons with Power of Arrest,1261,T,8046546,T,3,R,5368,R,43000000000000,South,NA,47,NA,6886834,20,NA,1,00,227540
Tennessee,State,Tennessee,Police Protection - Other,506,T,2462534,T,0,R,0,R,43000000000000,South,NA,47,NA,6886834,20,NA,1,00,227540
Tennessee,State,Tennessee,Corrections,5136,R,25354278,R,19,R,41603,R,43000000000000,South,NA,47,NA,6886834,20,NA,1,00,227540
Tennessee,State,Tennessee,Highways,3856,R,18724851,R,0,R,0,R,43000000000000,South,NA,47,NA,6886834,20,NA,1,00,227540
Tennessee,State,Tennessee,Public Welfare,6760,R,30878267,R,2,R,3849,R,43000000000000,South,NA,47,NA,6886834,20,NA,1,00,227540
Tennessee,State,Tennessee,Health,3967,R,20866432,R,199,R,535195,R,43000000000000,South,NA,47,NA,6886834,20,NA,1,00,227540
Tennessee,State,Tennessee,Hospitals,2580,X,12446872,X,33,R,145842,R,43000000000000,South,NA,47,NA,6886834,20,NA,1,00,227540
Tennessee,State,Tennessee,Social Insurance Administration,627,R,2461253,R,0,R,0,R,43000000000000,South,NA,47,NA,6886834,20,NA,1,00,227540
Tennessee,State,Tennessee,Parks and Recreation,933,R,3347108,R,356,R,325887,R,43000000000000,South,NA,47,NA,6886834,20,NA,1,00,227540
Tennessee,State,Tennessee,Natural Resources,3272,R,16831108,R,375,R,618242,R,43000000000000,South,NA,47,NA,6886834,20,NA,1,00,227540
Tennessee,State,Tennessee,Education - Higher Education Instructional,9243,R,74976253,R,8987,R,12372158,R,43000000000000,South,NA,47,NA,6886834,20,NA,1,00,227540
