State,Type of Government,Name of Government,Government Function,Full-time Employees,Full-time Employees Data Flag,Full-time Payroll,Full-time Payroll Data Flag,Part-time Employees,Part-time Employees Data Flag,Part-time Payroll,Part-time Payroll Data Flag,Individual Unit ID,Census Region,County Name,FIPS State,FIPS County,Population/Enrollment/Function Code,Year of Population/Enrollment,School Level,Probability of Selection,Worksheet Code,New Individual Unit ID
Vermont,State,Vermont,Total - All Government Employment Functions,12370,X,79141012,X,3549,X,8541524,X,46000000000000,Northeast,NA,50,NA,623347,20,NA,1,00,226093
Vermont,State,Vermont,Financial Administration,769,R,5000800,R,42,T,108144,T,46000000000000,Northeast,NA,50,NA,623347,20,NA,1,00,226093
Vermont,State,Vermont,Other Government Administration,467,T,2641108,T,211,R,620425,R,46000000000000,Northeast,NA,50,NA,623347,20,NA,1,00,226093
Vermont,State,Vermont,Judicial and Legal,686,R,4565801,R,54,R,160074,R,46000000000000,Northeast,NA,50,NA,623347,20,NA,1,00,226093
Vermont,State,Vermont,Police Protection - Persons with Power of Arrest,291,T,2572633,T,3,T,4143,T,46000000000000,Northeast,NA,50,NA,623347,20,NA,1,00,226093
Vermont,State,Vermont,Police Protection - Other,183,T,1118581,T,28,T,23682,T,46000000000000,Northeast,NA,50,NA,623347,20,NA,1,00,226093
Vermont,State,Vermont,Corrections,861,R,5260824,C,10,R,13954,R,46000000000000,Northeast,NA,50,NA,623347,20,NA,1,00,226093
Vermont,State,Vermont,Highways,951,T,5981781,T,15,T,13171,T,46000000000000,Northeast,NA,50,NA,623347,20,NA,1,00,226093
Vermont,State,Vermont,Public Welfare,1368,R,8070244,R,130,R,347417,R,46000000000000,Northeast,NA,50,NA,623347,20,NA,1,00,226093
Vermont,State,Vermont,Health,545,R,3695632,C,53,R,127750,R,46000000000000,Northeast,NA,50,NA,623347,20,NA,1,00,226093
Vermont,State,Vermont,Hospitals,198,R,1286102,R,11,R,26832,R,46000000000000,Northeast,NA,50,NA,623347,20,NA,1,00,226093
Vermont,State,Vermont,Social Insurance Administration,235,R,1210356,R,8,R,11388,R,46000000000000,Northeast,NA,50,NA,623347,20,NA,1,00,226093
Vermont,State,Vermont,Parks and Recreation,118,R,636689,R,12,R,22270,R,46000000000000,Northeast,NA,50,NA,623347,20,NA,1,00,226093
Vermont,State,Vermont,Housing and Community Development,71,C,336783,C,4,C,3394,C,46000000000000,Northeast,NA,50,NA,623347,20,NA,1,00,226093
Vermont,State,Vermont,Natural Resources,599,R,3699018,R,43,R,135648,R,46000000000000,Northeast,NA,50,NA,623347,20,NA,1,00,226093
Vermont,State,Vermont,Education - Higher Education Instructional,891,X,9507310,X,847,R,2190900,R,46000000000000,Northeast,NA,50,NA,623347,20,NA,1,00,226093
Vermont,State,Vermont,Education - Higher Education Other,2704,X,14425225,X,1925,X,4435831,X,46000000000000,Northeast,NA,50,NA,623347,20,NA,1,00,226093
Vermont,State,Vermont,Education - Other,330,R,2069043,R,8,R,21968,R,46000000000000,Northeast,NA,50,NA,623347,20,NA,1,00,226093
Vermont,State,Vermont,State liquor stores,65,R,370001,R,4,R,3105,R,46000000000000,Northeast,NA,50,NA,623347,20,NA,1,00,226093
Vermont,State,Vermont,All other and unallocable,1038,R,6693082,R,141,T,271428,R,46000000000000,Northeast,NA,50,NA,623347,20,NA,1,00,226093
Vermont,County,Addison,Total - All Government Employment Functions,1,T,4579,T,6,T,5122,T,46100100100000,Northeast,Addison,50,001,36851,20,NA,1,04,176533
Vermont,County,Addison,Financial Administration,0,T,0,T,1,T,627,T,46100100100000,Northeast,Addison,50,001,36851,20,NA,1,04,176533
Vermont,County,Addison,Other Government Administration,0,T,0,T,2,T,605,T,46100100100000,Northeast,Addison,50,001,36851,20,NA,1,04,176533
Vermont,County,Addison,Judicial and Legal,0,T,0,T,2,T,3155,T,46100100100000,Northeast,Addison,50,001,36851,20,NA,1,04,176533
Vermont,County,Addison,Police Protection - Persons with Power of Arrest,1,T,4579,T,0,T,0,T,46100100100000,Northeast,Addison,50,001,36851,20,NA,1,04,176533
Vermont,County,Addison,Police Protection - Other,0,T,0,T,1,T,735,T,46100100100000,Northeast,Addison,50,001,36851,20,NA,1,04,176533
Vermont,County,Bennington,Total - All Government Employment Functions,3,G,5523,G,3,G,4217,G,46100200200000,Northeast,Bennington,50,003,35338,20,NA,1,04,140618
Vermont,County,Bennington,Financial Administration,0,G,0,G,1,G,954,G,46100200200000,Northeast,Bennington,50,003,35338,20,NA,1,04,140618
Vermont,County,Bennington,Other Government Administration,2,G,3477,G,0,G,0,G,46100200200000,Northeast,Bennington,50,003,35338,20,NA,1,04,140618
Vermont,County,Bennington,Judicial and Legal,0,G,0,G,2,G,3263,G,46100200200000,Northeast,Bennington,50,003,35338,20,NA,1,04,140618
Vermont,County,Bennington,All other and unallocable,1,G,2046,G,0,G,0,G,46100200200000,Northeast,Bennington,50,003,35338,20,NA,1,04,140618
Vermont,County,Caledonia,Total - All Government Employment Functions,0,T,0,T,3,T,1198,T,46100300300000,Northeast,Caledonia,50,005,29705,20,NA,1,04,176534
Vermont,County,Caledonia,Financial Administration,0,T,0,T,1,T,375,T,46100300300000,Northeast,Caledonia,50,005,29705,20,NA,1,04,176534
Vermont,County,Caledonia,Other Government Administration,0,T,0,T,2,T,823,T,46100300300000,Northeast,Caledonia,50,005,29705,20,NA,1,04,176534
Vermont,County,Chittenden,Total - All Government Employment Functions,5,G,30659,G,2,G,2417,G,46100400400000,Northeast,Chittenden,50,007,164306,20,NA,1,04,135927
Vermont,County,Chittenden,Financial Administration,3,G,20412,G,2,G,2417,G,46100400400000,Northeast,Chittenden,50,007,164306,20,NA,1,04,135927
Vermont,County,Chittenden,Judicial and Legal,2,G,10247,G,0,G,0,G,46100400400000,Northeast,Chittenden,50,007,164306,20,NA,1,04,135927
Vermont,County,Essex,Total - All Government Employment Functions,5,C,9286,C,1,C,1529,C,46100500500000,Northeast,Essex,50,009,6123,20,NA,1,04,114394
Vermont,County,Essex,Financial Administration,4,C,7417,C,1,C,1529,C,46100500500000,Northeast,Essex,50,009,6123,20,NA,1,04,114394
Vermont,County,Essex,Other Government Administration,1,C,1868,C,0,C,0,C,46100500500000,Northeast,Essex,50,009,6123,20,NA,1,04,114394
Vermont,County,Franklin,Total - All Government Employment Functions,2,T,7455,T,5,T,6705,T,46100600600000,Northeast,Franklin,50,011,49685,20,NA,1,04,140619
Vermont,County,Franklin,Financial Administration,0,T,0,T,2,T,1525,T,46100600600000,Northeast,Franklin,50,011,49685,20,NA,1,04,140619
Vermont,County,Franklin,Judicial and Legal,2,T,7455,T,3,T,5180,T,46100600600000,Northeast,Franklin,50,011,49685,20,NA,1,04,140619
Vermont,County,Grand Isle,Total - All Government Employment Functions,0,R,0,R,0,R,0,R,46100700700000,Northeast,Grand Isle,50,013,7169,20,NA,1,04,176535
Vermont,County,Grand Isle,All other and unallocable,0,R,0,R,0,R,0,R,46100700700000,Northeast,Grand Isle,50,013,7169,20,NA,1,04,176535
Vermont,County,Lamoille,Total - All Government Employment Functions,3,R,8986,R,1,C,1306,C,46100800800000,Northeast,Lamoille,50,015,25341,20,NA,1,04,176536
Vermont,County,Lamoille,Other Government Administration,0,C,0,C,1,C,1306,C,46100800800000,Northeast,Lamoille,50,015,25341,20,NA,1,04,176536
Vermont,County,Lamoille,Judicial and Legal,2,R,4615,R,0,R,0,R,46100800800000,Northeast,Lamoille,50,015,25341,20,NA,1,04,176536
Vermont,County,Lamoille,All other and unallocable,1,R,4371,R,0,R,0,R,46100800800000,Northeast,Lamoille,50,015,25341,20,NA,1,04,176536
Vermont,County,Orange,Total - All Government Employment Functions,7,R,27073,R,6,C,9259,C,46100900900000,Northeast,Orange,50,017,28837,20,NA,1,04,114395
Vermont,County,Orange,Judicial and Legal,1,C,7412,C,4,C,8620,C,46100900900000,Northeast,Orange,50,017,28837,20,NA,1,04,114395
Vermont,County,Orange,Police Protection - Other,6,R,19662,R,2,R,639,R,46100900900000,Northeast,Orange,50,017,28837,20,NA,1,04,114395
Vermont,County,Orleans,Total - All Government Employment Functions,0,G,0,G,1,G,1337,G,46101001000000,Northeast,Orleans,50,019,26897,20,NA,1,04,135928
Vermont,County,Orleans,All other and unallocable,0,G,0,G,1,G,1337,G,46101001000000,Northeast,Orleans,50,019,26897,20,NA,1,04,135928
Vermont,County,Rutland,Total - All Government Employment Functions,2,R,8640,R,1,C,1870,C,46101101100000,Northeast,Rutland,50,021,57764,20,NA,1,04,176537
Vermont,County,Rutland,Financial Administration,0,C,0,C,1,C,1870,C,46101101100000,Northeast,Rutland,50,021,57764,20,NA,1,04,176537
Vermont,County,Rutland,Judicial and Legal,1,R,4499,R,0,R,0,R,46101101100000,Northeast,Rutland,50,021,57764,20,NA,1,04,176537
Vermont,County,Rutland,All other and unallocable,1,R,4141,R,0,R,0,R,46101101100000,Northeast,Rutland,50,021,57764,20,NA,1,04,176537
Vermont,County,Washington,Total - All Government Employment Functions,4,G,21442,G,5,G,5970,G,46101201200000,Northeast,Washington,50,023,58328,20,NA,1,04,176538
Vermont,County,Washington,Financial Administration,0,G,0,G,3,G,4151,G,46101201200000,Northeast,Washington,50,023,58328,20,NA,1,04,176538
Vermont,County,Washington,Other Government Administration,2,G,9427,G,1,G,1460,G,46101201200000,Northeast,Washington,50,023,58328,20,NA,1,04,176538
Vermont,County,Washington,Judicial and Legal,2,G,12015,G,0,G,0,G,46101201200000,Northeast,Washington,50,023,58328,20,NA,1,04,176538
Vermont,County,Washington,All other and unallocable,0,G,0,G,1,G,359,G,46101201200000,Northeast,Washington,50,023,58328,20,NA,1,04,176538
Vermont,County,Windham,Total - All Government Employment Functions,2,G,8900,G,3,G,4592,G,46101301300000,Northeast,Windham,50,025,42015,20,NA,1,04,135929
Vermont,County,Windham,Judicial and Legal,0,G,0,G,2,G,2999,G,46101301300000,Northeast,Windham,50,025,42015,20,NA,1,04,135929
Vermont,County,Windham,Police Protection - Other,2,G,8900,G,0,G,0,G,46101301300000,Northeast,Windham,50,025,42015,20,NA,1,04,135929
Vermont,County,Windham,All other and unallocable,0,G,0,G,1,G,1593,G,46101301300000,Northeast,Windham,50,025,42015,20,NA,1,04,135929
Vermont,Municipality,Vergennes,Total - All Government Employment Functions,17,G,95954,G,71,G,26907,G,46200100300000,Northeast,Addison,50,001,2598,20,NA,1,04,183892
Vermont,Municipality,Vergennes,Financial Administration,1,G,4818,G,1,G,3007,G,46200100300000,Northeast,Addison,50,001,2598,20,NA,1,04,183892
Vermont,Municipality,Vergennes,Other Government Administration,2,G,14158,G,27,G,14360,G,46200100300000,Northeast,Addison,50,001,2598,20,NA,1,04,183892
Vermont,Municipality,Vergennes,Police Protection - Persons with Power of Arrest,7,G,43683,G,1,G,221,G,46200100300000,Northeast,Addison,50,001,2598,20,NA,1,04,183892
Vermont,Municipality,Vergennes,Fire Protection - Firefighters,0,G,0,G,21,G,4615,G,46200100300000,Northeast,Addison,50,001,2598,20,NA,1,04,183892
Vermont,Municipality,Vergennes,Highways,5,G,23130,G,0,G,0,G,46200100300000,Northeast,Addison,50,001,2598,20,NA,1,04,183892
