State,Type of Government,Name of Government,Government Function,Full-time Employees,Full-time Employees Data Flag,Full-time Payroll,Full-time Payroll Data Flag,Part-time Employees,Part-time Employees Data Flag,Part-time Payroll,Part-time Payroll Data Flag,Individual Unit ID,Census Region,County Name,FIPS State,FIPS County,Population/Enrollment/Function Code,Year of Population/Enrollment,School Level,Probability of Selection,Worksheet Code,New Individual Unit ID
Washington,State,Washington,Total - All Government Employment Functions,115032,R,784590901,R,46981,R,116498783,R,48000000000000,West,NA,53,NA,7693612,20,NA,1,00,227543
Washington,State,Washington,Financial Administration,2871,R,20137965,R,91,R,401573,R,48000000000000,West,NA,53,NA,7693612,20,NA,1,00,227543
Washington,State,Washington,Other Government Administration,1248,R,7736098,R,39,R,173088,R,48000000000000,West,NA,53,NA,7693612,20,NA,1,00,227543
Washington,State,Washington,Judicial and Legal,2465,R,18620930,R,73,R,339152,R,48000000000000,West,NA,53,NA,7693612,20,NA,1,00,227543
Washington,State,Washington,Police Protection - Persons with Power of Arrest,1056,R,9799367,R,35,R,137316,R,48000000000000,West,NA,53,NA,7693612,20,NA,1,00,227543
Washington,State,Washington,Police Protection - Other,965,R,5894323,R,14,R,44158,R,48000000000000,West,NA,53,NA,7693612,20,NA,1,00,227543
Washington,State,Washington,Corrections,8548,R,54186345,R,82,R,289970,R,48000000000000,West,NA,53,NA,7693612,20,NA,1,00,227543
Washington,State,Washington,Highways,6407,R,44850617,R,254,R,1062151,R,48000000000000,West,NA,53,NA,7693612,20,NA,1,00,227543
Washington,State,Washington,Sea and Inland Port Facilities,3,R,22026,R,0,R,0,R,48000000000000,West,NA,53,NA,7693612,20,NA,1,00,227543
Washington,State,Washington,Public Welfare,11198,R,66795969,R,430,R,1200403,R,48000000000000,West,NA,53,NA,7693612,20,NA,1,00,227543
Washington,State,Washington,Health,9103,R,54015038,R,399,R,1188627,R,48000000000000,West,NA,53,NA,7693612,20,NA,1,00,227543
Washington,State,Washington,Hospitals,12474,R,86947848,R,6761,R,36458544,R,48000000000000,West,NA,53,NA,7693612,20,NA,1,00,227543
