State,Type of Government,Name of Government,Government Function,Full-time Employees,Full-time Employees Data Flag,Full-time Payroll,Full-time Payroll Data Flag,Part-time Employees,Part-time Employees Data Flag,Part-time Payroll,Part-time Payroll Data Flag,Individual Unit ID,Census Region,County Name,FIPS State,FIPS County,Population/Enrollment/Function Code,Year of Population/Enrollment,School Level,Probability of Selection,Worksheet Code,New Individual Unit ID
Wisconsin,State,Wisconsin,Total - All Government Employment Functions,55066,T,354435969,T,40621,T,72403584,T,50000000000000,Midwest,NA,55,NA,5832655,20,NA,1,00,227544
Wisconsin,State,Wisconsin,Financial Administration,2309,R,15019170,R,320,X,742332,R,50000000000000,Midwest,NA,55,NA,5832655,20,NA,1,00,227544
Wisconsin,State,Wisconsin,Other Government Administration,813,R,4681376,R,257,C,776570,C,50000000000000,Midwest,NA,55,NA,5832655,20,NA,1,00,227544
Wisconsin,State,Wisconsin,Judicial and Legal,2366,R,17065671,R,276,X,964328,R,50000000000000,Midwest,NA,55,NA,5832655,20,NA,1,00,227544
Wisconsin,State,Wisconsin,Police Protection - Persons with Power of Arrest,540,T,4087430,T,0,R,0,R,50000000000000,Midwest,NA,55,NA,5832655,20,NA,1,00,227544
Wisconsin,State,Wisconsin,Police Protection - Other,303,T,1732559,T,23,X,63746,R,50000000000000,Midwest,NA,55,NA,5832655,20,NA,1,00,227544
Wisconsin,State,Wisconsin,Corrections,7937,R,46926094,R,650,X,2567595,R,50000000000000,Midwest,NA,55,NA,5832655,20,NA,1,00,227544
Wisconsin,State,Wisconsin,Highways,1264,R,8045124,R,69,X,126525,R,50000000000000,Midwest,NA,55,NA,5832655,20,NA,1,00,227544
Wisconsin,State,Wisconsin,Public Welfare,1748,R,10230437,R,263,X,798755,R,50000000000000,Midwest,NA,55,NA,5832655,20,NA,1,00,227544
Wisconsin,State,Wisconsin,Health,1481,T,9474527,T,698,X,1385800,T,50000000000000,Midwest,NA,55,NA,5832655,20,NA,1,00,227544
Wisconsin,State,Wisconsin,Hospitals,3311,T,18269166,T,600,X,2252785,T,50000000000000,Midwest,NA,55,NA,5832655,20,NA,1,00,227544
